"check","expected","got","ok"
"the Clerk's document covers every state and DC","51 presidential sections","51 sections","yes"
"the presidential winner by state matches the published map","Harris carried 20 states and DC","20 carried","yes"
"the two-party presidential total is the right size","between 150 and 160 million","152.3 million","yes"
"every Senate contest has a winner and a runner-up","no contest with one candidate","35 of 35","yes"
"Nebraska held two Senate contests and both are here","2","2","yes"
"every Senate contest had a Republican in its top two","35, so the two offices share one scale","35 of 35","yes"
"the top-two share agrees with the two-party one where both exist","identical wherever the runner-up is a major-party candidate","32 of 32","yes"
"the counties that do not join are the recut ones","Alaska, Connecticut and the District of Columbia only","Alaska, Connecticut, District of Columbia","yes"
"every county that changed sides changed the same way","all of them, and none the other way","86 toward the Republicans, 0 the other way","yes"
"no county share is outside 0 to 100","0 to 100 in both years","5.3 to 96.9","yes"
"moving every county ten points leaves the correlation alone","the same to seven decimal places","0.9949907","yes"
"the House parse found a whole chamber","435 districts","435","yes"
"this parse agrees with the one in house-competition","397 districts, same winner","397 agree","yes"
"the long series has no missing presidential year","every fourth year from 1952 to 2024","19 of 19","yes"
"no crossover district falls out of the House scatter","16 of 16","16 of 16","yes"
"the districts with no two-party House share are accounted for","435 = drawn plus dropped","397 + 38 = 435","yes"
"crossover districts split into the two directions","the two directions sum to the total","13 + 3 = 16","yes"
