"article","total","peak","peak_date","median_day","stack_order"
"Haitian_Americans",99727,3984,"2024-09-13",174,1
"Opinion_poll",130618,1594,"2024-06-01",331.5,2
"Swing_state",1415874,252647,"2024-11-06",1346.5,3
"Joe_Biden",15272748,513809,"2024-11-06",27908.5,4
"JD_Vance",23784303,5120129,"2024-07-15",13082,5
"Kamala_Harris",29333462,2532334,"2024-07-22",12417,6
"2024_United_States_presidential_election",30764959,4260085,"2024-11-06",43122,7
"Donald_Trump",27138039,2782082,"2024-11-06",42999.5,8
"Project_2025",20195431,722256,"2024-11-06",21690.5,9
"Tim_Walz",11710082,3811244,"2024-08-06",1242.5,10
"Springfield,_Ohio",555153,57339,"2024-09-11",242,11
"Electoral_College_(United_States)",102084,7969,"2024-11-06",185.5,12
