"motive","coordination","money","grassroots","campaign know-how","none or unclassified"
"win general election",5,0,0,0,0
"group benefit",8,7,0,4,3
"ideology or values",4,2,6,0,3
"district interest",4,0,0,0,0
"control local government",2,0,0,0,0
"other party interest",2,0,0,0,0
"ambiguous party case",3,0,0,0,0
"motive unclear",0,0,0,0,2
