"check","value"
"nominations in the study","55"
"of those, races where coordination was observed","32"
"Republican nominees with a faction code","33"
"Republican nominations","35"
"Democratic nominations","20"
"race codes in subsidiary tables matching no nomination","0"
"candidates with coordinated support","34"
"of those, who won the nomination","30"
"of those, who lost","4"
"winners anchored by coordination (table 6.3 prints 28)","28"
"winners anchored by money (table 6.3 prints 9)","9"
"winners anchored by grassroots (table 6.3 prints 6)","6"
"winners anchored by campaign know-how (table 6.3 prints 4)","4"
"winners anchored by none or unclassified (table 6.3 prints 8)","8"
"anchored winners (table 6.2 prints 47)","47"
"rows correcting a district code printed in the book","2"
"rows where table 10.1 and tables 6.2/6.3 disagree","3"
"insurgents in a coordinated race","1 of 12"
"party-backed establishment nominees in a coordinated race","9 of 9"
"median business PAC money, grassroots-anchored Republicans","$5,750"
"median business PAC money, coordination-anchored Republicans","$38,600"
"median business PAC money, establishment (business-backed)","$130,800 (n = 12)"
"median business PAC money, establishment (party-backed)","$15,500 (n = 9)"
"median business PAC money, insurgent","$7,250 (n = 12)"
