"year","band","vap","pct_voted","pct_registered","voters"
1966,"Total",112800,55.4,70.3,62491.2
1966,"18 to 24 Years",10751,31.1,44.1,3343.6
1966,"25 to 44 Years",45061,53.1,67.6,23927.4
1966,"45 to 64 Years",39171,64.5,78.9,25265.3
1966,"65 Years and Over",17817,56.1,73.5,9995.3
1968,"Total",116535,67.8,74.3,79010.7
1968,"18 to 24 Years",11602,50.4,56,5847.4
1968,"25 to 44 Years",46103,66.6,72.4,30704.6
1968,"45 to 64 Years",40362,74.9,81.1,30231.1
1968,"65 Years and Over",18468,65.8,75.6,12151.9
1970,"Total",120701,54.6,68.1,65902.7
1970,"18 to 24 Years",13027,30.4,40.9,3960.2
1970,"25 to 44 Years",47056,51.9,65,24422.1
1970,"45 to 64 Years",41477,64.2,77.5,26628.2
1970,"65 Years and Over",19141,57,73.7,10910.4
1972,"Total",136203,63,72.3,85807.9
1972,"18 to 24 Years",24612,49.6,58.9,12207.6
1972,"25 to 44 Years",49173,62.7,71.3,30831.5
1972,"45 to 64 Years",42344,70.8,79.7,29979.6
1972,"65 Years and Over",20074,63.5,75.6,12747
1974,"Total",141299,44.7,62.2,63160.7
1974,"18 to 24 Years",25719,23.8,41.3,6121.1
1974,"25 to 44 Years",51663,42.2,59.9,21801.8
1974,"45 to 64 Years",42961,56.9,73.6,24444.8
1974,"65 Years and Over",20955,51.4,70.2,10770.9
1976,"Total",146548,59.2,66.7,86756.4
1976,"18 to 24 Years",26953,42.2,51.3,11374.2
1976,"25 to 44 Years",54302,58.7,65.5,31875.3
1976,"45 to 64 Years",43293,68.7,75.5,29742.3
1976,"65 Years and Over",22001,62.2,71.4,13684.6
1978,"Total",151646,45.9,62.6,69605.5
1978,"18 to 24 Years",27677,23.5,40.5,6504.1
1978,"25 to 44 Years",57536,43.1,60.2,24798
1978,"45 to 64 Years",43431,58.5,74.3,25407.1
1978,"65 Years and Over",23001,55.9,72.8,12857.6
1980,"Total",157085,59.2,66.9,92994.3
1980,"18 to 24 Years",28138,39.9,49.2,11227.1
1980,"25 to 44 Years",61285,58.7,65.6,35974.3
