"county_fips","state","one_year_2023","five_year_2019_2023","difference","difference_pct"
"48257","TX",185690,160718,24972,15.5378
"48397","TX",131307,116931,14376,12.2944
"48091","TX",193928,174552,19376,11.1004
"48291","TX",108272,97993,10279,10.4895
"12119","FL",151565,137536,14029,10.2002
"13157","GA",88615,80640,7975,9.88963
"48367","TX",173494,158079,15415,9.75145
"37019","NC",159964,145889,14075,9.64775
