"quantity","value","unit"
"Counties in both files",854,"counties"
"Counties where the two differ by more than 1%",474,"counties"
"Counties where the two differ by more than 5%",68,"counties"
"Median absolute difference",2119,"people"
"Median absolute difference, per cent",1.18578,"%"
"Largest absolute difference, per cent",15.5378,"%"
