"year","series","http","published"
2011,"3_year",200,"Yes"
2011,"5_year",200,"Yes"
2012,"3_year",200,"Yes"
2012,"5_year",200,"Yes"
2013,"3_year",200,"Yes"
2013,"5_year",200,"Yes"
2014,"3_year",404,"No -- 404"
2014,"5_year",200,"Yes"
2015,"3_year",404,"No -- 404"
2015,"5_year",200,"Yes"
