"window","counties_published","counties_states_dc","counties_puerto_rico","smallest_place_published","what_it_is"
"One-year (2023)",854,843,11,63661,"A single year of sample"
"Five-year (2019-2023)",3222,3144,78,43,"Five years of sample pooled, averaged over the period"
