"fips","spread_pct"
"40029",0.808423
"02130",0.807731
"29227",0.806858
"20163",0.800821
"18155",0.800486
"13061",0.798057
"29175",0.795638
"51595",0.794071
"20097",0.788055
"13045",0.787912
"29187",0.786189
"20135",0.785928
"31117",0.78534
"38001",0.783771
"13271",0.781376
"36089",0.781293
"29051",0.779742
"38081",0.779423
"32021",0.778884
"46031",0.774793
"20181",0.77428
"48283",0.77427
"41039",0.773225
"38091",0.772627
"02185",0.768952
"48047",0.768902
"08009",0.768355
"30069",0.766284
"27069",0.765917
"37079",0.764069
"29103",0.761555
"01109",0.760814
"02013",0.759346
"31069",0.757986
"35006",0.756296
"48195",0.75596
"13125",0.753683
"48227",0.753192
"48075",0.751437
"17181",0.750777
"08013",0.748916
"13141",0.747556
"48393",0.747198
"40057",0.744417
"47175",0.743201
"48433",0.739523
"40129",0.738334
"51159",0.737561
"36007",0.736275
"13083",0.735024
"55027",0.734496
"31077",0.732265
"49033",0.730769
"05011",0.730208
"17167",0.729488
"31087",0.729367
"46053",0.729193
"31113",0.726744
"20063",0.725953
"29211",0.724638
"13081",0.724131
"39017",0.723925
"48401",0.723559
"04027",0.723009
"20039",0.721761
"47129",0.719864
"48419",0.717485
"46085",0.717322
"51091",0.713649
"48243",0.713194
"13063",0.713154
"49009",0.712106
"48385",0.707714
"05077",0.707657
"02150",0.706631
"48323",0.704492
"47091",0.704458
"38075",0.704225
"17159",0.70271
"13265",0.701083
"28111",0.700026
"16061",0.699865
"20101",0.699746
"08017",0.69808
"36035",0.694706
"13177",0.694382
"38025",0.693928
"40033",0.693431
"48299",0.691338
"32015",0.689893
"48443",0.689655
"05117",0.688384
"12023",0.686226
"31167",0.685284
"12045",0.684553
"30045",0.682261
"47025",0.681811
"22119",0.679859
"05143",0.679199
"17037",0.678536
"48089",0.675285
"51111",0.674606
"47047",0.673675
"13273",0.669344
"30051",0.668037
"53013",0.667986
"48263",0.667557
"39065",0.666209
"33017",0.666083
"56001",0.66561
"48207",0.665311
"40093",0.665102
"26039",0.662052
"26057",0.661949
"48065",0.66133
"21185",0.659533
"05095",0.658387
"33005",0.656933
"47069",0.656808
"51017",0.656296
"46003",0.655022
"31143",0.654728
"38005",0.654157
"48507",0.650304
"21235",0.64972
"46041",0.648113
"40035",0.647568
"13191",0.647307
"21039",0.647047
"20185",0.644522
"20075",0.644122
"48033",0.644122
"36049",0.643111
"51037",0.64225
"31035",0.641658
"20061",0.641486
"02240",0.641483
"18165",0.641192
"28119",0.64027
"31163",0.6393
"16015",0.63835
"01051",0.638269
"21061",0.634611
"49001",0.63457
"38043",0.633179
"29007",0.632455
"48081",0.631579
"26001",0.631068
"48501",0.630998
"31131",0.630029
"26141",0.629933
"28013",0.629897
"46039",0.628053
"28015",0.627594
"48137",0.625869
"26061",0.625866
"36075",0.623921
"37043",0.623902
"39083",0.623241
"55139",0.622877
"17019",0.622008
"18077",0.621587
"54075",0.621039
"20147",0.619195
"51183",0.618652
"40075",0.618312
"13087",0.612657
"22113",0.611845
"06027",0.611492
"13301",0.610687
"48421",0.607577
"48473",0.605544
"13225",0.605271
"48365",0.60419
"48289",0.604136
"48023",0.603969
"01063",0.602962
"06075",0.602326
"05147",0.601333
"26121",0.601318
"31073",0.601093
"01099",0.60057
"16023",0.60015
"46105",0.600071
"18121",0.599782
"20081",0.599782
"20033",0.598802
"36011",0.598313
"13253",0.598021
"48185",0.597616
"48203",0.596564
"17103",0.596456
"21165",0.595909
"26067",0.595265
"20127",0.593912
"38023",0.593336
"46117",0.593081
"01007",0.591716
"17013",0.591581
"30087",0.590842
"42003",0.590552
"12093",0.588586
"31173",0.587969
"20183",0.587248
"16063",0.585901
"16021",0.585675
"35019",0.584401
"45009",0.58382
"21033",0.582769
"48255",0.581081
"40077",0.580046
"06029",0.579945
"06025",0.579368
"26003",0.578166
"47179",0.578086
"48431",0.578035
"13269",0.576997
"51051",0.576909
"42045",0.576772
"46095",0.57652
