"key","value","note"
"county","Allegheny County","the county the chapter follows"
"dec_all","1250578","2020 census count, everybody, 1 April 2020"
"dec_adult","1020183","2020 census count, 18 and over"
"dec_adult_share","81.6","the 18-and-over count as a share of the whole"
"acs5_counties","3222","county rows in the newest five-year file"
"acs1_counties","861","county rows in the newest one-year file"
"acs_only_5yr","2361","counties the five-year file covers and the one-year file does not"
"acs1_2020_http","404","what the 2020 one-year file's address returns"
"pep_vintages","5","vintages of the estimates published off the 2020 base"
"pep_worst_year","2021","the reference date whose published value moved most"
"pep_worst_spread","7355","how far apart its highest and lowest published values are"
"pep_worst_times","5","how many times that date has been published"
"pep_newest","1225035","the newest estimate: 1 July of the newest vintage year"
"rev_counties","3135","counties in the national revision table"
"rev_median_pct","0.27","median county-level movement in the published value for that one date"
"rev_unchanged","0","counties whose published value for that date never moved"
"rev_over_1pct","255","counties where it moved by more than one per cent"
"dec_2010","1223348","the 2010 census count for the county"
"base_2020","1250581","the 2020 count after adjustment into an estimates base"
"base_gap","3","how far the base sits from the published count"
"one_year_counties","3360","county comparisons across the one-year files"
"one_year_exact","3356","of them where the two figures are identical"
"one_year_off","4","comparisons where they differ"
"one_year_odd","Maui County, Hawaii","the county they differ in"
"one_year_odd_max","61","the largest of those differences, in people"
"pr_only","11","survey counties with no row in the county estimates file"
"five_year_best","17","the most any single estimates year matches the five-year figure"
"five_year_counties","3144","counties in that comparison"
"catalog_rows","19","published figures the chapter lists for this county"
"catalog_all","18","of them that count everybody"
"catalog_distinct","14","distinct values among those"
"cat_high","1250581","the largest"
"cat_low","1223348","the smallest"
"cat_spread","27233","the distance between them"
"cat_spread_pct","2.18","the same distance as a share of the largest"
"time_corr","-0.89","how tightly the published figures track the date they refer to"
"nat_counties","3222","counties with at least one current figure from each route"
"nat_median_pct","3.47","median spread across the current figures, as a share of the largest"
"nat_agree","0","counties where every current figure agrees"
"nat_over_5","1081","counties where they span more than five per cent"
"api_datasets","1798","datasets the API's own catalog lists"
"api_pep_latest","2021","the newest county estimates vintage the API carries"
"api_pep_missing","4","vintages that exist as files and not on the API"
"api_acs1_earliest","2005","how far back the API carries the one-year survey"
"acs1_gap_visible","1","whether the missing 2020 one-year file is visible in the API catalog too"
