"fips","name","p1","p2","p3","p4"
"42001","Adams County",103852,103852,83005,83005
"42003","Allegheny County",1250578,1250578,1020183,1020183
"42005","Armstrong County",65558,65558,53182,53182
"42007","Beaver County",168215,168215,136115,136115
"42009","Bedford County",47577,47577,38284,38284
"42011","Berks County",428849,428849,333658,333658
"42013","Blair County",122822,122822,98475,98475
"42015","Bradford County",59967,59967,46941,46941
"42017","Bucks County",646538,646538,515340,515340
"42019","Butler County",193763,193763,155325,155325
"42021","Cambria County",133472,133472,108388,108388
"42023","Cameron County",4547,4547,3751,3751
"42025","Carbon County",64749,64749,52290,52290
"42027","Centre County",158172,158172,134439,134439
"42029","Chester County",534413,534413,412886,412886
"42031","Clarion County",37241,37241,29966,29966
"42033","Clearfield County",80562,80562,65948,65948
"42035","Clinton County",37450,37450,29598,29598
"42037","Columbia County",64727,64727,53098,53098
"42039","Crawford County",83938,83938,66608,66608
"42041","Cumberland County",259469,259469,206533,206533
"42043","Dauphin County",286401,286401,224493,224493
"42045","Delaware County",576830,576830,449790,449790
"42047","Elk County",30990,30990,25229,25229
"42049","Erie County",270876,270876,214341,214341
"42051","Fayette County",128804,128804,104708,104708
"42053","Forest County",6973,6973,6323,6323
"42055","Franklin County",155932,155932,120964,120964
"42057","Fulton County",14556,14556,11514,11514
"42059","Greene County",35954,35954,29272,29272
"42061","Huntingdon County",44092,44092,36075,36075
"42063","Indiana County",83246,83246,67726,67726
"42065","Jefferson County",44492,44492,35246,35246
"42067","Juniata County",23509,23509,18343,18343
"42069","Lackawanna County",215896,215896,173597,173597
"42071","Lancaster County",552984,552984,425314,425314
"42073","Lawrence County",86070,86070,69056,69056
"42075","Lebanon County",143257,143257,111234,111234
"42077","Lehigh County",374557,374557,291935,291935
"42079","Luzerne County",325594,325594,262455,262455
"42081","Lycoming County",114188,114188,90800,90800
"42083","McKean County",40432,40432,32321,32321
"42085","Mercer County",110652,110652,89028,89028
"42087","Mifflin County",46143,46143,36057,36057
"42089","Monroe County",168327,168327,134271,134271
"42091","Montgomery County",856553,856553,674024,674024
"42093","Montour County",18136,18136,14393,14393
"42095","Northampton County",312951,312951,251676,251676
"42097","Northumberland County",91647,91647,73275,73275
"42099","Perry County",45842,45842,35917,35917
"42101","Philadelphia County",1603797,1603797,1278362,1278362
"42103","Pike County",58535,58535,47447,47447
"42105","Potter County",16396,16396,13140,13140
"42107","Schuylkill County",143049,143049,115932,115932
"42109","Snyder County",39736,39736,31144,31144
"42111","Somerset County",74129,74129,60695,60695
"42113","Sullivan County",5840,5840,4857,4857
"42115","Susquehanna County",38434,38434,30923,30923
"42117","Tioga County",41045,41045,32720,32720
"42119","Union County",42681,42681,34680,34680
"42121","Venango County",50454,50454,40320,40320
"42123","Warren County",38587,38587,31105,31105
"42125","Washington County",209349,209349,169191,169191
"42127","Wayne County",51155,51155,42587,42587
"42129","Westmoreland County",354663,354663,289614,289614
"42131","Wyoming County",26069,26069,21073,21073
"42133","York County",456438,456438,356368,356368
