"fips","published","distinct","spread_pct"
"48261",9,9,85.4749
"48301",9,9,65.625
"15005",9,6,47.561
"49009",9,9,44.3787
"06003",9,9,38.4661
"48257",13,9,33.0203
"02164",9,9,30.3672
"32009",9,9,29.9611
"48443",9,9,29.8264
"35021",9,9,28.7433
"28055",9,9,28.3398
"02282",9,9,28.125
"48169",9,9,27.9783
"30069",9,9,27.6173
"02068",9,9,27.572
"48269",9,9,26.7442
"31005",9,9,26.6667
"45053",9,9,26.393
"13085",9,9,25.9098
"48291",13,9,25.8858
"30109",9,9,25.8173
"48101",9,9,25.6831
"08053",9,9,25.6716
"13157",13,9,25.6143
"28125",9,9,25.5529
"48311",9,9,25.3772
"48091",13,9,25.2952
"48397",13,9,25.232
"38087",9,9,24.9701
"31009",9,9,24.9458
"31113",9,9,24.2775
"13183",9,9,23.9319
"48033",9,9,23.9281
"48359",9,8,23.7228
"37019",13,9,23.4187
"12109",13,9,23.2739
"30033",9,9,22.9885
"48209",13,9,22.9367
"08079",9,8,22.7754
"31117",9,8,22.3158
"48339",13,9,22.1705
"04021",13,9,22.0169
"48139",13,9,21.9553
"31075",9,9,21.8663
"30007",9,9,21.8062
"38007",9,8,21.662
"48367",13,9,21.6294
"48071",9,9,21.4206
"48491",13,9,21.3951
"12131",13,9,21.2589
"12097",13,9,21.047
"16025",9,9,20.6687
"48473",10,9,20.546
"31103",9,8,20.2634
"48021",13,9,20.2013
"48345",9,9,20.0158
"48231",13,9,19.9074
"48085",13,9,19.8405
"51127",9,9,19.6381
"12111",13,9,19.3441
"45051",13,9,19.3394
"48389",9,9,19.2951
"12119",13,9,19.2918
"40017",13,9,19.2399
"48497",13,9,18.9799
"12035",13,9,18.8601
"48251",13,9,18.8151
"02230",9,9,18.6606
"12105",13,9,18.4778
"31007",9,9,18.4636
"19049",13,9,18.448
"49045",13,9,18.4322
"12051",9,9,18.3052
"12101",13,9,18.2231
"45015",13,9,18.153
"48045",9,9,18.1392
"46083",13,9,18.0336
"48421",9,9,18.0064
"46063",9,9,17.9564
"13159",9,9,17.8879
"48055",9,9,17.8858
"31057",9,9,17.8421
"28163",9,9,17.8234
"49031",9,8,17.7999
"12069",13,9,17.7625
"48259",9,9,17.7279
"13013",13,9,17.6751
"01083",13,9,17.6616
"37069",13,9,17.6006
"37101",13,9,17.5973
"26095",9,9,17.4981
"49053",13,9,17.3805
"16027",13,9,17.3581
"32011",9,9,17.3187
"47189",13,9,17.3025
"48157",13,9,17.2986
"29063",9,9,17.258
