"state","abbrev","ev","harris","trump","other","winner","col","row","margin"
"Alabama","AL",9,34.1,64.57,0,"Trump",7,7,30.47
"Alaska","AK",3,41.41,54.54,1.68,"Trump",1,1,13.13
"Arizona","AZ",11,46.7,52.2,0.5,"Trump",2,6,5.5
"Arkansas","AR",6,33.56,64.2,1.12,"Trump",5,6,30.64
"California","CA",54,58.47,38.33,0,"Harris",1,5,-20.14
"Colorado","CO",10,54.13,43.14,0,"Harris",3,5,-10.99
"Connecticut","CT",7,56.4,41.89,0,"Harris",11,4,-14.51
"Delaware","DE",3,56.49,41.79,0,"Harris",10,5,-14.7
"District of Columbia","DC",3,90.28,6.47,0.85,"Harris",9,6,-83.81
"Florida","FL",30,42.99,56.09,0.4,"Trump",9,8,13.1
"Georgia","GA",16,48.53,50.73,0,"Trump",8,7,2.2
"Hawaii","HI",4,60.59,37.48,0.85,"Harris",1,8,-23.11
"Idaho","ID",4,30.38,66.87,0,"Trump",2,3,36.49
"Illinois","IL",19,54.37,43.47,0,"Harris",6,4,-10.9
"Indiana","IN",11,39.62,58.58,0,"Trump",7,4,18.96
"Iowa","IA",6,42.52,55.73,0,"Trump",5,4,13.21
"Kansas","KS",6,41.04,57.16,0,"Trump",4,6,16.12
"Kentucky","KY",8,33.94,64.47,0,"Trump",6,5,30.53
"Louisiana","LA",8,38.21,60.22,0,"Trump",5,7,22.01
"Maine","ME",4,52.4,45.46,0,"Harris",11,1,-6.94
"Maryland","MD",10,62.62,34.08,0,"Harris",9,5,-28.54
"Massachusetts","MA",11,61.22,36.02,0,"Harris",10,3,-25.2
"Michigan","MI",15,48.31,49.73,0,"Trump",7,3,1.42
"Minnesota","MN",10,50.92,46.68,0,"Harris",5,3,-4.24
"Mississippi","MS",6,38,60.89,0,"Trump",6,7,22.89
"Missouri","MO",10,40.08,58.49,0,"Trump",5,5,18.41
"Montana","MT",4,38.46,58.39,0,"Trump",3,3,19.93
"Nebraska","NE",5,38.86,59.32,0,"Trump",4,5,20.46
"Nevada","NV",6,47.49,50.59,0,"Trump",2,4,3.1
"New Hampshire","NH",4,50.65,47.87,0,"Harris",11,2,-2.78
"New Jersey","NJ",14,51.97,46.06,0,"Harris",10,4,-5.91
"New Mexico","NM",5,51.85,45.85,1.03,"Harris",3,6,-6
"New York","NY",28,55.12,42.71,0,"Harris",9,3,-12.41
"North Carolina","NC",16,47.65,50.86,0,"Trump",7,6,3.21
"North Dakota","ND",3,30.51,66.96,0,"Trump",4,3,36.45
"Ohio","OH",17,43.86,55.21,0,"Trump",8,4,11.35
"Oklahoma","OK",7,31.9,66.16,0,"Trump",4,7,34.26
"Oregon","OR",8,55.27,40.97,0,"Harris",1,4,-14.3
"Pennsylvania","PA",19,48.66,50.37,0,"Trump",9,4,1.71
"Rhode Island","RI",4,55.54,41.76,0,"Harris",11,3,-13.78
"South Carolina","SC",9,40.36,58.23,0,"Trump",8,6,17.87
"South Dakota","SD",3,34.24,63.43,0,"Trump",4,4,29.19
"Tennessee","TN",11,34.47,64.19,0,"Trump",6,6,29.72
"Texas","TX",40,42.46,56.14,0,"Trump",4,8,13.68
"Utah","UT",6,37.79,59.38,1.14,"Trump",2,5,21.59
"Vermont","VT",3,63.83,32.32,0,"Harris",10,2,-31.51
"Virginia","VA",13,51.83,46.05,0,"Harris",8,5,-5.78
"Washington","WA",12,57.2,39,0,"Harris",1,3,-18.2
"West Virginia","WV",4,28.1,69.97,0,"Trump",7,5,41.87
"Wisconsin","WI",10,48.74,49.6,0,"Trump",6,3,0.86
"Wyoming","WY",3,25.84,71.6,1.56,"Trump",3,4,45.76
