"name","rank","count","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic"
"SMITH",1,2369644,67.9949,22.618,0.833205,0.681073,4.37243,3.5004
"JOHNSON",2,1858234,56.7854,33.5641,0.880675,0.707984,4.72432,3.33752
"WILLIAMS",3,1561395,43.8243,46.2204,0.781673,0.589793,5.08475,3.49905
"BROWN",4,1386083,55.4319,34.684,0.846847,0.660855,4.82929,3.54712
"JONES",5,1383250,53.0558,37.2218,0.9122,0.59165,4.87302,3.34545
"GARCIA",6,1149510,5.70147,0.545015,0.490209,1.64061,0.42566,91.197
"MILLER",7,1129186,81.4662,10.4606,0.620358,0.681553,3.67707,3.09418
"RODRIGUEZ",8,1085838,5.12609,0.623574,0.207674,0.69025,0.324081,93.0283
"DAVIS",9,1074448,59.6162,30.8005,0.776492,0.628043,4.73564,3.44316
"MARTINEZ",10,1039848,5.60986,0.586913,0.555658,0.72626,0.38044,92.1409
"HERNANDEZ",11,1013895,4.23052,0.435647,0.236612,0.735678,0.282475,94.0791
"LOPEZ",12,878958,5.07374,0.639393,0.397289,1.16649,0.389552,92.3335
"GONZALEZ",13,828405,4.3597,0.421654,0.160429,0.423585,0.246136,94.3885
"WILSON",14,777275,64.4584,25.5484,0.979962,0.762021,4.6582,3.59307
"ANDERSON",15,756560,72.6201,18.4063,0.666173,0.755261,4.08203,3.47005
"THOMAS",16,734345,49.7179,37.759,1.00607,3.18379,4.76275,3.57053
"TAYLOR",17,723758,62.7485,27.6048,0.716262,0.660027,4.77825,3.49219
"MOORE",18,696384,63.7668,26.9798,0.649211,0.624512,4.58827,3.39138
"LEE",19,695657,33.2401,15.2613,0.902169,43.8986,4.16398,2.53386
"JACKSON",20,686937,38.2994,51.2494,0.968648,0.532072,5.4564,3.49406
"PEREZ",21,680712,5.24892,0.561912,0.233579,1.36989,0.377546,92.2082
"MARTIN",22,678691,71.8188,15.3622,0.922658,1.09549,4.06356,6.73723
"THOMPSON",23,640099,67.1385,22.9483,1.13108,0.712702,4.59819,3.47118
"WHITE",24,636798,62.9953,27.2904,1.00016,0.656252,4.67275,3.38506
"SANCHEZ",25,607848,5.15803,0.525625,0.404377,1.14585,0.394671,92.3714
"HARRIS",26,603371,49.2274,41.0366,0.623166,0.618028,5.18785,3.30692
"RAMIREZ",27,544204,4.32963,0.384047,0.251376,1.09849,0.337557,93.5989
"CLARK",28,539661,71.9776,18.4516,0.930399,0.690248,4.43427,3.51591
"NGUYEN",29,531404,1.3438,0.216408,0.0214526,95.4477,2.13679,0.833829
"LEWIS",30,515459,55.7233,34.0019,1.13413,0.724597,4.8225,3.5935
"ROBINSON",31,510138,46.7554,43.4406,0.514371,0.622969,5.07667,3.59001
"WALKER",32,504833,56.3297,33.9635,0.813734,0.591879,4.87131,3.42985
"HALL",33,470080,69.8273,21.1143,0.602238,0.718601,4.51668,3.22094
"YOUNG",34,468920,63.6893,23.9391,0.736373,3.20609,4.8247,3.60445
"ALLEN",35,465583,64.7805,25.5834,0.774942,0.675497,4.64686,3.53879
"KING",36,453539,67.5239,22.2704,0.945012,1.14455,4.53875,3.57742
"WRIGHT",37,443210,63.0633,27.5014,0.658604,0.657927,4.76591,3.35281
"TORRES",38,435998,5.6186,0.67615,0.238533,1.62891,0.40436,91.4334
"FLORES",39,426965,5.23275,0.501212,0.382467,2.39973,0.503788,90.9801
"SCOTT",40,421499,57.6583,32.0542,1.09087,0.634402,4.89491,3.66739
"HILL",41,419076,61.9663,28.119,0.88194,0.663364,4.81726,3.5521
"GREEN",42,415664,54.5308,35.79,0.599523,0.568969,4.74205,3.76867
"ADAMS",43,413470,71.1067,19.488,0.745157,0.713957,4.34155,3.60461
"NELSON",44,410801,75.0334,15.6358,1.02166,0.861488,3.90968,3.53797
"BAKER",45,401148,76.8524,14.0397,0.839092,0.71096,4.22363,3.33418
"RIVERA",46,398449,5.76209,1.05936,0.203539,2.26528,0.535828,90.1739
"MITCHELL",47,372104,58.402,31.7667,0.96129,0.607088,4.65972,3.60329
"CAMPBELL",48,370555,70.7096,20.2054,0.628517,0.659551,4.27035,3.5266
"GOMEZ",49,368213,5.26353,0.838373,0.301999,1.18002,0.400312,92.0158
"CARTER",50,364355,55.7264,34.4938,0.732802,0.587888,5.0599,3.39916
"ROBERTS",51,362049,74.2134,16.3384,0.813978,0.766471,4.38863,3.47909
"DIAZ",52,356910,5.38371,0.76686,0.185481,1.34684,0.394217,91.9229
"PHILLIPS",53,343656,73.5459,16.7959,0.959972,0.726599,4.50974,3.46189
"EVANS",54,343493,65.6508,25.0124,0.678616,0.638441,4.59223,3.42744
"CRUZ",55,342580,5.63693,0.933505,0.294822,5.80419,0.893514,86.437
"REYES",56,335828,4.53834,0.697679,0.241493,6.15553,0.703038,87.6639
"TURNER",57,333512,61.9291,29.0247,0.549905,0.553203,4.72187,3.22117
"PARKER",58,323880,66.3684,24.1018,0.8392,0.693775,4.69958,3.29721
"EDWARDS",59,320927,59.4733,30.8612,0.713246,0.66121,4.79548,3.4955
"COLLINS",60,317373,68.7563,22.0472,0.69193,0.648448,4.42287,3.43318
"STEWART",61,311429,66.4386,24.3022,0.69454,0.626146,4.44082,3.49775
"MORALES",62,310866,5.01631,0.608622,0.221317,1.38388,0.341305,92.4286
"PATEL",63,309327,3.03013,0.629108,0.575766,93.7535,1.55079,0.460678
"MORRIS",64,307446,70.2693,20.0165,0.901296,0.734113,4.45477,3.62405
"MURPHY",65,298047,80.5269,11.163,0.583465,0.724047,3.5538,3.44878
"COOK",66,290386,78.9067,12.1803,0.902592,0.668765,4.18615,3.15546
"ROGERS",67,289242,72.347,18.0465,0.755077,0.6925,4.45613,3.70278
"ORTIZ",68,288277,5.36706,0.754483,0.401697,0.815882,0.387475,92.2734
"MORGAN",69,276366,72.7383,17.2778,1.17851,0.700882,4.31348,3.79099
"GUTIERREZ",70,275216,4.92777,0.318659,0.309938,1.70303,0.377885,92.3627
"KIM",71,274068,2.45596,0.332764,0.0153247,93.8369,2.45487,0.904155
"COOPER",72,271453,65.2378,25.3727,0.715041,0.621839,4.59122,3.46137
"BAILEY",73,269092,69.4008,21.6751,0.574153,0.640301,4.45535,3.25428
"RAMOS",74,268640,6.58651,1.12641,0.251638,5.34544,0.787671,85.9023
"REED",75,268584,68.5439,21.8818,0.951658,0.670926,4.69053,3.26118
"BELL",76,267025,58.893,31.4019,0.897669,0.655369,4.7269,3.42515
"PETERSON",77,265150,81.9276,9.67792,0.707524,0.845936,3.4852,3.35584
"DOE",78,262774,52.713,21.2818,0.694894,5.06633,1.81867,18.4253
"WARD",79,255767,72.5082,18.1489,0.831616,0.638081,4.41378,3.4594
"KELLY",80,255516,75.636,15.7646,0.511514,0.763944,3.60838,3.71562
"HOWARD",81,253434,61.7021,28.8036,0.82191,0.614361,4.6955,3.36261
"COX",82,249872,79.4459,11.76,0.652334,0.62512,4.13292,3.38373
"RICHARDSON",83,249840,57.4608,32.4844,0.977025,0.6244,4.80107,3.65234
"CHAVEZ",84,244201,5.48524,0.291563,0.991806,0.795656,0.369368,92.0664
"BROOKS",85,244116,57.7447,32.5386,0.737764,0.592751,4.95256,3.43361
"JAMES",86,243502,48.4111,38.3447,2.36672,1.79834,4.84226,4.23693
"WATSON",87,242956,63.2567,27.1457,0.796029,0.688602,4.62676,3.48623
"MENDOZA",88,242772,4.6348,0.415616,0.277627,5.52453,0.576261,88.5712
"GRAY",89,241208,65.9311,24.5523,0.834549,0.690276,4.55831,3.43355
"BENNETT",90,239397,73.3485,17.3737,0.82666,0.692156,4.27365,3.48542
"WOOD",91,238948,85.596,5.23294,0.758324,0.830306,4.12977,3.45263
"RUIZ",92,237286,5.48073,0.550812,0.248645,1.1602,0.388561,92.1711
"CHEN",93,233798,2.06546,0.448678,0.00983755,95.4354,1.45981,0.580843
"CASTILLO",94,231347,5.16886,0.839432,0.575326,3.41392,0.59132,89.4111
"ALVAREZ",95,229446,5.43004,0.707356,0.386583,1.41079,0.347358,91.7179
"HUGHES",96,226912,75.5068,15.7634,0.50372,0.661049,4.13112,3.43393
"PRICE",97,225734,71.0779,19.9469,0.639248,0.645893,4.48803,3.202
"JIMENEZ",98,225722,4.24903,0.421758,0.242333,1.63918,0.353089,93.0946
"ROSS",99,224952,66.0096,23.9909,0.841513,0.753939,4.55208,3.85193
"LONG",100,223485,76.6168,11.7994,1.25601,3.04539,4.11884,3.16352
