"name","rank","count","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"SMITH",1,2442977,70.9,23.11,0.5,0.89,2.19,2.4
"JOHNSON",2,1932812,58.97,34.63,0.54,0.94,2.56,2.36
"WILLIAMS",3,1625252,45.75,47.68,0.46,0.82,2.81,2.49
"BROWN",4,1437026,57.95,35.6,0.51,0.87,2.55,2.52
"JONES",5,1425470,55.19,38.48,0.44,1,2.61,2.29
"GARCIA",6,1166120,5.38,0.45,1.41,0.47,0.26,92.03
"MILLER",7,1161437,84.11,10.76,0.54,0.66,1.77,2.17
"DAVIS",8,1116357,62.2,31.6,0.49,0.82,2.45,2.44
"RODRIGUEZ",9,1094924,4.75,0.54,0.57,0.18,0.18,93.77
"MARTINEZ",10,1060159,5.28,0.49,0.6,0.51,0.22,92.91
"HERNANDEZ",11,1043281,3.79,0.36,0.6,0.19,0.16,94.89
"LOPEZ",12,874523,4.86,0.57,1.02,0.38,0.25,92.92
"GONZALEZ",13,841025,4.03,0.35,0.38,0.14,0.13,94.97
"WILSON",14,801882,67.36,25.99,0.6,1.06,2.38,2.61
"ANDERSON",15,784404,75.17,18.93,0.61,0.74,2.11,2.44
"THOMAS",16,756142,52.63,38.75,2.44,1.07,2.58,2.54
"TAYLOR",17,751209,65.38,28.42,0.56,0.76,2.41,2.46
"MOORE",18,724374,66.41,27.74,0.48,0.68,2.34,2.34
"JACKSON",19,708099,39.89,53.04,0.39,1.06,3.12,2.5
"MARTIN",20,702625,74.8,15.76,0.9,0.98,2.02,5.56
"LEE",21,693023,35.95,16.33,42.22,0.97,2.64,1.89
"PEREZ",22,681645,4.96,0.45,1.17,0.2,0.26,92.95
"THOMPSON",23,664644,69.78,23.57,0.57,1.22,2.37,2.49
"WHITE",24,660491,65.51,28.17,0.49,1.07,2.38,2.38
"HARRIS",25,624252,51.4,42.39,0.47,0.67,2.8,2.26
"SANCHEZ",26,612752,4.98,0.45,0.96,0.37,0.24,92.99
"CLARK",27,562679,74.65,19.02,0.54,1.01,2.19,2.58
"RAMIREZ",28,557423,3.89,0.31,0.93,0.2,0.19,94.48
