"group","cand_id","cand_name","office","office_st","party","ttl_receipts"
19,"P80000722","BIDEN, JOSEPH R JR","President","00","DEM",1175189365
19,"P00009423","HARRIS, KAMALA","President","00","DEM",1175189365
124,"H4AZ07043","GALLEGO, RUBEN","House","AZ","DEM",64657200
124,"S4AZ00139","GALLEGO, RUBEN","Senate","AZ","DEM",64657200
123,"H6MD08549","TRONE, DAVID","House","MD","DEM",63833137
123,"S4MD00319","TRONE, DAVID","Senate","MD","DEM",63833137
101,"H0CA27085","SCHIFF, ADAM","House","CA","DEM",48149197
101,"S4CA00555","SCHIFF, ADAM","Senate","CA","DEM",48149197
98,"H6NV03139","ROSEN, JACKY","House","NV","DEM",43915245
98,"S8NV00156","ROSEN, JACKY","Senate","NV","DEM",43915245
82,"S4WI00256","HOVDE, ERIC","Senate","WI","REP",31958333
82,"S2WI00268","HOVDE, ERIC D","Senate","WI","REP",31958333
49,"P40012155","SCOTT, TIMOTHY E.","President","00","REP",18856383
49,"S4SC00240","SCOTT, TIMOTHY E.","Senate","SC","REP",18856383
28,"H2TN06030","BLACKBURN, MARSHA MRS.","House","TN","REP",13571274
28,"S8TN00337","BLACKBURN, MARSHA MRS.","Senate","TN","REP",13571274
23,"H8NJ03206","KIM, ANDY","House","NJ","DEM",12441004
23,"S4NJ00466","KIM, ANDY","Senate","NJ","DEM",12441004
14,"H8NM01224","HEINRICH, MARTIN","House","NM","DEM",10731410
14,"S2NM00088","HEINRICH, MARTIN","Senate","NM","DEM",10731410
142,"H2VA10240","CAO, HUNG","House","VA","REP",9832460
142,"S4VA00353","CAO, HUNG","Senate","VA","REP",9832460
121,"H2WI03130","COOKE, REBECCA","House","WI","DEM",6358059
121,"H4WI03169","COOKE, REBECCA","House","WI","DEM",6358059
115,"H0ND01026","CRAMER, KEVIN MR.","House","ND","REP",5562462
115,"S8ND00120","CRAMER, KEVIN MR.","Senate","ND","REP",5562462
110,"S4MO00250","BELL, WESLEY","Senate","MO","DEM",5386198
110,"H4MO01134","BELL, WESLEY MR","House","MO","DEM",5386198
109,"H2AZ09019","SINEMA, KYRSTEN","House","AZ","DEM",5311801
109,"S8AZ00197","SINEMA, KYRSTEN","Senate","AZ","IND",5311801
97,"P40019937","FISHBACK, BRIAN C MR.","President","00","W",4358978
97,"H4NH02399","GOODLANDER, MAGGIE","House","NH","DEM",4358978
84,"H8MI09068","PETERS, GARY","House","MI","DEM",3241786
84,"S4MI00355","PETERS, GARY","Senate","MI","DEM",3241786
78,"H4FL01247","GROSS, KEITH","House","FL","REP",2623989
78,"S4FL00553","GROSS, KEITH","Senate","FL","REP",2623989
77,"H4AZ01202","CHERNY, ANDREI","House","AZ","DEM",2593679
77,"H2AZ09043","CHERNY, ANDREI","House","AZ","DEM",2593679
72,"H2AR04083","COTTON, THOMAS","House","AR","REP",2488964
72,"S4AR00103","COTTON, THOMAS","Senate","AR","REP",2488964
66,"H2NC14019","NICKEL, WILEY","House","NC","DEM",2383094
66,"S6NC00340","NICKEL, WILEY","Senate","NC","DEM",2383094
65,"H4WI01197","BARCA, PETER","House","WI","DEM",2312575
65,"H4WI01056","BARCA, PETER WILLIAM","House","WI","DEM",2312575
62,"H0MN05251","AL-AQIDI, DALIA","House","MN","REP",2270918
62,"H4MN05113","AL-AQIDI, DALIA","House","MN","REP",2270918
58,"S2NC00505","BUDD, THEODORE P","Senate","NC","REP",2111874
58,"H6NC13129","BUDD, THEODORE P.","House","NC","REP",2111874
48,"H4MO03221","ONDER, ROBERT FOR JR.","House","MO","REP",1778242
48,"H8MO09146","ONDER, ROBERT FRANK JR","House","MO","REP",1778242
47,"H0IN09070","YOUNG, TODD CHRISTOPHER","House","IN","REP",1754998
47,"S6IN00191","YOUNG, TODD CHRISTOPHER","Senate","IN","REP",1754998
44,"S2MT00096","DAINES, STEVE","Senate","MT","REP",1682254
44,"H2MT01060","DAINES, STEVEN","House","MT","REP",1682254
41,"S2OK00186","MULLIN, MARKWAYNE","Senate","OK","REP",1659789
41,"H2OK02083","MULLIN, MARKWAYNE MR.","House","OK","REP",1659789
34,"H6KS01179","MARSHALL, ROGER W","House","KS","REP",1474617
34,"S0KS00315","MARSHALL, ROGER W","Senate","KS","REP",1474617
32,"H4NY03184","SAPRAICONE, MICHAEL","House","NY","REP",1417734
32,"S4NY00404","SAPRAICONE, MICHAEL","Senate","NY","REP",1417734
29,"H8NM03196","LUJAN, BEN R MR.","House","NM","DEM",1364756
29,"S0NM00058","LUJAN, BEN RAY","Senate","NM","DEM",1364756
24,"H4UT03302","BIRD, ROD JR.","House","UT","REP",1246161
24,"S4UT00225","BIRD, ROD JR.","Senate","UT","REP",1246161
20,"H4FL28042","EHR, PHIL","House","FL","DEM",1199608
20,"S4FL00587","EHR, PHILLIP","Senate","FL","DEM",1199608
13,"H4MT00050","ROSENDALE, MATT MR.","House","MT","REP",1067698
13,"S8MT00234","ROSENDALE, MATT MR.","Senate","MT","REP",1067698
12,"H4WV01058","EVANS, JONATHAN DERRICK","House","WV","REP",1062145
12,"S6WV00147","EVANS, JONATHAN DERRICK","Senate","WV","REP",1062145
139,"H0NC03149","SMITH, SANDY","House","NC","REP",948027
139,"S0NC00293","SMITH, SANDY","Senate","NC","REP",948027
138,"H0MI03126","AMASH, JUSTIN","House","MI","IND",914568
138,"S4MI00694","AMASH, JUSTIN","Senate","MI","REP",914568
137,"S4OK00232","LANKFORD, JAMES PAUL","Senate","OK","REP",913858
137,"H0OK05114","LANKFORD, JAMES PAUL MR.","House","OK","REP",913858
135,"H2NC14076","JACKSON, JEFF","House","NC","DEM",891839
135,"S2NC00356","JACKSON, JEFF","Senate","NC","DEM",891839
