"key","value"
"cycle_rows","3856"
"kept_rows","3685"
"categories","6"
"orderings","60"
"dup_groups","142"
"dup_rows","313"
"dup_extra","171"
"dup_biggest","BIDEN, JOSEPH R JR"
"dup_biggest_total","1175189365"
"dup_a","BIDEN, JOSEPH R JR"
"dup_b","HARRIS, KAMALA"
"dup_money_once","1569586760"
"dup_money_as_filed","3140574313"
"dup_overcount","1570987553"
"dup_widest","EKPETE KAMA, ULOMA"
"dup_widest_ids","8"
"dup_widest_total","54191"
"negative_indiv","14"
"negative_indiv_min","-118173"
"min_receipts","3000000"
"candidates","291"
"look_a","JEFFRIES, HAKEEM"
"look_a_total","22977197"
"look_b","TEIRAB, JOE"
"look_b_total","3304666"
"look_ratio","7"
"look_gap","2.06"
"look_structured","91"
"even_name","STEEL, MICHELLE"
"even_ratio","2.46"
"even_min","0.0344"
"even_max","0.0846"
"max_ratio","12701.32"
"max_ratio_name","TRONE, DAVID"
"min_ratio","2.46"
"min_ratio_name","STEEL, MICHELLE"
"median_other_pct","0.53"
"max_other_pct","41.1"
"max_other_name","THUNE, JOHN R."
