"cand_name","ordering","axes","area"
"HARRIS, KAMALA",1,"indiv_contrib pac_contrib party_contrib self_funding trans_from_auth other",0.0100159
"HARRIS, KAMALA",2,"indiv_contrib pac_contrib party_contrib self_funding other trans_from_auth",0.107346
"HARRIS, KAMALA",3,"indiv_contrib pac_contrib party_contrib trans_from_auth self_funding other",0.00537052
"HARRIS, KAMALA",4,"indiv_contrib pac_contrib party_contrib trans_from_auth other self_funding",0.00467553
"HARRIS, KAMALA",5,"indiv_contrib pac_contrib party_contrib other self_funding trans_from_auth",0.102701
"HARRIS, KAMALA",6,"indiv_contrib pac_contrib party_contrib other trans_from_auth self_funding",0.00467515
"HARRIS, KAMALA",7,"indiv_contrib pac_contrib self_funding party_contrib trans_from_auth other",0.0100163
"HARRIS, KAMALA",8,"indiv_contrib pac_contrib self_funding party_contrib other trans_from_auth",0.107346
"HARRIS, KAMALA",9,"indiv_contrib pac_contrib self_funding trans_from_auth party_contrib other",0.00537054
"HARRIS, KAMALA",10,"indiv_contrib pac_contrib self_funding trans_from_auth other party_contrib",0.00467561
"HARRIS, KAMALA",11,"indiv_contrib pac_contrib self_funding other party_contrib trans_from_auth",0.102701
"HARRIS, KAMALA",12,"indiv_contrib pac_contrib self_funding other trans_from_auth party_contrib",0.00467598
"HARRIS, KAMALA",13,"indiv_contrib pac_contrib trans_from_auth party_contrib self_funding other",0.00539608
"HARRIS, KAMALA",14,"indiv_contrib pac_contrib trans_from_auth party_contrib other self_funding",0.00005537
"HARRIS, KAMALA",15,"indiv_contrib pac_contrib trans_from_auth self_funding party_contrib other",0.00539571
"HARRIS, KAMALA",16,"indiv_contrib pac_contrib trans_from_auth self_funding other party_contrib",0.00005543
"HARRIS, KAMALA",17,"indiv_contrib pac_contrib trans_from_auth other party_contrib self_funding",0.00470072
"HARRIS, KAMALA",18,"indiv_contrib pac_contrib trans_from_auth other self_funding party_contrib",0.00470115
"HARRIS, KAMALA",19,"indiv_contrib pac_contrib other party_contrib self_funding trans_from_auth",0.102702
"HARRIS, KAMALA",20,"indiv_contrib pac_contrib other party_contrib trans_from_auth self_funding",0.00003113
"HARRIS, KAMALA",21,"indiv_contrib pac_contrib other self_funding party_contrib trans_from_auth",0.102702
"HARRIS, KAMALA",22,"indiv_contrib pac_contrib other self_funding trans_from_auth party_contrib",0.00003156
"HARRIS, KAMALA",23,"indiv_contrib pac_contrib other trans_from_auth party_contrib self_funding",0.00467686
"HARRIS, KAMALA",24,"indiv_contrib pac_contrib other trans_from_auth self_funding party_contrib",0.00467692
"HARRIS, KAMALA",25,"indiv_contrib party_contrib pac_contrib self_funding trans_from_auth other",0.00998693
"HARRIS, KAMALA",26,"indiv_contrib party_contrib pac_contrib self_funding other trans_from_auth",0.107317
"HARRIS, KAMALA",27,"indiv_contrib party_contrib pac_contrib trans_from_auth self_funding other",0.00536675
"HARRIS, KAMALA",28,"indiv_contrib party_contrib pac_contrib trans_from_auth other self_funding",0.00467176
"HARRIS, KAMALA",29,"indiv_contrib party_contrib pac_contrib other self_funding trans_from_auth",0.102673
"HARRIS, KAMALA",30,"indiv_contrib party_contrib pac_contrib other trans_from_auth self_funding",0.00464753
"HARRIS, KAMALA",31,"indiv_contrib party_contrib self_funding pac_contrib trans_from_auth other",0.0100125
"HARRIS, KAMALA",32,"indiv_contrib party_contrib self_funding pac_contrib other trans_from_auth",0.107319
"HARRIS, KAMALA",33,"indiv_contrib party_contrib self_funding trans_from_auth pac_contrib other",0.00536808
"HARRIS, KAMALA",34,"indiv_contrib party_contrib self_funding other pac_contrib trans_from_auth",0.102699
"HARRIS, KAMALA",35,"indiv_contrib party_contrib trans_from_auth pac_contrib self_funding other",0.00536715
"HARRIS, KAMALA",36,"indiv_contrib party_contrib trans_from_auth pac_contrib other self_funding",0.00002774
"HARRIS, KAMALA",37,"indiv_contrib party_contrib trans_from_auth self_funding pac_contrib other",0.00534291
"HARRIS, KAMALA",38,"indiv_contrib party_contrib trans_from_auth other pac_contrib self_funding",0.00464792
"HARRIS, KAMALA",39,"indiv_contrib party_contrib other pac_contrib self_funding trans_from_auth",0.102673
"HARRIS, KAMALA",40,"indiv_contrib party_contrib other pac_contrib trans_from_auth self_funding",0.00002737
"HARRIS, KAMALA",41,"indiv_contrib party_contrib other self_funding pac_contrib trans_from_auth",0.102697
"HARRIS, KAMALA",42,"indiv_contrib party_contrib other trans_from_auth pac_contrib self_funding",0.00467178
"HARRIS, KAMALA",43,"indiv_contrib self_funding pac_contrib party_contrib trans_from_auth other",0.00998687
"HARRIS, KAMALA",44,"indiv_contrib self_funding pac_contrib party_contrib other trans_from_auth",0.107317
"HARRIS, KAMALA",45,"indiv_contrib self_funding pac_contrib trans_from_auth party_contrib other",0.00536671
"HARRIS, KAMALA",46,"indiv_contrib self_funding pac_contrib other party_contrib trans_from_auth",0.102673
"HARRIS, KAMALA",47,"indiv_contrib self_funding party_contrib pac_contrib trans_from_auth other",0.010012
"HARRIS, KAMALA",48,"indiv_contrib self_funding party_contrib pac_contrib other trans_from_auth",0.107318
"HARRIS, KAMALA",49,"indiv_contrib self_funding party_contrib trans_from_auth pac_contrib other",0.00536802
"HARRIS, KAMALA",50,"indiv_contrib self_funding party_contrib other pac_contrib trans_from_auth",0.102698
"HARRIS, KAMALA",51,"indiv_contrib self_funding trans_from_auth pac_contrib party_contrib other",0.00536632
"HARRIS, KAMALA",52,"indiv_contrib self_funding trans_from_auth party_contrib pac_contrib other",0.00534246
"HARRIS, KAMALA",53,"indiv_contrib self_funding other pac_contrib party_contrib trans_from_auth",0.102673
"HARRIS, KAMALA",54,"indiv_contrib self_funding other party_contrib pac_contrib trans_from_auth",0.102697
"HARRIS, KAMALA",55,"indiv_contrib trans_from_auth pac_contrib party_contrib self_funding other",0.108038
"HARRIS, KAMALA",56,"indiv_contrib trans_from_auth pac_contrib self_funding party_contrib other",0.108038
"HARRIS, KAMALA",57,"indiv_contrib trans_from_auth party_contrib pac_contrib self_funding other",0.108012
