"cand_id","cand_name","office","office_st","party","role","ttl_receipts","indiv_contrib","pac_contrib","party_contrib","self_funding","trans_from_auth","other","p_indiv_contrib","p_pac_contrib","p_party_contrib","p_self_funding","p_trans_from_auth","p_other"
"P00009423","HARRIS, KAMALA","President","00","DEM","almost all from individuals and transfers",1175189365,613557357,152322,2090,0,533714770,27762827,52.2092,0.013,0.0002,0,45.4152,2.3624
"H6MD08549","TRONE, DAVID","House","MD","DEM","almost all the candidate's own money",63833137,853812,5000,0,62877800,0,96525,1.3376,0.0078,0,98.5034,0,0.1512
"H0LA01087","SCALISE, STEVE MR","House","LA","REP","almost all transferred in",14732239,2538506,187000,0,0,11995969,10765.1,17.231,1.2693,0,0,81.4266,0.0731
"H4MO08162","SMITH, JASON T","House","MO","REP","the most PAC-funded campaign in the file",6549799,2285777,3480068,0,0,776930,7024.5,34.8984,53.1324,0,0,11.8619,0.1072
"H0CA48198","STEEL, MICHELLE","House","CA","REP","the most evenly spread profile in the file",10730107,4716765,1971530,0,1910000,1813348,318464,43.9582,18.3738,0,17.8004,16.8996,2.9679
