"institution","variable","year","n","great_deal","only_some","hardly_any"
"Congress","conlegis",1973,1458,24.1,60.6,15.2
"Congress","conlegis",1974,1436,17.5,61.5,21
"Congress","conlegis",1975,1444,13.9,60.3,25.8
"Congress","conlegis",1976,1455,13.7,59.8,26.5
"Congress","conlegis",1977,1479,19.1,63.4,17.5
"Congress","conlegis",1978,1479,13.3,65.6,21.1
"Congress","conlegis",1980,1408,9.6,56.2,34.2
"Congress","conlegis",1982,1808,14,63.5,22.5
"Congress","conlegis",1983,1545,11.4,65.3,23.3
"Congress","conlegis",1984,957,14.3,64.5,21.2
"Congress","conlegis",1986,1428,17.7,62.1,20.3
"Congress","conlegis",1987,1751,17.4,63.4,19.1
"Congress","conlegis",1988,962,16.8,63.1,20.2
"Congress","conlegis",1989,999,18.1,60.5,21.4
"Congress","conlegis",1990,869,16.6,60.8,22.6
"Congress","conlegis",1991,981,18.9,55.1,26
"Congress","conlegis",1993,1029,6.9,49.5,43.5
"Congress","conlegis",1994,1949,9,51,40
"Congress","conlegis",1996,1859,7.8,48.3,43.9
"Congress","conlegis",1998,1842,11.6,56.9,31.6
"Congress","conlegis",2000,1803,14,56.9,29.1
"Congress","conlegis",2002,892,15.2,58.9,25.9
"Congress","conlegis",2004,863,16.2,58.7,25.1
"Congress","conlegis",2006,1938,12,53.9,34
"Congress","conlegis",2008,1338,10.4,52,37.6
"Congress","conlegis",2010,1347,11,47.9,41.1
"Congress","conlegis",2012,1295,7.4,45.8,46.8
"Congress","conlegis",2014,1644,5.9,41.5,52.6
"Congress","conlegis",2016,1925,5.9,41.7,52.4
"Congress","conlegis",2018,1523,6.2,47.6,46.2
"Congress","conlegis",2021,2661,7,41.4,51.6
"Congress","conlegis",2022,2331,5.7,41.1,53.2
"Congress","conlegis",2024,2148,5.6,42.5,51.9
"Executive branch of federal government","confed",1973,1469,29.6,51.7,18.7
"Executive branch of federal government","confed",1974,1450,13.9,43.4,42.7
"Executive branch of federal government","confed",1975,1450,13.7,55.9,30.4
"Executive branch of federal government","confed",1976,1449,13.3,61,25.6
"Executive branch of federal government","confed",1977,1477,27.8,57.9,14.3
"Executive branch of federal government","confed",1978,1479,12.4,61.1,26.4
"Executive branch of federal government","confed",1980,1416,13.5,50.5,36
"Executive branch of federal government","confed",1982,1802,21.2,54.2,24.6
"Executive branch of federal government","confed",1983,1545,14,57.3,28.8
"Executive branch of federal government","confed",1984,954,19.8,52.3,27.8
"Executive branch of federal government","confed",1986,1427,22.7,54.7,22.6
"Executive branch of federal government","confed",1987,1750,19.6,52.8,27.6
