"spender","amount","against","pct_against"
"FF PAC",505077660.37,577328.88,0.1
"MAKE AMERICA GREAT AGAIN INC.",385879049.31,328159307.64,85
"WinSenate",315025998.46,290805485.69,92.3
"HMP",241069107.74,219363604.86,91
"Congressional Leadership Fund",216787366.48,200888319.52,92.7
"Senate Leadership Fund",211093032.88,200413136.72,94.9
"America PAC",185528851.16,80427800.62,43.4
"Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action",160506475.75,52252982.26,32.6
"PRESERVE AMERICA PAC",112321879.52,112266879.52,100
"DCCC",102986088.56,97760983.8,94.9
"SFA Fund, Inc",99658994.82,35570479.15,35.7
"AB PAC",86042846.48,86042846.48,100
"RIGHT FOR AMERICA",69583233.16,51119938.98,73.5
"WIN IT BACK PAC",62802353.62,61368815.73,97.7
"American Crossroads",60227818.91,60013430.74,99.6
"DEFEND AMERICAN JOBS",59326857.44,1531014.96,2.6
"KEYSTONE RENEWAL PAC",54394982.49,41333144.35,76
"LCV Victory Fund",53368286.97,17029960.67,31.9
"NRCC",50576806.62,50282135.37,99.4
"DSCC",43754853.31,43754853.31,100
"RESTORATION PAC",42747110.92,41859266.33,97.9
"Republican Accountability PAC",40541215.75,22735564.09,56.1
"Fairshake",39411566.2,13529359.01,34.3
"UNITED DEMOCRACY PROJECT (UDP)",39044058.49,24958615.07,63.9
"NEVER BACK DOWN, INC.",37763022.46,5377477.09,14.2
