"candidate","office","party","supporting","opposing","total","pct_against"
"HARRIS, KAMALA","P","DEMOCRATIC PARTY",774873664.23,575335871.85,1350209536.08,42.6
"TRUMP, DONALD","P","REPUBLICAN PARTY",151181614.47,184751858.52,335933472.99,55
"MORENO, BERNIE","S","REPUBLICAN PARTY",70029103.48,85972523.55,156001627.03,55.1
"BROWN, SHERROD","S","DEMOCRATIC PARTY",26423342.4,117991161.8,144414504.2,81.7
"HALEY, NIKKI","P","REPUBLICAN PARTY",102282213.64,24689371.12,126971584.76,19.4
"CASEY, ROBERT","S","DEMOCRATIC PARTY",15637794.38,110745340.25,126383134.63,87.6
"TRUMP, DONALD J.","P","REPUBLICAN PARTY",92494274.51,18784518.31,111278792.82,16.9
"MCCORMICK, DAVE","S","REPUBLICAN PARTY",29999115.72,80978198.41,110977314.13,73
"SHEEHY, TIM","S","REPUBLICAN PARTY",19605600.72,65508274.61,85113875.33,77
"SLOTKIN, ELISSA","S","DEMOCRATIC PARTY",25436738.09,54261550.56,79698288.65,68.1
"DESANTIS, RON","P","REPUBLICAN PARTY",37199460.16,31726976.97,68926437.13,46
"BROWN, SAM","S","REPUBLICAN PARTY",19033649.36,46853445.45,65887094.81,71.1
"HOVDE, ERIC","S","",10582810.98,51827172.94,62409983.92,83
"BALDWIN, TAMMY","S","",10094528.86,51648529.56,61743058.42,83.7
"TESTER, R.","S","DEMOCRATIC PARTY",7710632.93,48558286.64,56268919.57,86.3
"GALLEGO, RUBEN","S","",26492408.91,23112201.27,49604610.18,46.6
"ALLRED, COLIN","S","DEMOCRATIC PARTY",11654680.81,37040278.45,48694959.26,76.1
"ROGERS, MICHAEL","S","REPUBLICAN PARTY",7296003.32,39882510.51,47178513.83,84.5
"ROSEN, JACKY","S","DEMOCRATIC PARTY",10097524.47,31369080.58,41466605.05,75.6
"BIDEN, JOSEPH R JR","P","DEMOCRATIC PARTY",1964294.83,34425776.52,36390071.35,94.6
"ALSOBROOKS, ANGELA","S","DEMOCRATIC PARTY",4153042.46,31243049.8,35396092.26,88.3
"LAKE, KARI","S","REPUBLICAN PARTY",2088786.51,30265820.51,32354607.02,93.5
"DESANTIS, RONALD","P","REPUBLICAN PARTY",0,28909467.61,28909467.61,100
"OSBORN, DAN","S","INDEPENDENT",13756601.96,8855091.45,22611693.41,39.2
"BIDEN, JOSEPH","P","DEMOCRATIC PARTY",6081949.05,15311390.41,21393339.46,71.6
"TESTER, R. JON","S","DEMOCRATIC PARTY",2670887.03,17010063,19680950.03,86.4
"STEEL, MICHELLE","H","REPUBLICAN PARTY",5595743.93,13445855.85,19041599.78,70.6
"BURGUM, DOUG","P","REPUBLICAN PARTY",18724023.22,2789.29,18726812.51,0
"TRAN, DEREK","H","DEMOCRATIC PARTY",6394268.26,12317687.17,18711955.43,65.8
"HOGAN, LARRY","S","REPUBLICAN PARTY",2549527.26,16153228.85,18702756.11,86.4
