"n","column","values","blank"
1,"cand_id","749 distinct, e.g. ""H4CO08034""",12.9
2,"cand_name","1,323 distinct, e.g. ""Evans, Gabe""",0
3,"spe_id","1,001 distinct, e.g. ""C00866517""",0
4,"spe_nam","1,081 distinct, e.g. "" Go America PAC""",0
5,"ele_type","G · P · O · S · R · C",0
6,"can_office_state","57 distinct, e.g. ""CO""",17.6
7,"can_office_dis","46 distinct, e.g. ""08""",0
8,"can_office","H · P · S",0
9,"cand_pty_aff","9 distinct, e.g. ""REPUBLICAN PARTY""",15
10,"exp_amo","30,236 distinct, -580,000 to 9,978,412,568",0
11,"exp_date","581 distinct, e.g. ""27-SEP-24""",35.1
12,"agg_amo","30,148 distinct, 0 to 2,888,374,799",0.2
13,"sup_opp","S · O",0.2
14,"pur","5,785 distinct, e.g. ""texts supporting Gabe Evans CO-8""",0
15,"pay","5,448 distinct, e.g. ""TTHM.com""",0
16,"file_num","11,837 distinct, e.g. ""1845617""",0
17,"amndt_ind","N · A1 · A2 · A3 · A4",0
18,"tran_id","49,153 distinct, e.g. ""E2D2833410CAA40CB9A5""",0
19,"image_num","37,632 distinct, e.g. ""202410319719900778""",0
20,"receipt_dat","698 distinct, e.g. ""31-OCT-24""",0
21,"fec_election_yr","2024",0
22,"prev_file_num","1,185 distinct, e.g. ""1832140""",82.5
23,"dissem_dt","693 distinct, e.g. ""30-OCT-24""",19.3
