"spender","cand_name","amount","pur","file_num","sup_opp"
"THE COURT OF DIVINE JUSTICE","AKHLAGHY, NADER",9978412568,"Political Contribution","1778759","S"
"THE COMMITTEE OF 300","AKHLAGHY, NADER",9778412568,"Political Contribution","1766664","S"
"THE COMMITTEE OF 300","AKHLAGHY, NADER",9000000000,"DEPOSIT FOR WINNING IN ELECTION","1766323","S"
"THE COMMITTEE OF 300","AKHLAGHY, NADER",7959594848,"FOR WIN THIS ELECTION","1798067","S"
"Republican Emo Girl","BOUNNHARAT, AMANDRA",6347882325,"Senate campaign.","1763978","S"
"The Masonic Illuminati Eye","AKHLAGHY, NADER",579874829,"Political Contribution","1767013","S"
"Gus Associates","WHITE, WALTER",255000000,"funding for waltuh white's campaign","1707511","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
"Food & Water Action","HARRIS, KAMALA",114056874,"Voter outreach","1848231","S"
