"county","votes","dem","mail","mail_pct","dem_pct"
"Appling",8341,1779,1482,17.7677,21.3284
"Atkinson",3155,825,297,9.41363,26.149
"Bacon",4668,625,687,14.7172,13.389
"Baker",1555,652,374,24.0514,41.9293
"Baldwin",18251,9140,4328,23.7138,50.0794
"Banks",8801,932,1378,15.6573,10.5897
"Barrow",37921,10453,7848,20.6957,27.5652
"Bartow",50467,12092,10610,21.0236,23.9602
"Ben Hill",6560,2392,1250,19.0549,36.4634
"Berrien",7743,1269,1125,14.5293,16.389
"Bibb",70802,43468,19813,27.9837,61.3937
"Bleckley",5706,1311,1052,18.4367,22.9758
"Brantley",7746,699,900,11.6189,9.02401
"Brooks",7100,2790,1643,23.1408,39.2958
"Bryan",21340,6739,3765,17.6429,31.5792
"Bulloch",30084,11243,6417,21.3303,37.372
"Burke",10684,5209,2530,23.6803,48.7551
"Butts",11771,3274,2130,18.0953,27.8141
"Calhoun",2194,1260,589,26.8459,57.4294
"Camden",23688,7967,5033,21.247,33.6331
"Candler",4431,1269,755,17.039,28.6391
"Carroll",54474,16238,9458,17.3624,29.8087
"Catoosa",32593,6932,5160,15.8316,21.2684
"Charlton",4566,1103,698,15.2869,24.1568
"Chatham",133420,78254,41324,30.9729,58.6524
"Chattahoochee",1582,667,307,19.4058,42.1618
"Chattooga",10050,1854,1776,17.6716,18.4478
"Cherokee",144830,42794,37528,25.9118,29.5477
"Clarke",51333,36048,18620,36.273,70.2238
"Clay",1434,790,403,28.1032,55.0907
"Clayton",112344,95476,31787,28.2943,84.9854
"Clinch",2864,747,367,12.8142,26.0824
"Cobb",393746,221846,148597,37.7393,56.3424
"Coffee",15214,4511,1929,12.6791,29.6503
"Colquitt",16083,4187,2584,16.0667,26.0337
"Columbia",80579,29236,16810,20.8615,36.2824
"Cook",7035,2059,1012,14.3852,29.2679
"Coweta",76799,24210,18992,24.7295,31.5238
"Crawford",6102,1615,1096,17.9613,26.4667
"Crisp",8039,2986,1676,20.8484,37.1439
"Dade",7434,1261,1024,13.7745,16.9626
"Dawson",16081,2486,3059,19.0224,15.4592
"Decatur",11627,4780,2327,20.0138,41.1112
"DeKalb",370804,308227,128100,34.5466,83.124
"Dodge",8070,2171,1301,16.1214,26.9021
"Dooly",4105,1911,742,18.0755,46.553
"Dougherty",35311,24577,10477,29.6706,69.6015
"Douglas",69097,42809,19659,28.4513,61.9549
"Early",5187,2437,1106,21.3225,46.9828
"Echols",1441,167,156,10.8258,11.5892
"Effingham",31570,7720,4945,15.6636,24.4536
"Elbert",9171,2879,2076,22.6366,31.3924
"Emanuel",9501,2884,1711,18.0086,30.3547
"Evans",4247,1324,850,20.0141,31.1749
"Fannin",14850,2571,3444,23.1919,17.3131
"Fayette",71993,33065,18766,26.0664,45.9281
"Floyd",41648,12008,8510,20.4332,28.8321
"Forsyth",129305,42203,30771,23.7972,32.6383
"Franklin",10765,1593,2027,18.8295,14.798
"Fulton",524659,381144,146994,28.0171,72.646
"Gilmer",16525,2932,3488,21.1074,17.7428
"Glascock",1566,155,259,16.539,9.89783
"Glynn",41984,15879,10228,24.3617,37.8216
"Gordon",24033,4384,4053,16.8643,18.2416
"Grady",10707,3619,2226,20.7901,33.8003
"Greene",11247,4088,2826,25.1267,36.3475
"Gwinnett",413865,241827,123577,29.8593,58.4314
"Habersham",20432,3563,4262,20.8594,17.4383
"Hall",90523,25031,21525,23.7785,27.6515
"Hancock",4165,2985,1474,35.3902,71.6687
"Haralson",14248,1792,2487,17.4551,12.5772
"Harris",19991,5457,4216,21.0895,27.2973
"Hart",12727,3157,2585,20.3111,24.8055
"Heard",5391,824,984,18.2526,15.2847
"Henry",122742,73276,29302,23.8728,59.6992
"Houston",74823,32232,20324,27.1628,43.0777
"Irwin",4168,1008,627,15.0432,24.1843
"Jackson",37670,7642,7308,19.4001,20.2867
"Jasper",7644,1761,1506,19.7017,23.0377
"Jeff Davis",5771,1028,814,14.105,17.8132
"Jefferson",7642,4061,1726,22.5857,53.1405
"Jenkins",3455,1266,756,21.8813,36.6425
"Johnson",4100,1222,757,18.4634,29.8049
"Jones",14966,4888,2979,19.9051,32.6607
"Lamar",9039,2615,1757,19.438,28.9302
"Lanier",3576,1019,558,15.604,28.4955
"Laurens",22729,8073,5124,22.5439,35.5185
"Lee",16714,4558,2483,14.8558,27.2706
"Liberty",21389,13099,5705,26.6726,61.2418
"Lincoln",4650,1435,1080,23.2258,30.8602
"Long",5656,2033,804,14.215,35.9441
"Lowndes",46355,20117,9430,20.343,43.3977
"Lumpkin",15531,3126,3315,21.3444,20.1275
"Macon",4662,2857,847,18.1682,61.2827
"Madison",14937,3411,2950,19.7496,22.8359
"Marion",3624,1311,772,21.3024,36.1755
"McDuffie",10455,4168,2443,23.3668,39.8661
"McIntosh",6696,2612,1702,25.4182,39.0084
"Meriwether",10877,4287,2486,22.8556,39.4134
"Miller",2835,749,487,17.1781,26.4198
"Mitchell",8963,3995,2189,24.4226,44.5721
"Monroe",15592,4384,2461,15.7837,28.117
"Montgomery",3966,979,669,16.8684,24.6848
"Morgan",11707,3355,1999,17.0753,28.6581
"Murray",15389,2302,2062,13.3992,14.9587
"Muscogee",80543,49529,24350,30.2323,61.4939
"Newton",54239,29794,15489,28.5569,54.931
"Oconee",25168,8162,5765,22.9061,32.4301
"Oglethorpe",8131,2436,1842,22.654,29.9594
"Paulding",85385,29704,20385,23.8742,34.7883
"Peach",12545,5920,2563,20.4305,47.1901
"Pickens",17116,2808,2939,17.1711,16.4057
"Pierce",9048,1100,1297,14.3347,12.1574
"Pike",10720,1505,1462,13.6381,14.0392
"Polk",17399,3658,2819,16.2021,21.0242
"Pulaski",4059,1217,659,16.2355,29.9828
"Putnam",11855,3448,3272,27.6002,29.0848
"Quitman",1106,497,226,20.434,44.9367
"Rabun",9568,1984,2584,27.0067,20.7358
"Randolph",3074,1671,680,22.121,54.3591
"Richmond",87016,59124,27903,32.0665,67.9461
"Rockdale",44686,31244,12549,28.0826,69.919
"Schley",2275,462,314,13.8022,20.3077
"Screven",6628,2661,1299,19.5987,40.1479
"Seminole",3884,1254,547,14.0834,32.2863
"Spalding",30116,11784,7807,25.9231,39.1287
"Stephens",11885,2385,2195,18.4687,20.0673
"Stewart",1990,1182,485,24.3719,59.397
"Sumter",12150,6318,2878,23.6872,52
"Talbot",3522,2114,1198,34.0148,60.0227
"Taliaferro",928,561,302,32.5431,60.4526
"Tattnall",8183,2061,1374,16.7909,25.1864
"Taylor",3839,1387,784,20.422,36.1292
"Telfair",4333,1487,978,22.571,34.318
"Terrell",4416,2376,1121,25.385,53.8043
"Thomas",21853,8708,4117,18.8395,39.8481
"Tift",16283,5322,2718,16.6923,32.6844
"Toombs",10914,2939,2311,21.1746,26.9287
"Towns",7979,1550,1948,24.4141,19.426
"Treutlen",3077,952,581,18.882,30.9392
"Troup",30049,11578,6424,21.3784,38.5304
"Turner",3792,1410,527,13.8977,37.1835
"Twiggs",4444,2044,1053,23.6949,45.9946
"Union",15560,2801,3558,22.8663,18.0013
"Upson",12905,4201,2767,21.4413,32.5533
"Walker",29354,5769,5799,19.7554,19.6532
"Walton",51095,12682,10396,20.3464,24.8204
"Ware",14192,4211,2941,20.7229,29.6716
"Warren",2651,1469,746,28.1403,55.4131
"Washington",9459,4730,2544,26.895,50.0053
"Wayne",12778,2687,2106,16.4815,21.0283
"Webster",1390,639,350,25.1799,45.9712
"Wheeler",2285,689,398,17.4179,30.1532
"White",14816,2411,3088,20.8423,16.2729
"Whitfield",36746,10670,6468,17.6019,29.0372
"Wilcox",3281,862,557,16.9765,26.2725
"Wilkes",5029,2160,1232,24.4979,42.9509
"Wilkinson",4770,2075,865,18.1342,43.501
"Worth",9285,2395,1596,17.189,25.7943
