"unit","county","votes","dem","mail","mail_pct","dem_pct"
"Appling|1B","Appling",993,116,170,17.1198,11.6818
"Appling|1C","Appling",640,44,75,11.7188,6.875
"Appling|2","Appling",1448,908,372,25.6906,62.7072
"Appling|3A1","Appling",611,20,75,12.275,3.27332
"Appling|3C","Appling",1135,288,235,20.7048,25.3744
"Appling|4B","Appling",672,23,83,12.3512,3.42262
"Appling|4D","Appling",1179,130,198,16.7939,11.0263
"Appling|5A","Appling",820,118,139,16.9512,14.3902
"Appling|5B","Appling",843,132,135,16.0142,15.6584
"Atkinson|Axson","Atkinson",527,45,31,5.88235,8.5389
"Atkinson|Pearson City","Atkinson",564,329,71,12.5887,58.3333
"Atkinson|Pearson County","Atkinson",1197,160,113,9.44027,13.3668
"Atkinson|Willacoochee","Atkinson",867,291,82,9.4579,33.564
"Bacon|Douglas","Bacon",4668,625,687,14.7172,13.389
"Baker|Anna","Baker",124,31,17,13.7097,25
"Baker|Elmodel","Baker",289,148,82,28.3737,51.2111
"Baker|Hoggards Mill","Baker",234,111,60,25.641,47.4359
"Baker|Milford","Baker",206,69,43,20.8738,33.4951
"Baker|Newton","Baker",702,293,172,24.5014,41.7379
"Baldwin|Boddie","Baldwin",687,547,190,27.6565,79.6215
"Baldwin|City Hall Annex","Baldwin",490,331,159,32.449,67.551
"Baldwin|Coopers","Baldwin",1114,320,184,16.5171,28.7253
"Baldwin|Courthouse","Baldwin",288,169,82,28.4722,58.6806
"Baldwin|East Baldwin","Baldwin",2768,1159,557,20.1228,41.8714
"Baldwin|East Hardwick","Baldwin",672,520,211,31.3988,77.381
"Baldwin|Fire Dept","Baldwin",933,711,291,31.1897,76.2058
"Baldwin|Meriweather","Baldwin",2223,831,458,20.6028,37.3819
"Baldwin|North Baldwin","Baldwin",2725,810,546,20.0367,29.7248
"Baldwin|North Milledgeville","Baldwin",1674,859,405,24.1935,51.3142
"Baldwin|Scottsboro","Baldwin",709,275,145,20.4513,38.787
"Baldwin|South Milledgeville","Baldwin",771,583,223,28.9235,75.6161
"Baldwin|West Baldwin","Baldwin",1354,604,300,22.1566,44.6086
"Baldwin|West Hardwick","Baldwin",1843,1421,577,31.3077,77.1026
"Banks|Anderson","Banks",1013,100,148,14.6101,9.87167
"Banks|Baldwin","Banks",637,103,166,26.0597,16.1695
"Banks|Berlin","Banks",295,29,34,11.5254,9.83051
"Banks|Bushville","Banks",513,42,58,11.306,8.18713
"Banks|Columbia","Banks",278,20,36,12.9496,7.19424
"Banks|Davids","Banks",1284,166,184,14.3302,12.9283
"Banks|Golden Hill","Banks",625,80,103,16.48,12.8
"Banks|Grove River","Banks",424,33,74,17.4528,7.78302
"Banks|Hollingsworth","Banks",488,53,81,16.5984,10.8607
"Banks|Homer","Banks",1071,108,152,14.1923,10.084
"Banks|Poplar Springs","Banks",1249,113,208,16.6533,9.04724
"Banks|Washington","Banks",495,53,68,13.7374,10.7071
"Banks|Wilmonts","Banks",429,32,66,15.3846,7.45921
"Barrow|01 Bethlehem Community Center","Barrow",2328,560,419,17.9983,24.055
"Barrow|02 Bethlehem Church - 211","Barrow",5071,966,1105,21.7906,19.0495
"Barrow|03 Hmong New Hope Alliance Church ","Barrow",4115,943,851,20.6804,22.9162
"Barrow|04 Covenant Life Sanctuary ","Barrow",2582,624,512,19.8296,24.1673
"Barrow|05 Fire Station 1 (Statham)","Barrow",6011,1743,1267,21.078,28.9968
"Barrow|08 First Baptist Church Winder","Barrow",4984,1114,949,19.0409,22.3515
"Barrow|13 Winder Community Center","Barrow",5808,2036,1238,21.3154,35.0551
"Barrow|16 The Church at Winder","Barrow",7022,2467,1507,21.4611,35.1324
"Bartow|Adairsville","Bartow",4800,908,884,18.4167,18.9167
"Bartow|Allatoona","Bartow",2724,696,551,20.2276,25.5507
"Bartow|Cartersville East","Bartow",4402,1527,1125,25.5566,34.6888
"Bartow|Cartersville West","Bartow",5867,1776,1407,23.9816,30.271
"Bartow|Cassville","Bartow",3331,1019,1073,32.2125,30.5914
"Bartow|Center","Bartow",2928,568,620,21.1749,19.3989
"Bartow|Emerson","Bartow",2025,414,434,21.4321,20.4444
"Bartow|Euharlee","Bartow",3781,853,675,17.8524,22.5602
"Bartow|Folsom","Bartow",1018,113,162,15.9136,11.1002
"Bartow|Hamilton Crossing","Bartow",4194,921,618,14.7353,21.9599
"Bartow|Kingston","Bartow",1882,305,334,17.7471,16.2062
"Bartow|Mission Road","Bartow",2806,711,602,21.454,25.3386
"Bartow|Pine Log","Bartow",1583,189,272,17.1826,11.9394
"Bartow|Taylorsville","Bartow",2092,206,336,16.0612,9.84704
"Bartow|White","Bartow",1955,275,341,17.4425,14.0665
"Bartow|Woodland","Bartow",1279,297,279,21.8139,23.2213
"Bartow|Zena Drive","Bartow",3800,1314,897,23.6053,34.5789
"Ben Hill|East","Ben Hill",2451,1182,525,21.4198,48.2252
"Ben Hill|West","Ben Hill",4109,1210,725,17.6442,29.4476
"Berrien|Alapaha","Berrien",833,206,110,13.2053,24.7299
"Berrien|Enigma","Berrien",728,86,96,13.1868,11.8132
"Berrien|Nashville","Berrien",4112,694,612,14.8833,16.8774
"Berrien|Ray City","Berrien",1290,216,194,15.0388,16.7442
"Berrien|West Berrien","Berrien",780,67,113,14.4872,8.58974
"Bibb|East Macon 1","Bibb",987,929,348,35.2584,94.1236
"Bibb|East Macon 2","Bibb",2353,2169,805,34.2116,92.1802
"Bibb|East Macon 3","Bibb",2156,1563,683,31.679,72.4954
"Bibb|East Macon 4","Bibb",1413,1309,490,34.678,92.6398
"Bibb|East Macon 5","Bibb",1659,1264,541,32.61,76.1905
"Bibb|Godfrey 1","Bibb",3342,2987,1074,32.1364,89.3776
"Bibb|Godfrey 2","Bibb",901,795,278,30.8546,88.2353
"Bibb|Godfrey 3","Bibb",1726,1543,490,28.3893,89.3975
"Bibb|Godfrey 4","Bibb",972,826,294,30.2469,84.9794
"Bibb|Godfrey 5","Bibb",2659,2328,737,27.7172,87.5517
"Bibb|Hazzard 1","Bibb",1929,1676,573,29.7045,86.8844
"Bibb|Hazzard 2","Bibb",2855,1606,646,22.627,56.2522
"Bibb|Hazzard 3","Bibb",4516,3284,1287,28.4987,72.7192
"Bibb|Hazzard 4","Bibb",3767,1618,961,25.511,42.952
"Bibb|Howard 1","Bibb",2740,992,863,31.4964,36.2044
"Bibb|Howard 2","Bibb",2698,929,786,29.1327,34.4329
"Bibb|Howard 3","Bibb",4685,2233,1289,27.5133,47.6628
"Bibb|Howard 4","Bibb",1224,625,319,26.0621,51.0621
"Bibb|Howard 5","Bibb",1466,917,312,21.2824,62.5512
"Bibb|Howard 6","Bibb",1632,736,414,25.3676,45.098
"Bibb|Howard 7","Bibb",2303,851,643,27.9201,36.9518
"Bibb|Rutland 1","Bibb",4371,1784,1047,23.9533,40.8145
"Bibb|Rutland 2","Bibb",2479,863,494,19.9274,34.8124
"Bibb|Vineville 1","Bibb",2216,1509,678,30.5957,68.0957
"Bibb|Vineville 2","Bibb",1251,939,419,33.4932,75.06
"Bibb|Vineville 3","Bibb",1773,1601,580,32.7129,90.2989
"Bibb|Vineville 4","Bibb",2348,2042,678,28.8756,86.9676
"Bibb|Vineville 5","Bibb",1761,818,482,27.3708,46.4509
"Bibb|Vineville 6","Bibb",2156,1180,663,30.7514,54.731
"Bibb|Warrior 1","Bibb",1991,675,427,21.4465,33.9026
"Bibb|Warrior 2","Bibb",2473,877,512,20.7036,35.463
"Bleckley|Fairground","Bleckley",5706,1311,1052,18.4367,22.9758
"Brantley|Hoboken","Brantley",2391,164,294,12.2961,6.85905
"Brantley|Nahunta","Brantley",2807,268,319,11.3644,9.54756
"Brantley|Waynesville","Brantley",2548,267,287,11.2637,10.4788
"Brooks|Barwick","Brooks",248,67,53,21.371,27.0161
"Brooks|Briggs","Brooks",1478,315,262,17.7267,21.3126
"Brooks|Dixie","Brooks",762,395,214,28.084,51.8373
"Brooks|Morven","Brooks",1334,399,279,20.9145,29.91
"Brooks|Nankin","Brooks",509,86,70,13.7525,16.8959
"Brooks|Pavo","Brooks",438,122,87,19.863,27.8539
"Brooks|Quitman","Brooks",2331,1406,678,29.0862,60.3175
"Bryan|Black Creek","Bryan",1856,393,269,14.4935,21.1746
"Bryan|Danielsiding","Bryan",1677,435,332,19.7973,25.9392
"Bryan|Ellabell","Bryan",1619,302,216,13.3416,18.6535
"Bryan|Hwy 144 East","Bryan",3992,1393,747,18.7124,34.8948
"Bryan|JF Gregory Park","Bryan",2262,573,411,18.1698,25.3316
"Bryan|Keller","Bryan",3265,1017,551,16.876,31.1485
"Bryan|Pembroke","Bryan",1710,567,249,14.5614,33.1579
