"quantity","value"
"Black voters in the 17 precincts",4631
"Black voters who took a Democratic ballot",4293
"the truth: Democratic share of Black voters (%)",92.7
"Goodman's ecological regression on the same precincts (%)",102.1
"overshoot, in percentage points",9.4
