"measure","value"
"Georgia two-party Democratic share, from the precincts",48.9
"Georgia: unweighted mean of the 14 district shares",49.78
"Georgia: median district share",40.73
"National two-party Democratic share, certified",49.25
"National: unweighted mean of the 434 district shares",49.94
"National: median district share",48.44
"Trump's share of the national popular vote (%)",49.8
"Trump's share of the electoral college (%)",57.99
