"level","units","correlation","est_by_mail","est_not_by_mail","bound_lower","bound_upper","truth_by_mail","truth_not_by_mail","error_by_mail"
"precinct",2653,0.599,194,-2.2,15.2,98.4,64.5,44.1,129.5
"county",159,0.76,233.4,-16.3,6.6,99.4,64.5,44.1,168.9
