"level","units","mean_dem_share","sd_dem_share","min_dem_share","max_dem_share","variance_retained_pct"
"precinct",2684,48.9,24.68,3.4,100,100
"county",159,48.9,20.64,8,84.8,69.9
"congressional district",14,49.78,18.45,31.2,86.4,55.9
"state",1,48.89,0,48.9,48.9,0
