"comparison","from","value_from","against","value_against","difference","pct_difference"
"Georgia Democratic votes","2,701 precincts summed"," 2,548,006","159 counties, same source"," 2,548,006","      0",0
"Georgia Democratic votes","159 counties, state source"," 2,548,006","159 counties, national compilation"," 2,548,017","    -11",-0.0004
"Georgia Republican votes","159 counties, state source"," 2,663,110","159 counties, national compilation"," 2,663,117","     -7",-0.0003
"National Democratic votes","3160 counties summed","75,006,739","certified national total","75,017,613","-10,874",-0.0145
"National Republican votes","3160 counties summed","77,294,799","certified national total","77,302,580"," -7,781",-0.0101
