"level","unit","dem","rep","two_party_votes","dem_share"
"precinct","Appling|1B",108,921,1029,10.4956
"precinct","Appling|1C",67,724,791,8.47029
"precinct","Appling|2",782,541,1323,59.1081
"precinct","Appling|3A1",31,617,648,4.78395
"precinct","Appling|3C",246,934,1180,20.8475
"precinct","Appling|4B",25,720,745,3.3557
"precinct","Appling|4D",117,950,1067,10.9653
"precinct","Appling|5A",102,711,813,12.5461
"precinct","Appling|5B",82,643,725,11.3103
"precinct","Atkinson|Axson",40,460,500,8
"precinct","Atkinson|Pearson City",233,183,416,56.0096
"precinct","Atkinson|Pearson County",144,1127,1271,11.3297
"precinct","Atkinson|Willacoochee",283,580,863,32.7926
"precinct","Bacon|Douglas",645,4186,4831,13.3513
"precinct","Baker|Anna",169,165,334,50.5988
"precinct","Baker|Elmodel",76,216,292,26.0274
"precinct","Baker|Hoggards Mill",164,131,295,55.5932
"precinct","Baker|Milford",87,225,312,27.8846
"precinct","Baker|Newton",94,146,240,39.1667
"precinct","Baldwin|City Hall Annex",323,144,467,69.1649
"precinct","Baldwin|Coopers",318,889,1207,26.3463
"precinct","Baldwin|Courthouse",161,118,279,57.7061
"precinct","Baldwin|East Baldwin",1242,1672,2914,42.6218
"precinct","Baldwin|East Hardwick",477,141,618,77.1845
"precinct","Baldwin|East Milledgeville",503,161,664,75.753
"precinct","Baldwin|Meriwether",900,1554,2454,36.6748
"precinct","Baldwin|North Baldwin",862,2020,2882,29.9098
"precinct","Baldwin|North Milledgeville",859,777,1636,52.5061
"precinct","Baldwin|Scottsboro",264,453,717,36.8201
"precinct","Baldwin|South Milledgeville",534,163,697,76.6141
"precinct","Baldwin|West Baldwin",629,813,1442,43.62
"precinct","Baldwin|West Hardwick",1398,450,1848,75.6494
"precinct","Baldwin|West Thomas",689,219,908,75.8811
"precinct","Banks|Anderson",114,1058,1172,9.72696
"precinct","Banks|Baldwin",103,587,690,14.9275
"precinct","Banks|Berlin",77,533,610,12.623
"precinct","Banks|Bushville",91,658,749,12.1495
"precinct","Banks|Columbia",33,274,307,10.7492
"precinct","Banks|Davids",174,1282,1456,11.9505
"precinct","Banks|Golden Hill",70,604,674,10.3858
"precinct","Banks|Grove River",39,470,509,7.66208
"precinct","Banks|Hollingsworth",45,490,535,8.41121
"precinct","Banks|Homer",120,1091,1211,9.90917
"precinct","Banks|Poplar Springs",149,1285,1434,10.3905
