"quantity","value"
"ballots in the file",340778
"distinct ranking sequences",926
"ballots with no ranking at all",10150
"ballots using exactly one ranking",215501
"bullet-voting rate among ballots that ranked anyone (%)",65.2
"ballots that named a second choice",115127
"ballots that ranked the same candidate more than once",5286
"ranked Begich first and Peltola second",6663
"ranked Begich first and Howe second",24386
"ranked Peltola first and Begich second",10771
"ranked Peltola first and Hafner second",39684
