"mode","house","senate","n","share"
"shared",204,51,2,0.0001
"shared",208,51,6,0.0003
"shared",212,51,14,0.0007
"shared",216,51,33,0.00165
"shared",220,51,70,0.0035
"shared",224,51,100,0.005
"shared",228,51,158,0.0079
"shared",232,51,218,0.0109
"shared",236,51,278,0.0139
"shared",240,51,320,0.016
"shared",244,51,281,0.01405
"shared",248,51,243,0.01215
"shared",252,51,213,0.01065
"shared",256,51,135,0.00675
"shared",260,51,91,0.00455
"shared",264,51,62,0.0031
"shared",268,51,32,0.0016
"shared",272,51,23,0.00115
"shared",276,51,9,0.00045
"shared",280,51,3,0.00015
"shared",284,51,4,0.0002
"shared",288,51,2,0.0001
"shared",204,52,2,0.0001
"shared",208,52,3,0.00015
"shared",212,52,2,0.0001
"shared",216,52,13,0.00065
"shared",220,52,26,0.0013
"shared",224,52,46,0.0023
"shared",228,52,83,0.00415
"shared",232,52,143,0.00715
"shared",236,52,216,0.0108
"shared",240,52,262,0.0131
"shared",244,52,279,0.01395
"shared",248,52,274,0.0137
"shared",252,52,284,0.0142
"shared",256,52,200,0.01
"shared",260,52,162,0.0081
"shared",264,52,109,0.00545
"shared",268,52,73,0.00365
"shared",272,52,43,0.00215
"shared",276,52,32,0.0016
"shared",280,52,22,0.0011
"shared",284,52,10,0.0005
"shared",288,52,1,0.00005
"shared",292,52,3,0.00015
"shared",296,52,3,0.00015
"shared",216,53,4,0.0002
"shared",220,53,6,0.0003
"shared",224,53,20,0.001
"shared",228,53,41,0.00205
"shared",232,53,75,0.00375
"shared",236,53,107,0.00535
"shared",240,53,174,0.0087
"shared",244,53,241,0.01205
"shared",248,53,249,0.01245
"shared",252,53,249,0.01245
"shared",256,53,282,0.0141
"shared",260,53,203,0.01015
"shared",264,53,125,0.00625
"shared",268,53,120,0.006
"shared",272,53,73,0.00365
"shared",276,53,54,0.0027
"shared",280,53,24,0.0012
"shared",284,53,17,0.00085
"shared",288,53,10,0.0005
"shared",292,53,4,0.0002
"shared",296,53,1,0.00005
"shared",308,53,1,0.00005
"shared",220,54,2,0.0001
"shared",224,54,8,0.0004
"shared",228,54,9,0.00045
"shared",232,54,16,0.0008
"shared",236,54,58,0.0029
"shared",240,54,89,0.00445
"shared",244,54,143,0.00715
"shared",248,54,135,0.00675
"shared",252,54,193,0.00965
"shared",256,54,185,0.00925
"shared",260,54,173,0.00865
"shared",264,54,202,0.0101
"shared",268,54,150,0.0075
"shared",272,54,99,0.00495
"shared",276,54,75,0.00375
"shared",280,54,53,0.00265
"shared",284,54,30,0.0015
"shared",288,54,22,0.0011
"shared",292,54,9,0.00045
"shared",296,54,2,0.0001
"shared",300,54,2,0.0001
"shared",304,54,2,0.0001
"shared",224,55,1,0.00005
"shared",228,55,2,0.0001
"shared",232,55,8,0.0004
"shared",236,55,15,0.00075
"shared",240,55,33,0.00165
"shared",244,55,44,0.0022
"shared",248,55,72,0.0036
"shared",252,55,115,0.00575
"shared",256,55,128,0.0064
"shared",260,55,128,0.0064
"shared",264,55,159,0.00795
"shared",268,55,156,0.0078
"shared",272,55,121,0.00605
"shared",276,55,86,0.0043
"shared",280,55,83,0.00415
"shared",284,55,60,0.003
"shared",288,55,44,0.0022
"shared",292,55,20,0.001
"shared",296,55,16,0.0008
"shared",300,55,7,0.00035
"shared",304,55,5,0.00025
"shared",308,55,3,0.00015
"shared",312,55,4,0.0002
"shared",232,56,2,0.0001
"shared",236,56,5,0.00025
"shared",240,56,7,0.00035
"shared",244,56,17,0.00085
"shared",248,56,24,0.0012
"shared",252,56,47,0.00235
"shared",256,56,60,0.003
"shared",260,56,84,0.0042
"shared",264,56,94,0.0047
"shared",268,56,96,0.0048
"shared",272,56,98,0.0049
"shared",276,56,86,0.0043
"shared",280,56,76,0.0038
"shared",284,56,54,0.0027
"shared",288,56,48,0.0024
"shared",292,56,37,0.00185
"shared",296,56,25,0.00125
"shared",300,56,13,0.00065
"shared",304,56,9,0.00045
"shared",308,56,6,0.0003
"shared",312,56,2,0.0001
"shared",316,56,4,0.0002
"shared",236,57,2,0.0001
"shared",240,57,1,0.00005
"shared",248,57,7,0.00035
"shared",252,57,13,0.00065
"shared",256,57,25,0.00125
"shared",260,57,42,0.0021
"shared",264,57,44,0.0022
"shared",268,57,58,0.0029
"shared",272,57,59,0.00295
"shared",276,57,63,0.00315
"shared",280,57,52,0.0026
"shared",284,57,53,0.00265
"shared",288,57,50,0.0025
"shared",292,57,27,0.00135
"shared",296,57,22,0.0011
"shared",300,57,18,0.0009
"shared",304,57,19,0.00095
"shared",308,57,4,0.0002
"shared",312,57,9,0.00045
"shared",316,57,1,0.00005
"shared",320,57,1,0.00005
"shared",324,57,2,0.0001
"shared",328,57,1,0.00005
"shared",244,58,1,0.00005
"shared",248,58,2,0.0001
"shared",252,58,4,0.0002
"shared",256,58,13,0.00065
"shared",260,58,10,0.0005
"shared",264,58,13,0.00065
"shared",268,58,20,0.001
"shared",272,58,22,0.0011
"shared",276,58,39,0.00195
"shared",280,58,27,0.00135
"shared",284,58,34,0.0017
"shared",288,58,34,0.0017
"shared",292,58,18,0.0009
"shared",296,58,18,0.0009
