"national_2p","margin","seats"
38,-24,35
38.1,-23.8,35
38.2,-23.6,35
38.3,-23.4,35
38.4,-23.2,35
38.5,-23,35
38.6,-22.8,35
38.7,-22.6,35
38.8,-22.4,35
38.9,-22.2,35
39,-22,35
39.1,-21.8,35
39.2,-21.6,35
39.3,-21.4,35
39.4,-21.2,35
39.5,-21,35
39.6,-20.8,35
39.7,-20.6,35
39.8,-20.4,35
39.9,-20.2,35
40,-20,36
40.1,-19.8,37
40.2,-19.6,37
40.3,-19.4,37
40.4,-19.2,38
40.5,-19,38
40.6,-18.8,38
40.7,-18.6,38
40.8,-18.4,38
40.9,-18.2,38
41,-18,38
41.1,-17.8,38
41.2,-17.6,38
41.3,-17.4,38
41.4,-17.2,38
41.5,-17,38
41.6,-16.8,38
41.7,-16.6,38
41.8,-16.4,38
41.9,-16.2,39
42,-16,40
42.1,-15.8,40
42.2,-15.6,40
42.3,-15.4,40
42.4,-15.2,40
42.5,-15,40
42.6,-14.8,40
42.7,-14.6,40
42.8,-14.4,40
42.9,-14.2,40
43,-14,40
43.1,-13.8,40
43.2,-13.6,40
43.3,-13.4,40
43.4,-13.2,40
43.5,-13,40
43.6,-12.8,40
43.7,-12.6,40
43.8,-12.4,40
43.9,-12.2,40
44,-12,41
44.1,-11.8,41
44.2,-11.6,41
44.3,-11.4,41
44.4,-11.2,41
44.5,-11,43
44.6,-10.8,44
44.7,-10.6,44
44.8,-10.4,44
44.9,-10.2,44
45,-10,44
45.1,-9.8,44
45.2,-9.6,44
45.3,-9.4,44
45.4,-9.2,45
45.5,-9,45
45.6,-8.8,45
45.7,-8.6,45
45.8,-8.4,45
45.9,-8.2,45
46,-8,45
46.1,-7.8,46
46.2,-7.6,46
46.3,-7.4,46
46.4,-7.2,46
46.5,-7,46
46.6,-6.8,46
46.7,-6.6,46
46.8,-6.4,46
46.9,-6.2,46
47,-6,46
47.1,-5.8,46
47.2,-5.6,46
47.3,-5.4,46
47.4,-5.2,46
47.5,-5,46
47.6,-4.8,46
47.7,-4.6,46
47.8,-4.4,46
47.9,-4.2,46
48,-4,46
48.1,-3.8,46
48.2,-3.6,47
48.3,-3.4,47
48.4,-3.2,47
48.5,-3,47
48.6,-2.8,48
48.7,-2.6,48
48.8,-2.4,48
48.9,-2.2,48
49,-2,48
49.1,-1.8,48
49.2,-1.6,49
49.3,-1.4,49
49.4,-1.2,49
49.5,-1,49
49.6,-0.8,49
49.7,-0.6,49
49.8,-0.4,49
49.9,-0.2,49
50,0,49
50.1,0.2,49
50.2,0.4,49
50.3,0.6,49
50.4,0.8,49
50.5,1,49
50.6,1.2,49
50.7,1.4,49
50.8,1.6,49
50.9,1.8,49
51,2,49
51.1,2.2,49
51.2,2.4,49
51.3,2.6,49
51.4,2.8,49
51.5,3,49
51.6,3.2,49
51.7,3.4,49
51.8,3.6,49
51.9,3.8,49
52,4,49
52.1,4.2,49
52.2,4.4,49
52.3,4.6,49
52.4,4.8,49
52.5,5,49
52.6,5.2,49
52.7,5.4,49
52.8,5.6,49
52.9,5.8,49
53,6,49
53.1,6.2,49
53.2,6.4,49
53.3,6.6,49
53.4,6.8,49
53.5,7,49
53.6,7.2,49
53.7,7.4,49
53.8,7.6,49
53.9,7.8,49
54,8,49
54.1,8.2,49
54.2,8.4,50
54.3,8.6,50
54.4,8.8,51
54.5,9,52
54.6,9.2,52
54.7,9.4,52
54.8,9.6,52
54.9,9.8,52
55,10,52
55.1,10.2,52
55.2,10.4,52
55.3,10.6,52
55.4,10.8,52
55.5,11,52
55.6,11.2,52
55.7,11.4,53
55.8,11.6,53
55.9,11.8,53
56,12,53
56.1,12.2,53
56.2,12.4,53
56.3,12.6,53
56.4,12.8,53
56.5,13,53
56.6,13.2,54
56.7,13.4,54
56.8,13.6,54
56.9,13.8,54
57,14,54
57.1,14.2,54
57.2,14.4,54
57.3,14.6,54
57.4,14.8,54
57.5,15,54
57.6,15.2,54
57.7,15.4,54
57.8,15.6,55
57.9,15.8,56
58,16,56
58.1,16.2,56
58.2,16.4,56
58.3,16.6,56
58.4,16.8,56
58.5,17,56
58.6,17.2,56
58.7,17.4,57
58.8,17.6,57
58.9,17.8,57
59,18,57
59.1,18.2,58
59.2,18.4,58
59.3,18.6,58
59.4,18.8,58
59.5,19,58
59.6,19.2,58
59.7,19.4,58
59.8,19.6,58
59.9,19.8,58
60,20,58
60.1,20.2,58
60.2,20.4,58
60.3,20.6,58
60.4,20.8,58
60.5,21,58
60.6,21.2,58
60.7,21.4,58
60.8,21.6,58
60.9,21.8,58
61,22,58
61.1,22.2,58
61.2,22.4,58
61.3,22.6,58
61.4,22.8,58
61.5,23,58
61.6,23.2,58
61.7,23.4,58
61.8,23.6,58
61.9,23.8,58
62,24,58
