"seats","n","share"
132,1,0.00005
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,1,0.00005
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,1,0.00005
165,2,0.0001
166,1,0.00005
167,2,0.0001
168,2,0.0001
169,1,0.00005
170,1,0.00005
171,1,0.00005
172,3,0.00015
173,1,0.00005
174,2,0.0001
175,7,0.00035
176,2,0.0001
177,6,0.0003
178,2,0.0001
179,2,0.0001
180,5,0.00025
181,3,0.00015
182,7,0.00035
183,6,0.0003
184,7,0.00035
185,7,0.00035
186,8,0.0004
187,14,0.0007
188,17,0.00085
189,13,0.00065
190,14,0.0007
191,20,0.001
192,18,0.0009
193,20,0.001
194,22,0.0011
195,18,0.0009
196,23,0.00115
197,28,0.0014
198,40,0.002
199,36,0.0018
200,30,0.0015
201,42,0.0021
202,36,0.0018
203,65,0.00325
204,63,0.00315
205,57,0.00285
206,85,0.00425
207,65,0.00325
208,84,0.0042
209,81,0.00405
210,87,0.00435
211,98,0.0049
212,108,0.0054
213,125,0.00625
214,109,0.00545
215,122,0.0061
216,147,0.00735
217,145,0.00725
218,151,0.00755
219,182,0.0091
220,203,0.01015
221,192,0.0096
222,240,0.012
223,230,0.0115
224,258,0.0129
225,250,0.0125
226,264,0.0132
227,292,0.0146
228,269,0.01345
229,290,0.0145
230,314,0.0157
231,306,0.0153
232,327,0.01635
233,339,0.01695
234,345,0.01725
235,330,0.0165
236,383,0.01915
237,329,0.01645
238,369,0.01845
239,343,0.01715
240,384,0.0192
241,401,0.02005
242,334,0.0167
243,383,0.01915
244,385,0.01925
245,394,0.0197
246,360,0.018
247,369,0.01845
248,359,0.01795
249,349,0.01745
250,366,0.0183
251,347,0.01735
252,328,0.0164
253,310,0.0155
254,340,0.017
255,305,0.01525
256,300,0.015
257,274,0.0137
258,299,0.01495
259,266,0.0133
260,282,0.0141
261,261,0.01305
262,234,0.0117
263,229,0.01145
264,203,0.01015
265,197,0.00985
266,211,0.01055
267,210,0.0105
268,203,0.01015
269,185,0.00925
270,161,0.00805
271,149,0.00745
272,160,0.008
273,146,0.0073
274,153,0.00765
275,136,0.0068
276,136,0.0068
277,106,0.0053
278,131,0.00655
279,105,0.00525
280,107,0.00535
281,87,0.00435
282,104,0.0052
283,93,0.00465
284,75,0.00375
285,73,0.00365
286,49,0.00245
287,55,0.00275
288,46,0.0023
289,51,0.00255
290,49,0.00245
291,46,0.0023
292,54,0.0027
293,49,0.00245
294,38,0.0019
295,30,0.0015
296,31,0.00155
297,23,0.00115
298,30,0.0015
299,21,0.00105
300,28,0.0014
301,25,0.00125
302,20,0.001
303,25,0.00125
304,17,0.00085
305,15,0.00075
306,16,0.0008
307,11,0.00055
308,16,0.0008
309,13,0.00065
310,8,0.0004
311,8,0.0004
312,16,0.0008
313,7,0.00035
314,7,0.00035
315,3,0.00015
316,9,0.00045
317,4,0.0002
318,11,0.00055
319,7,0.00035
320,4,0.0002
321,8,0.0004
322,2,0.0001
323,5,0.00025
324,4,0.0002
325,0,0
326,4,0.0002
327,2,0.0001
328,4,0.0002
329,5,0.00025
330,1,0.00005
331,4,0.0002
332,2,0.0001
333,1,0.00005
334,0,0
335,0,0
336,1,0.00005
337,1,0.00005
338,1,0.00005
339,2,0.0001
340,0,0
341,1,0.00005
342,1,0.00005
