"national_2p","margin","median","mean","lo80","hi80","lo95","hi95","p_house"
44,-12,174,173.6,143,204,126,218,0.027
44.25,-11.5,176,175.7,144,206,129,221,0.036
44.5,-11,178,177.1,146,207,130,222,0.0396
44.75,-10.5,180,179.5,149,210,133,223,0.0478
45,-10,182,181.4,151,211,134,224,0.0537
45.25,-9.5,184,183.2,153,213,136,227,0.0653
45.5,-9,186,185.2,155,215,138,229,0.0776
45.75,-8.5,188,187.1,156,217,140,230,0.0922
46,-8,190,188.8,158,218,142,232,0.1031
46.25,-7.5,192,191,161,220,144,234,0.1207
46.5,-7,194,192.8,163,221,146,236,0.137
46.75,-6.5,196,195,165,223,148,237,0.1603
47,-6,197,196.3,167,225,150,238,0.1738
47.25,-5.5,199,198.5,169,227,151,241,0.1988
47.5,-5,201,200.1,171,228,155,242,0.2186
47.75,-4.5,203,201.9,173,230,155,244,0.2459
48,-4,205,204.2,175,232,158,246,0.2796
48.25,-3.5,207,206,177,233,159,248,0.3075
48.5,-3,208,207.6,179,235,162,250,0.3296
48.75,-2.5,210,209.5,181,237,164,251,0.3676
49,-2,212,211.3,183,239,167,253,0.394
49.25,-1.5,213,212.9,185,240,168,255,0.4218
49.5,-1,215,214.7,187,241,170,257,0.4584
49.75,-0.5,217,216.7,189,244,173,259,0.4899
50,0,219,218.3,191,245,174,261,0.5254
50.25,0.5,220,220.2,193,247,177,262,0.5563
50.5,1,222,221.8,194,249,178,265,0.5844
50.75,1.5,224,223.8,197,251,181,267,0.6195
51,2,225,225.5,198,253,182,270,0.652
51.25,2.5,227,227.4,200,254,185,271,0.6805
51.5,3,229,229.3,202,257,186,274,0.7094
51.75,3.5,231,231,204,258,189,276,0.744
52,4,232,232.8,206,261,191,278,0.7651
52.25,4.5,234,234.5,207,263,192,280,0.7848
52.5,5,236,236.4,210,264,195,282,0.8147
52.75,5.5,237,238.1,211,267,195,285,0.831
53,6,239,239.8,212,268,197,287,0.8498
53.25,6.5,241,242,214,271,199,290,0.8709
53.5,7,243,243.7,216,273,201,291,0.8878
53.75,7.5,244,245.6,218,276,203,294,0.9035
54,8,246,247.4,220,278,205,297,0.9176
54.25,8.5,248,249.8,222,280,207,300,0.929
54.5,9,250,251.4,223,282,209,301,0.939
54.75,9.5,252,253.2,225,284,211,304,0.9504
55,10,254,255.3,226,287,212,307,0.9565
55.25,10.5,256,257.3,228,289,214,309,0.9636
55.5,11,258,259.3,229,292,215,312,0.9676
55.75,11.5,260,261.5,231,294,218,314,0.975
56,12,261,263.3,233,296,219,317,0.9786
56.25,12.5,264,265.2,235,298,220,320,0.982
56.5,13,265,267.2,236,301,222,321,0.985
56.75,13.5,267,269.4,238,303,224,325,0.989
57,14,270,271.8,240,307,226,328,0.9909
57.25,14.5,272,273.9,242,309,228,330,0.9934
57.5,15,274,275.7,243,311,229,332,0.9944
57.75,15.5,276,278,245,313,231,334,0.9959
58,16,278,280.2,247,317,232,337,0.9967
