"from","to","n","swing","sd_dev","pred_seats","actual_seats","err","nochange_err"
2004,2006,316,5.3,8.36,158,168,-10,-22
2006,2008,316,1.7,8.01,179,188,-9,-20
2008,2010,316,-9.19,6.92,147,138,9,45
2012,2014,326,-3.68,4.54,128,132,-4,13
2014,2016,408,2.41,6.17,186,183,3,-5
2016,2018,408,5,5.67,198,222,-24,-38
2018,2020,435,-2.86,3.51,211,222,-11,13
2022,2024,435,0.1,4.16,213,215,-2,-3
