script	stamped_on	stamp_source	file	bytes	sha256	rows	file_mtime
build-data.R	2026-08-29	build	derived/adjustments.csv	216	sha256:05252d63148a9b45ffda369d639516e4210dbc416d62c7315ab2929047cdb700	4	2026-08-29
build-data.R	2026-08-29	build	derived/census-use.csv	187	sha256:b0bcadbd15adafa56f0594321a414eab1f8b06a4dac065ace07b0cdd7acfe969	5	2026-08-29
build-data.R	2026-08-29	build	derived/cost.csv	180	sha256:a219387dd344733482e81ff316fc3f2cfe3cfe5ff76d8fd09fe01f17e7cf9974	3	2026-08-29
build-data.R	2026-08-29	build	derived/coverage.csv	416	sha256:62c57d53681f9468265c652276f71b18e9d5e769cea2e999c35e5b79bfb40577	6	2026-08-29
build-data.R	2026-08-29	build	derived/deadlines.csv	278	sha256:6ebf52c41b995234f5ea295ff1632e0506a857b4292d0975e81057177a93538c	2	2026-08-29
build-data.R	2026-08-29	build	derived/georgia.csv	205	sha256:27bea4b121a60f07ca1075de58da65baf15852c5850b594204436367d7a8fd7f	6	2026-08-29
build-data.R	2026-08-29	build	derived/race.csv	386	sha256:55a32bf16c81af2ec51a30e95da211978f30b1f37fc0f854df0da2b35b637e9e	8	2026-08-29
build-data.R	2026-08-29	build	derived/scale.csv	224	sha256:1f5ddbf682c009515bc1b71924b8cc45ec274a0d0012bedc84045e57a702003f	3	2026-08-29
build-data.R	2026-08-29	build	derived/tables.csv	319	sha256:c72d001fceca79d72bee4445f159a2da06fce5190c81ba75e078e139d9471cd5	6	2026-08-29
build-data.R	2026-08-29	build	raw/form.txt	618	sha256:a5d6e95215160068901b85436bee0fa6b5562aea313b1f3c85ca93a9e3cff2cd	14	2026-08-29
build-data.R	2026-08-29	disk	raw/ncsl-appendix-b.tsv	2860	sha256:d19d26f05b9819986a1b5507aab7681bd2d57601e2659e0fb5418aeeeabc86ee	50	2026-08-29
build-data.R	2026-08-29	disk	raw/ncsl-state-adjustments.tsv	1066	sha256:246aec69a740b4078b39f9d9d0121177bebdff452f82aa600190dae60436c882	10	2026-08-29
