"t","tp","fp","fn","tn","tpr","fpr","prec"
0.971,244,69,17457,32001,0.01378,0.00215,0.77955
0.972,235,69,17466,32001,0.01328,0.00215,0.77303
0.973,220,68,17481,32002,0.01243,0.00212,0.76389
0.974,211,68,17490,32002,0.01192,0.00212,0.75627
0.975,201,66,17500,32004,0.01136,0.00206,0.75281
0.976,189,65,17512,32005,0.01068,0.00203,0.74409
0.977,181,65,17520,32005,0.01023,0.00203,0.73577
0.978,171,63,17530,32007,0.00966,0.00196,0.73077
0.979,166,63,17535,32007,0.00938,0.00196,0.72489
0.98,156,63,17545,32007,0.00881,0.00196,0.71233
0.981,146,63,17555,32007,0.00825,0.00196,0.69856
0.982,140,62,17561,32008,0.00791,0.00193,0.69307
0.983,133,62,17568,32008,0.00751,0.00193,0.68205
0.984,123,60,17578,32010,0.00695,0.00187,0.67213
0.985,116,59,17585,32011,0.00655,0.00184,0.66286
0.986,105,59,17596,32011,0.00593,0.00184,0.64024
0.987,102,59,17599,32011,0.00576,0.00184,0.63354
0.988,99,59,17602,32011,0.00559,0.00184,0.62658
0.989,94,59,17607,32011,0.00531,0.00184,0.61438
0.99,90,58,17611,32012,0.00508,0.00181,0.60811
0.991,83,58,17618,32012,0.00469,0.00181,0.58865
0.992,79,58,17622,32012,0.00446,0.00181,0.57664
0.993,75,58,17626,32012,0.00424,0.00181,0.56391
0.995,66,58,17635,32012,0.00373,0.00181,0.53226
0.996,59,58,17642,32012,0.00333,0.00181,0.50427
0.997,55,58,17646,32012,0.00311,0.00181,0.48673
0.998,52,58,17649,32012,0.00294,0.00181,0.47273
1,52,58,17649,32012,0.00294,0.00181,0.47273
