"bin","mid","n","observed","lo","hi"
"[0,0.05]",0.0135,16208,0.0668,0.063,0.0707
"(0.05,0.1]",0.074,5197,0.1955,0.1849,0.2065
"(0.1,0.15]",0.1245,4212,0.2989,0.2853,0.3129
"(0.15,0.2]",0.174,3569,0.364,0.3483,0.3799
"(0.2,0.25]",0.2248,2843,0.4133,0.3953,0.4315
"(0.25,0.3]",0.2746,2369,0.4918,0.4717,0.5119
"(0.3,0.35]",0.3248,2195,0.5353,0.5144,0.5561
"(0.35,0.4]",0.3743,2019,0.5795,0.5578,0.6009
"(0.4,0.45]",0.4251,1631,0.6334,0.6097,0.6564
"(0.45,0.5]",0.4746,1519,0.6649,0.6408,0.6882
"(0.5,0.55]",0.5246,1282,0.6841,0.6581,0.709
"(0.55,0.6]",0.5747,1095,0.716,0.6886,0.7419
"(0.6,0.65]",0.6248,970,0.7691,0.7415,0.7945
"(0.65,0.7]",0.6741,803,0.7758,0.7457,0.8033
"(0.7,0.75]",0.7253,725,0.7945,0.7636,0.8223
"(0.75,0.8]",0.7744,716,0.8268,0.7974,0.8528
"(0.8,0.85]",0.8241,641,0.8502,0.8205,0.8758
"(0.85,0.9]",0.8758,636,0.8915,0.8649,0.9134
"(0.9,0.95]",0.925,591,0.9103,0.8846,0.9308
"(0.95,1]",0.9765,550,0.8527,0.8207,0.8799
