"first","last","state","district","senate","party_raw","party","party_side","faction_code","incumbent","open_seat","contested","prim_result","prim_share","experience","female","immigration","the Affordable Care Act","Benghazi","taxes","the minimum wage","gun control","abortion","climate change","the NSA","same-sex marriage","the debt and deficit","the Keystone pipeline","regulation","defense spending","silent_on"
"Frank","Vondersaar","AK","AL",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",14.97,FALSE,FALSE,4,1,4,1,4,4,1,1,4,1,4,4,4,4,9
"Don","Young","AK","AL",FALSE,"R","R","Republican",11,TRUE,0,TRUE,"won",74.25,TRUE,FALSE,2,2,2,2,4,2,2,2,2,2,2,1,4,2,2
"David","Doehner","AK","AL",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",5.07,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Jim","McDermott","AK","AL",FALSE,"Libertarian","Libertarian","Third party",99,FALSE,0,TRUE,"lost",21.69,FALSE,FALSE,3,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"David","Seaward","AK","AL",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",7.07,TRUE,FALSE,2,2,2,3,4,2,2,2,2,2,2,4,2,2,2
"John","Cox","AK","AL",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",13.61,FALSE,FALSE,2,4,4,2,4,2,2,2,4,4,2,4,2,4,7
"Forrest","Dunbar","AK","AL",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"won",63.34,FALSE,FALSE,4,3,4,4,4,4,1,1,4,1,4,4,2,4,9
"William","Bryk","AK","SEN",TRUE,"D","D","Democrat",100,FALSE,NA,TRUE,"lost",2.87,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Dan","Sullivan","AK","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"won",40.23,TRUE,FALSE,4,2,4,2,4,2,2,2,4,3,2,1,2,2,4
"Joe","Miller","AK","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"lost",31.83,FALSE,FALSE,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2
"Mark","Begich","AK","SEN",TRUE,"D","D","Democrat",88,TRUE,NA,TRUE,"won",83.57,TRUE,FALSE,1,3,4,2,1,2,1,3,2,1,2,1,2,2,1
"Vic","Kohring","AK","SEN",TRUE,"Alaskan Independence","Alaskan Independence","Third party",99,FALSE,NA,TRUE,"lost",3.61,TRUE,FALSE,4,2,4,2,4,2,2,2,4,3,2,4,2,4,6
"Mead","Treadwell","AK","SEN",TRUE,"R","R","Republican",44,FALSE,NA,TRUE,"lost",25,TRUE,FALSE,3,2,4,3,4,2,2,2,2,2,2,4,2,2,3
"John","Jaramillo","AK","SEN",TRUE,"R","R","Republican",100,FALSE,NA,TRUE,"lost",2.95,FALSE,FALSE,4,4,4,4,4,2,4,4,4,4,4,4,4,4,13
"Thom","Walker","AK","SEN",TRUE,"Libertarian","Libertarian","Third party",99,FALSE,NA,TRUE,"lost",4.5,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Mark","Fish","AK","SEN",TRUE,"Libertarian","Libertarian","Third party",99,FALSE,NA,TRUE,"lost",1.84,FALSE,FALSE,4,4,4,2,4,2,4,2,2,4,4,4,2,4,9
"Zachary","Kile","AK","SEN",TRUE,"Alaskan Independence","Alaskan Independence","Third party",99,FALSE,NA,TRUE,"lost",2.6,FALSE,FALSE,4,2,2,4,4,4,4,2,4,4,4,4,4,4,11
"Scott","Kohlhaas","AK","SEN",TRUE,"Libertarian","Libertarian","Third party",99,FALSE,NA,TRUE,"lost",1.02,TRUE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Burton","LeFlore","AL","1",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Bradley","Byrne","AL","1",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,FALSE,2,2,2,2,4,2,2,4,4,4,2,4,2,4,6
"Martha","Roby","AL","2",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,TRUE,2,2,2,2,2,2,2,2,1,2,2,1,2,1,0
"Erick","Wright","AL","2",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,3,1,4,4,3,4,4,4,4,2,4,10
"Mike","Rogers","AL","3",FALSE,"R","R","Republican",11,TRUE,0,TRUE,"won",75.89,TRUE,FALSE,2,2,2,2,1,2,2,2,4,4,2,1,2,3,2
"Thomas","Casson","AL","3",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",24.11,FALSE,FALSE,4,4,4,2,4,4,4,4,4,4,4,4,4,4,13
"Jesse","Smith","AL","3",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Robert","Aderholt","AL","4",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",100,TRUE,FALSE,2,2,2,2,4,2,2,2,4,2,2,1,2,4,3
"Mo","Brooks","AL","5",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",80.32,TRUE,FALSE,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0
"Avery","Vise","AL","6",FALSE,"D","D","Democrat",77,FALSE,1,FALSE,"won",100,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Rob","Shattuck","AL","6",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",62,FALSE,FALSE,3,3,4,3,1,3,3,3,3,4,2,4,4,4,5
"Paul","DeMarco","AL","6",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"runoff",32.68,TRUE,FALSE,2,2,2,2,4,2,2,2,4,2,2,4,2,2,3
