"check","value"
"rows in the workbook","1,662"
"columns in the workbook","48"
"issue columns, all complete and coded 1-4","14"
"distinct party strings the file holds","15"
"distinct party strings readxl reports by default","14"
"cells readxl's trim_ws default silently rewrites","3"
"candidates whose party label ends in a space","3"
"of the strings the file holds, pairs differing only by case or spacing","D / 'D ', Libertarian / libertarian, R / G.O.P."
"distinct parties after cleaning","12"
"faction codes in the file","10"
"of those, defined in the codebook","4"
"candidates whose faction code the codebook does not define","791 (47.6%)"
"candidates in code 100, the value the codebook calls unlabeled","259"
"the codebook's wording for code 100","label: PartyCatLabel, but 1 nonmissing value is not labeled"
"House candidates","1,443"
"Senate candidates","219"
"candidates whose open-seat status the file does not record","220"
"median issues a candidate is silent on, of 14","8"
"candidates silent on all fourteen","222 (13.4%)"
"candidates silent on none of the fourteen","12 (0.7%)"
"quietest issue","Benghazi, 84.5% silent"
"loudest issue","the Affordable Care Act, 29.3% silent"
"mean issues silent, House primary winners","7.3"
"mean issues silent, House primary losers","9.2"
"RaceContested value labels in the codebook","0 contested, 1 unontested [sic] -- inverted, and misspelled; unused here"
"CandidateElectoralExperience, meaning of 0","No or No information -- never held office and not established are one code"
"candidates whose party label the cleaning moves, all causes","5"
"of those, moved by trimming a space","3"
"of those, moved by folding case","1"
"of those, moved by folding G.O.P. into R","1"
