"key","value","note"
"src_rows","73745","respondents in the cumulative file"
"src_first","1948","the first study year in it"
"src_last","2024","and the most recent"
"top_code","97","the highest value that is a temperature"
"n_at_top","6446","ratings given at the top of the scale"
"n_code98","2183","entries coded 98, which means don't know"
"n_code99","934","entries coded 99, which means not ascertained"
"n_negative","20","entries coded negative, a third missing code"
"n_at_100","0","ratings of exactly 100, on a scale everybody calls nought to a hundred"
"mean_naive","52.99","average rating if the codes are believed"
"mean_clean","51.54","and if they are dropped"
"mean_inflation","1.45","degrees of warmth the codes invent"
"n_both_therms","48634","respondents who rated both parties and carry a weight"
"n_ratings","97268","individual party ratings behind everything below"
"pct_at_0","10.1","percent of all ratings given as exactly 0"
"pct_at_50","16.1","percent of all ratings given as exactly 50"
"pct_at_85","10.5","percent of all ratings given as exactly 85"
"pct_at_97","6.6","percent of all ratings given as exactly 97"
"pct_multiple_10","70.7","percent that are multiples of ten"
"distinct_used","98","distinct values used out of the 98 available"
"n_partisans","43063","partisans, including leaners, in the paired series"
"n_independents","5327","pure independents, who have no in-party and are not in it"
"min_n","200","the respondent floor a year must clear to be reported"
"n_years","18","study years that clear it"
"first_year","1978","the first year with both thermometers and enough people"
"last_year","2024","the last"
"in_first","70.63","warmth toward one's own party in the first year"
"in_last","70.11","and in the last"
"out_first","47.98","warmth toward the other party in the first year"
"out_last","20.62","and in the last"
"gap_first","22.65","the gap between them then"
"gap_last","49.49","and now"
"in_move","-0.52","how far in-party warmth moved"
"out_move","-27.36","how far out-party warmth moved"
"share_from_out","98.1","percent of the total movement contributed by the out-party half"
"gap_max","51.88","the widest the gap ever gets"
"gap_max_year","2020","the year it does"
"out_min","19.23","the coldest the other party is ever rated"
"out_min_year","2020","the year that happens"
"zero_first","5.4","percent rating the other party exactly 0 in the first year"
"zero_last","33.22","and in the last"
