"year","n","in_party","out_party","gap"
1978,1723,70.63,47.98,22.65
1980,1310,71.97,46.54,25.43
1982,1181,73.8,44.26,29.54
1984,1881,74.3,45.87,28.43
1986,1796,73.95,46.22,27.73
1988,1717,75.65,45.52,30.13
1990,1656,70.79,46.75,24.04
1992,2098,69.63,41.83,27.8
1994,1567,69.92,42.49,27.43
1996,1528,71.4,41.16,30.24
1998,1104,70.06,40.95,29.11
2000,1525,72.21,41.58,30.63
2004,1055,73.2,39.54,33.66
2008,1979,70.27,34.68,35.59
2012,5079,69.43,27.85,41.58
2016,3610,66.79,26.02,40.77
2020,7174,71.11,19.23,51.88
2024,5080,70.11,20.62,49.49
