"year","pct_zero"
1978,5.4
1980,6.87
1982,7.2
1984,7.92
1986,7.8
1988,8.15
1990,7.55
1992,8.31
1994,6.74
1996,8.72
1998,9.46
2000,8.32
2004,12.35
2008,14.75
2012,22.77
2016,22.23
2020,40.03
2024,33.22
