"check","passed"
"the whole cumulative file arrived",TRUE
"there is no value of 100 in a column described as running to 100",TRUE
"the codes that masquerade as warmth are present and worth removing",TRUE
"believing the codes warms the country",TRUE
"the scale is used far more coarsely than its 98 points allow",TRUE
"the series spans at least four decades",TRUE
"the gap is wider at the end than at the start",TRUE
"out-party warmth moved further than in-party warmth",TRUE
"rating the other party at absolute zero became far more common",TRUE
