"denominator","black_pop","white_pop","black_stops_per_person","white_stops_per_person","disparity_ratio"
"residents",45552,342448,3.34115,1.08722,3.0731
"adults 18+",39451,311466,3.85785,1.19537,3.22732
"drives to work",7656,89679,19.8793,4.15167,4.78826
