"race","searched","contraband","search_rate","hit_rate"
"asian/pacific islander",2861,1033,1.81439,36.1063
"white",11707,2834,3.14436,24.2077
"other",3746,761,3.50559,20.315
"hispanic",11445,1165,9.86519,10.1791
"black",23622,2183,15.5208,9.24139
