"table","panel","measure","chamber","bin","pct","n","elected"
3,"A","Percent Black in total population","State House","0-20%",0.8,1390,11
3,"A","Percent Black in total population","State House","20-30%",8.6,269,23
3,"A","Percent Black in total population","State House","30-40%",14.6,123,18
3,"A","Percent Black in total population","State House","40-45%",53.1,32,17
3,"A","Percent Black in total population","State House","45-50%",70.6,17,12
3,"A","Percent Black in total population","State House","50-55%",85.7,56,48
3,"A","Percent Black in total population","State House","55-60%",76.1,92,70
3,"A","Percent Black in total population","State House","60-70%",89.8,137,123
3,"A","Percent Black in total population","State House","70-80%",96.6,58,56
3,"A","Percent Black in total population","State House","80-100%",100,18,18
3,"A","Percent Black in total population","State Senate","0-20%",0.2,482,1
3,"A","Percent Black in total population","State Senate","20-30%",4.2,120,5
3,"A","Percent Black in total population","State Senate","30-40%",14.6,48,7
3,"A","Percent Black in total population","State Senate","40-45%",45.5,11,5
3,"A","Percent Black in total population","State Senate","45-50%",83.3,6,5
3,"A","Percent Black in total population","State Senate","50-55%",81.3,32,26
3,"A","Percent Black in total population","State Senate","55-60%",77.1,35,27
3,"A","Percent Black in total population","State Senate","60-70%",89.5,38,34
3,"A","Percent Black in total population","State Senate","70-80%",92.9,14,13
3,"A","Percent Black in total population","State Senate","80-100%",100,3,3
3,"A","Percent Black in total population","U.S. House","0-20%",1.4,354,5
3,"A","Percent Black in total population","U.S. House","20-30%",13.3,30,4
3,"A","Percent Black in total population","U.S. House","30-40%",21.1,19,4
3,"A","Percent Black in total population","U.S. House","40-45%",100,2,2
3,"A","Percent Black in total population","U.S. House","45-50%",100,1,1
3,"A","Percent Black in total population","U.S. House","50-55%",100,8,8
3,"A","Percent Black in total population","U.S. House","55-60%",100,14,14
3,"A","Percent Black in total population","U.S. House","60-70%",85.7,7,6
3,"A","Percent Black in total population","U.S. House","70-80%",NA,0,NA
3,"A","Percent Black in total population","U.S. House","80-100%",NA,0,NA
4,"A","Percent Hispanic in total population","State House","0-20%",1.9,474,9
4,"A","Percent Hispanic in total population","State House","20-30%",8.2,158,13
4,"A","Percent Hispanic in total population","State House","30-40%",15.1,93,14
4,"A","Percent Hispanic in total population","State House","40-45%",22.6,31,7
4,"A","Percent Hispanic in total population","State House","45-50%",19.1,21,4
4,"A","Percent Hispanic in total population","State House","50-55%",36.4,22,8
4,"A","Percent Hispanic in total population","State House","55-60%",64.5,31,20
4,"A","Percent Hispanic in total population","State House","60-70%",75.9,54,41
4,"A","Percent Hispanic in total population","State House","70-80%",86.2,29,25
4,"A","Percent Hispanic in total population","State House","80-100%",90.9,22,20
4,"A","Percent Hispanic in total population","U.S. House","0-20%",0.6,326,2
4,"A","Percent Hispanic in total population","U.S. House","20-30%",2.4,42,1
4,"A","Percent Hispanic in total population","U.S. House","30-40%",4.6,22,1
4,"A","Percent Hispanic in total population","U.S. House","40-45%",28.6,7,2
4,"A","Percent Hispanic in total population","U.S. House","45-50%",50,6,3
4,"A","Percent Hispanic in total population","U.S. House","50-55%",33.3,3,1
4,"A","Percent Hispanic in total population","U.S. House","55-60%",33.3,3,1
4,"A","Percent Hispanic in total population","U.S. House","60-70%",75,16,12
4,"A","Percent Hispanic in total population","U.S. House","70-80%",83.3,6,5
4,"A","Percent Hispanic in total population","U.S. House","80-100%",75,4,3
4,"B","Percent citizen Hispanic in total population","U.S. House","0-20%",0.8,356,3
4,"B","Percent citizen Hispanic in total population","U.S. House","20-30%",0,34,0
4,"B","Percent citizen Hispanic in total population","U.S. House","30-40%",41.7,12,5
4,"B","Percent citizen Hispanic in total population","U.S. House","40-45%",60,10,6
4,"B","Percent citizen Hispanic in total population","U.S. House","45-50%",80,10,8
4,"B","Percent citizen Hispanic in total population","U.S. House","50-55%",66.7,6,4
4,"B","Percent citizen Hispanic in total population","U.S. House","55-60%",50,2,1
4,"B","Percent citizen Hispanic in total population","U.S. House","60-70%",80,5,4
4,"B","Percent citizen Hispanic in total population","U.S. House","70-80%",NA,0,NA
4,"B","Percent citizen Hispanic in total population","U.S. House","80-100%",NA,0,NA
