"check","value","expected","ok"
"Lines 3-12 reconstruct line 2 (max deviation, people)","15","<= 25",TRUE
"Line 2 + line 13 reconstruct line 1 (max deviation, people)","5","<= 25",TRUE
"Estimates that are multiples of 5","99.98%",NA,NA
"The six categories reconstruct the district total (max deviation, people)","15","<= 25",TRUE
"Largest such gap as a share of a district","0.0019%",NA,NA
"Congressional districts in the CVAP file","435","435",TRUE
"Delegates dropped (typed as representatives upstream)","6","6",TRUE
"People who served in the 118th House","445",NA,NA
"Seats that changed occupant during the 118th","10",NA,NA
"Black members of Congress, all time (Historian)","201","201",TRUE
"Hispanic members of Congress, all time (Historian)","170","170",TRUE
"Black members seated in the 118th House","59",NA,NA
"Hispanic members seated in the 118th House","53",NA,NA
"Members on BOTH Historian lists","3",NA,NA
"Seated members matched on the whole surname","388",NA,NA
"Matched only after splitting a hyphen or space","17",NA,NA
"Seated members matched to the surname file","405",NA,NA
"Seated members with no surname-file entry","30",NA,NA
"Matched members whose Black share is suppressed","0",NA,NA
"Matched members whose Hispanic share is suppressed","0",NA,NA
"Hispanic at the 50% cutoff — false positives","0","0",TRUE
"Hispanic at the 50% cutoff — members recovered","40",NA,NA
"Hispanic at the 50% cutoff — members missed","13",NA,NA
"Black at the 50% cutoff — members recovered","5",NA,NA
"Black at the 50% cutoff — members missed","54",NA,NA
"Median Black share of a Black member's surname","25.3",NA,NA
"Median Black share of everyone else's surname","3.1",NA,NA
"Median Hispanic share of a Hispanic member's surname","91",NA,NA
"Surnames containing a space or hyphen","17",NA,NA
"Of those, calls that change with the rule","5",NA,NA
"First-component calls agreeing with the Historian","14",NA,NA
"Last-component calls agreeing with the Historian","15",NA,NA
"Districts with a 2020 presidential result on 2022 lines","435","435",TRUE
"At-large seats renumbered to 0 to match the Census","6","6",TRUE
"Districts electing a Black member","59",NA,NA
"Districts electing a Hispanic member","53",NA,NA
"Majority-Black-CVAP districts","11",NA,NA
"Districts 40-50% Black by voting-age population","21",NA,NA
"Members BISG could be run on","405",NA,NA
"Accuracy — district plurality only","0.862",NA,NA
"Accuracy — surname only","0.83",NA,NA
"Accuracy — BISG","0.901",NA,NA
"BISG beats geography-only in strata (of 5)","5",NA,NA
"BISG recovery, districts under 10% Black","1 of 6",NA,NA
"BISG recovery, districts 30-50% Black","20 of 23",NA,NA
"Logit coefficient on the Historian's labels","0.135",NA,NA
"Logit coefficient on BISG's labels","0.16",NA,NA
"Lublin Table 3A, U.S. House cases","435","435",TRUE
"Lublin Table 4A, U.S. House cases","435","435",TRUE
"Lublin Table 4B, U.S. House cases","435","435",TRUE
"Figure 1(a) peak at sigma = .03 (BD = .30)","R = 0.450, p = 0.890",NA,NA
"Same curve at sigma = .005, width of the 99%-of-max plateau","0.070",NA,NA
"Share at which Black, total population reaches even odds","32.2%",NA,NA
"Share at which Black, citizen voting-age reaches even odds","32.8%",NA,NA
"Share at which Latino, total population reaches even odds","47.9%",NA,NA
"Share at which Latino, citizen voting-age reaches even odds","39.6%",NA,NA
"Republican share maximizing predicted Black success (fitted)","-33.6%",NA,NA
