"cvap_black_low_pct","rep_pct","p"
0,20,0.0722672
1,20,0.0799992
2,20,0.0884795
3,20,0.0977633
4,20,0.107906
5,20,0.118962
6,20,0.130984
7,20,0.144023
8,20,0.158124
9,20,0.173326
10,20,0.18966
11,20,0.207147
12,20,0.225798
13,20,0.245608
14,20,0.266557
15,20,0.28861
16,20,0.311711
17,20,0.335789
18,20,0.360752
19,20,0.386491
20,20,0.41288
21,20,0.43978
22,20,0.467038
23,20,0.494494
24,20,0.521983
25,20,0.54934
26,20,0.576402
27,20,0.603013
28,20,0.629028
29,20,0.654316
30,20,0.67876
31,20,0.702262
32,20,0.724743
33,20,0.746139
34,20,0.766408
35,20,0.785524
36,20,0.803477
37,20,0.820271
38,20,0.835923
39,20,0.85046
40,20,0.863919
41,20,0.876343
42,20,0.88778
43,20,0.898282
44,20,0.907903
45,20,0.916698
46,20,0.924723
47,20,0.932032
48,20,0.938679
49,20,0.944714
50,20,0.950187
51,20,0.955144
52,20,0.959628
53,20,0.963681
54,20,0.967341
55,20,0.970644
56,20,0.973621
57,20,0.976304
58,20,0.978721
59,20,0.980895
60,20,0.982851
61,20,0.98461
62,20,0.986191
63,20,0.987612
64,20,0.988888
65,20,0.990034
66,20,0.991063
67,20,0.991987
68,20,0.992816
69,20,0.993559
70,20,0.994226
0,21,0.0689603
1,21,0.0763675
2,21,0.0844983
3,21,0.0934071
4,21,0.103149
5,21,0.11378
6,21,0.125354
7,21,0.137921
8,21,0.15153
9,21,0.166223
10,21,0.182035
11,21,0.198992
12,21,0.21711
13,21,0.23639
14,21,0.25682
15,21,0.278373
16,21,0.301002
17,21,0.324643
18,21,0.349213
19,21,0.374611
20,21,0.400719
21,21,0.427403
22,21,0.454516
23,21,0.481902
24,21,0.509397
25,21,0.536835
26,21,0.564051
27,21,0.590888
28,21,0.617193
29,21,0.642829
30,21,0.667673
31,21,0.691618
32,21,0.714576
33,21,0.736475
34,21,0.757265
35,21,0.776911
36,21,0.795397
37,21,0.812721
38,21,0.828893
39,21,0.843937
40,21,0.857885
41,21,0.870777
42,21,0.88266
43,21,0.893583
44,21,0.903601
45,21,0.912768
46,21,0.921139
47,21,0.928769
48,21,0.935713
49,21,0.942022
50,21,0.947747
51,21,0.952934
52,21,0.95763
53,21,0.961876
54,21,0.965711
55,21,0.969173
56,21,0.972296
57,21,0.97511
58,21,0.977645
59,21,0.979927
60,21,0.981981
61,21,0.983828
62,21,0.985488
63,21,0.98698
64,21,0.988321
65,21,0.989525
66,21,0.990606
67,21,0.991576
68,21,0.992447
69,21,0.993229
70,21,0.99393
0,22,0.0657366
1,22,0.0728247
2,22,0.0806111
3,22,0.0891501
4,22,0.0984966
5,22,0.108706
6,22,0.119833
7,22,0.13193
8,22,0.145048
9,22,0.15923
10,22,0.174516
11,22,0.190936
12,22,0.208511
13,22,0.22725
14,22,0.247146
15,22,0.26818
16,22,0.290314
17,22,0.313492
18,22,0.33764
19,22,0.362665
20,22,0.388457
21,22,0.41489
22,22,0.441822
23,22,0.469101
24,22,0.496565
25,22,0.52405
26,22,0.55139
27,22,0.578423
28,22,0.604995
29,22,0.630959
30,22,0.656188
31,22,0.680564
32,22,0.703992
33,22,0.726392
34,22,0.747705
35,22,0.767888
36,22,0.786917
37,22,0.804782
38,22,0.821489
39,22,0.837056
40,22,0.851511
41,22,0.86489
42,22,0.877238
43,22,0.888603
44,22,0.899036
45,22,0.908593
46,22,0.917329
47,22,0.925298
48,22,0.932555
49,22,0.939154
50,22,0.945145
51,22,0.950578
52,22,0.955497
53,22,0.959948
54,22,0.96397
55,22,0.967602
56,22,0.970879
57,22,0.973833
58,22,0.976495
59,22,0.978892
60,22,0.98105
61,22,0.98299
62,22,0.984735
63,22,0.986304
64,22,0.987713
65,22,0.988979
66,22,0.990116
67,22,0.991136
68,22,0.992053
69,22,0.992875
70,22,0.993612
0,23,0.0625988
1,23,0.0693737
2,23,0.0768217
3,23,0.0849963
4,23,0.0939522
5,23,0.103745
6,23,0.114429
7,23,0.126059
8,23,0.138686
9,23,0.152357
10,23,0.167115
11,23,0.182993
12,23,0.200018
13,23,0.218203
14,23,0.237551
15,23,0.258048
16,23,0.279665
17,23,0.302355
18,23,0.326052
19,23,0.350674
20,23,0.376117
21,23,0.402262
22,23,0.428975
23,23,0.456109
24,23,0.483505
25,23,0.511001
26,23,0.538431
27,23,0.56563
28,23,0.592439
29,23,0.618709
30,23,0.644302
31,23,0.669097
32,23,0.692986
33,23,0.715883
34,23,0.737719
35,23,0.758443
36,23,0.778022
37,23,0.79644
38,23,0.813696
39,23,0.829802
40,23,0.844781
41,23,0.858666
42,23,0.871498
43,23,0.883323
44,23,0.894192
45,23,0.904159
46,23,0.913278
47,23,0.921604
48,23,0.929193
49,23,0.936098
50,23,0.942372
51,23,0.948064
52,23,0.953221
53,23,0.957889
54,23,0.96211
55,23,0.965923
56,23,0.969364
57,23,0.972468
58,23,0.975265
59,23,0.977785
60,23,0.980053
61,23,0.982094
62,23,0.98393
63,23,0.98558
64,23,0.987062
65,23,0.988395
66,23,0.989591
67,23,0.990665
68,23,0.99163
69,23,0.992495
70,23,0.993272
0,24,0.0595489
1,24,0.066017
2,24,0.0731329
3,24,0.0809495
4,24,0.0895207
5,24,0.0989019
6,24,0.109148
7,24,0.120314
8,24,0.132453
9,24,0.145614
10,24,0.159841
11,24,0.175174
12,24,0.191641
13,24,0.209264
14,24,0.228051
15,24,0.247995
16,24,0.269075
17,24,0.291253
18,24,0.314473
19,24,0.338659
20,24,0.363719
21,24,0.38954
22,24,0.415997
23,24,0.442946
24,24,0.470235
25,24,0.497704
26,24,0.525186
27,24,0.552517
28,24,0.579534
29,24,0.606083
30,24,0.63202
31,24,0.657215
32,24,0.681554
33,24,0.704941
34,24,0.727297
35,24,0.748564
36,24,0.768699
37,24,0.78768
38,24,0.805497
39,24,0.822157
40,24,0.837677
41,24,0.852086
42,24,0.865422
43,24,0.877728
44,24,0.889053
