"BD","sigma","peak_R","peak_p","plateau_lo","plateau_hi","plateau_width"
0.3,0.005,0.45,1,0.415,0.485,0.07
0.3,0.01,0.45,0.999997,0.43,0.475,0.045
0.3,0.02,0.45,0.982341,0.445,0.46,0.015
0.3,0.03,0.45,0.890443,0.45,0.455,0.005
0.3,0.05,0.45,0.688514,0.445,0.46,0.015
0.3,0.08,0.45,0.524853,0.44,0.46,0.02
0.3,0.12,0.45,0.428398,0.435,0.47,0.035
0.35,0.005,0.355,1,0.32,0.485,0.165
0.35,0.01,0.4,1,0.335,0.475,0.14
0.35,0.02,0.41,0.999995,0.36,0.45,0.09
0.35,0.03,0.41,0.997707,0.385,0.43,0.045
0.35,0.05,0.41,0.934056,0.395,0.42,0.025
0.35,0.08,0.41,0.763638,0.395,0.42,0.025
0.35,0.12,0.41,0.604292,0.39,0.425,0.035
0.4,0.005,0.265,1,0.22,0.485,0.265
0.4,0.01,0.315,1,0.24,0.475,0.235
0.4,0.02,0.37,1,0.27,0.45,0.18
0.4,0.03,0.37,0.999989,0.3,0.43,0.13
0.4,0.05,0.37,0.991871,0.34,0.39,0.05
0.4,0.08,0.37,0.904458,0.35,0.385,0.035
0.4,0.12,0.37,0.748409,0.345,0.385,0.04
0.45,0.005,0.17,1,0.125,0.485,0.36
0.45,0.01,0.23,1,0.145,0.475,0.33
0.45,0.02,0.325,1,0.18,0.45,0.27
0.45,0.03,0.33,1,0.215,0.43,0.215
0.45,0.05,0.33,0.999365,0.27,0.38,0.11
0.45,0.08,0.33,0.967519,0.305,0.355,0.05
0.45,0.12,0.33,0.851375,0.305,0.35,0.045
