"key","stfips","geoid","state","cd","geoname","pop_total","pop_black_low","pop_black_high","pop_hisp","pop_total_moe","pop_black_low_moe","pop_hisp_moe","vap_total","vap_black_low","vap_black_high","vap_hisp","vap_total_moe","vap_black_low_moe","vap_hisp_moe","cvap_total","cvap_black_low","cvap_black_high","cvap_hisp","cvap_total_moe","cvap_black_low_moe","cvap_hisp_moe","r_white","r_black","r_api","r_aian","r_2prace","r_hisp","state_abb","bioguide","name","party","black","hisp","both","dem_pct","rep_pct","dpres","pop_black_low_pct","pop_black_high_pct","pop_hisp_pct","pop_black_low_pct_moe","pop_hisp_pct_moe","vap_black_low_pct","vap_black_high_pct","vap_hisp_pct","vap_black_low_pct_moe","vap_hisp_pct_moe","cvap_black_low_pct","cvap_black_high_pct","cvap_hisp_pct","cvap_black_low_pct_moe","cvap_hisp_pct_moe","minority_pct"
"AZ-04","04","5001800US0404","Arizona",4,"Congressional District 4 (118th Congress), Arizona",803745,43575,59500,210400,5653,2877,3991,640655,34200,42995,146890,4440,2234,3029,584490,32825,41335,116545,4728,2158,3099,458630,43575,46365,14665,30110,210400,"AZ","S001211","Greg Stanton","Democrat",FALSE,FALSE,FALSE,54.2,43.9,55.25,5.4215,7.40285,26.1775,0.355913,0.461155,5.33829,6.7111,22.9281,0.346737,0.445295,5.61601,7.07198,19.9396,0.366405,0.505077,28.2664
"AZ-05","04","5001800US0405","Arizona",5,"Congressional District 5 (118th Congress), Arizona",812985,28000,42110,145465,5517,2815,4821,605900,21240,28290,95995,4219,1918,3185,576775,20815,27635,85905,4589,1869,3030,552380,28000,47555,6705,32880,145465,"AZ","B001302","Andy Biggs","Republican",FALSE,FALSE,FALSE,41,57.4,41.67,3.4441,5.17968,17.8927,0.345465,0.580436,3.50553,4.66909,15.8434,0.315611,0.513958,3.60886,4.7913,14.894,0.322769,0.511795,19.3489
"AZ-06","04","5001800US0406","Arizona",6,"Congressional District 6 (118th Congress), Arizona",798430,28130,41490,199500,6002,1636,4290,647275,22385,29840,142650,4384,1208,3083,621980,21370,28705,128950,4379,1156,2996,509690,28130,25305,6325,29490,199500,"AZ","C001133","Juan Ciscomani","Republican",FALSE,TRUE,FALSE,49.3,49.2,50.05,3.52316,5.19645,24.9865,0.203183,0.503404,3.45834,4.6101,22.0385,0.185153,0.452311,3.4358,4.6151,20.7322,0.184277,0.45904,25.4969
"AZ-07","04","5001800US0407","Arizona",7,"Congressional District 7 (118th Congress), Arizona",804460,28020,35535,483145,5792,1806,4670,614665,21670,26930,342780,4820,1434,3641,538895,20315,25520,276480,5538,1412,3885,238885,28020,15300,22020,17090,483145,"AZ","G000551","Raúl M. Grijalva","Democrat",FALSE,TRUE,FALSE,65.6,32.9,66.6,3.48308,4.41725,60.0583,0.223093,0.38732,3.5255,4.38125,55.767,0.231654,0.39956,3.76975,4.73562,51.305,0.259138,0.491674,59.2925
"AZ-08","04","5001800US0408","Arizona",8,"Congressional District 8 (118th Congress), Arizona",796520,31620,46845,170985,7127,2544,5606,632955,24400,31420,117500,5930,1725,4145,593055,23170,30010,96610,5356,1650,3163,516680,31620,39105,7555,30570,170985,"AZ","L000589","Debbie Lesko","Republican",FALSE,FALSE,FALSE,42.5,56.1,43.1,3.96977,5.88121,21.4665,0.317408,0.677095,3.85493,4.96402,18.5637,0.270128,0.631348,3.90689,5.06024,16.2902,0.275974,0.512647,22.4187
"AZ-09","04","5001800US0409","Arizona",9,"Congressional District 9 (118th Congress), Arizona",836315,34880,48055,259700,5368,3015,5225,647165,27420,35060,173690,4708,1957,3747,611240,26340,33790,149220,4674,1825,3596,486415,34880,18200,9485,27640,259700,"AZ","G000565","Paul A. Gosar","Republican",FALSE,FALSE,FALSE,36.4,62.2,36.92,4.17068,5.74604,31.0529,0.359515,0.592118,4.23694,5.41747,26.8386,0.300821,0.545073,4.30927,5.52811,24.4127,0.296749,0.557909,31.0755
"CA-01","06","5001800US0601","California",1,"Congressional District 1 (118th Congress), California",762485,14070,25685,176200,992,741,387,588540,11655,17560,119100,842,509,287,552335,11395,17095,93100,1921,507,1489,484255,14070,45705,8600,33655,176200,"CA","L000578","Doug LaMalfa","Republican",FALSE,FALSE,FALSE,39.2,58.3,40.21,1.84528,3.36859,23.1087,0.0971526,0.0408926,1.98032,2.98365,20.2365,0.0864388,0.0392404,2.06306,3.09504,16.8557,0.0915113,0.263131,22.2168
"CA-02","06","5001800US0602","California",2,"Congressional District 2 (118th Congress), California",758160,12310,23465,156290,3176,834,2334,610425,10440,17305,107995,2620,729,1702,561400,9665,16285,74720,3013,745,2030,513240,12310,32100,10095,34125,156290,"CA","H001068","Jared Huffman","Democrat",FALSE,FALSE,FALSE,73.5,24,75.38,1.62367,3.09499,20.6144,0.109793,0.295491,1.71028,2.83491,17.6918,0.119199,0.268283,1.72159,2.90078,13.3096,0.132382,0.35447,19.4021
"CA-03","06","5001800US0603","California",3,"Congressional District 3 (118th Congress), California",770955,12705,23425,114400,2574,1268,2047,612045,10810,16510,80445,2325,935,1473,579480,10585,16090,68090,2772,890,1531,546205,12705,61075,4415,32165,114400,"CA","K000401","Kevin Kiley","Republican",FALSE,FALSE,FALSE,47.9,49.7,49.08,1.64796,3.03844,14.8387,0.164379,0.260852,1.76621,2.69751,13.1436,0.152619,0.235432,1.82664,2.77663,11.7502,0.153337,0.258154,14.9099
"CA-04","06","5001800US0604","California",4,"Congressional District 4 (118th Congress), California",763130,21700,34050,244275,3346,1498,2981,609930,17850,25480,171030,2962,1159,2215,545395,17105,24530,127510,3675,1152,2861,398200,21700,65255,3260,30435,244275,"CA","T000460","Mike Thompson","Democrat",FALSE,FALSE,FALSE,67.1,30.5,68.75,2.84355,4.46189,32.0096,0.1959,0.364544,2.92657,4.17753,28.0409,0.18949,0.336659,3.13626,4.49766,23.3794,0.210163,0.50036,30.9675
