"BD","R","sigma","p"
0.3,0.065,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000196153
0.35,0.065,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106548
0.4,0.065,0.005,0.0000000000000000000000000000000000000000000000148104
0.45,0.065,0.005,0.000090804
0.3,0.07,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435849
0.35,0.07,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000247108
0.4,0.07,0.005,0.0000000000000000000000000000000000000000000105451
0.45,0.07,0.005,0.000628091
0.3,0.075,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000980361
0.35,0.075,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000542041
0.4,0.075,0.005,0.00000000000000000000000000000000000000000650791
0.45,0.075,0.005,0.00343891
0.3,0.08,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222829
0.35,0.08,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112052
0.4,0.08,0.005,0.00000000000000000000000000000000000000346127
0.45,0.08,0.005,0.0148558
0.3,0.085,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051084
0.35,0.085,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000217485
0.4,0.085,0.005,0.00000000000000000000000000000000000157705
0.45,0.085,0.005,0.0505708
0.3,0.09,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011789
0.35,0.09,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000394801
0.4,0.09,0.005,0.000000000000000000000000000000000611784
0.45,0.09,0.005,0.135906
0.3,0.095,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273318
0.35,0.095,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000667605
0.4,0.095,0.005,0.000000000000000000000000000000200786
0.45,0.095,0.005,0.290308
0.3,0.1,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000635227
0.35,0.1,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104723
0.4,0.1,0.005,0.0000000000000000000000000000553863
0.45,0.1,0.005,0.5
0.3,0.105,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014767
0.35,0.105,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151727
0.4,0.105,0.005,0.0000000000000000000000000127544
0.45,0.105,0.005,0.711803
0.3,0.11,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342569
0.35,0.11,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202128
0.4,0.11,0.005,0.00000000000000000000000243485
0.45,0.11,0.005,0.869408
0.3,0.115,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000791113
0.35,0.115,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000246438
0.4,0.115,0.005,0.000000000000000000000382569
0.45,0.115,0.005,0.954954
0.3,0.12,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181409
0.35,0.12,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027365
0.4,0.12,0.005,0.0000000000000000000491072
0.45,0.12,0.005,0.988479
0.3,0.125,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000411957
0.35,0.125,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
0.4,0.125,0.005,0.00000000000000000511046
0.45,0.125,0.005,0.997863
0.3,0.13,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000923875
0.35,0.13,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000249784
0.4,0.13,0.005,0.0000000000000004278
0.45,0.13,0.005,0.999718
0.3,0.135,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204024
0.35,0.135,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000203149
0.4,0.135,0.005,0.0000000000000285752
0.45,0.135,0.005,0.999974
0.3,0.14,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000442322
0.35,0.14,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000147301
0.4,0.14,0.005,0.0000000000015105
0.45,0.14,0.005,0.999998
