"BD","R","sigma","p"
0.3,0,0.01,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
0.35,0,0.01,0.00000000000000000000000000000000000000000000000000367097
0.4,0,0.01,0.00000000000000000000000761985
0.45,0,0.01,0.000000286652
0.3,0.005,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000559332
0.35,0.005,0.01,0.0000000000000000000000000000000000000000000000000511555
0.4,0.005,0.01,0.0000000000000000000000568557
0.45,0.005,0.01,0.000000903598
0.3,0.01,0.01,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000114459
0.35,0.01,0.01,0.00000000000000000000000000000000000000000000000070955
0.4,0.01,0.01,0.000000000000000000000415699
0.45,0.01,0.01,0.00000274084
0.3,0.015,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000235907
0.35,0.015,0.01,0.00000000000000000000000000000000000000000000000979072
0.4,0.015,0.01,0.00000000000000000000297553
0.45,0.015,0.01,0.00000799024
0.3,0.02,0.01,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000489591
0.35,0.02,0.01,0.00000000000000000000000000000000000000000000013432
0.4,0.02,0.01,0.0000000000000000000208315
0.45,0.02,0.01,0.0000223602
0.3,0.025,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000102286
0.35,0.025,0.01,0.00000000000000000000000000000000000000000000183109
0.4,0.025,0.01,0.000000000000000000142503
0.45,0.025,0.01,0.0000599932
0.3,0.03,0.01,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000215062
0.35,0.03,0.01,0.0000000000000000000000000000000000000000000247886
0.4,0.03,0.01,0.000000000000000000951565
0.45,0.03,0.01,0.000154136
0.3,0.035,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000000045494
0.35,0.035,0.01,0.000000000000000000000000000000000000000000333037
0.4,0.035,0.01,0.00000000000000000619601
0.45,0.035,0.01,0.000378749
0.3,0.04,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000000967955
0.35,0.04,0.01,0.00000000000000000000000000000000000000000443761
0.4,0.04,0.01,0.0000000000000000392987
0.45,0.04,0.01,0.000889025
0.3,0.045,0.01,0.0000000000000000000000000000000000000000000000000000000000000000000000000000207075
0.35,0.045,0.01,0.0000000000000000000000000000000000000000586033
0.4,0.045,0.01,0.000000000000000242526
0.45,0.045,0.01,0.00199102
0.3,0.05,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000445274
0.35,0.05,0.01,0.00000000000000000000000000000000000000076649
0.4,0.05,0.01,0.00000000000000145464
0.45,0.05,0.01,0.00424946
0.3,0.055,0.01,0.00000000000000000000000000000000000000000000000000000000000000000000000000962057
0.35,0.055,0.01,0.0000000000000000000000000000000000000099216
0.4,0.055,0.01,0.00000000000000846954
0.45,0.055,0.01,0.00863397
0.3,0.06,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000208781
0.35,0.06,0.01,0.000000000000000000000000000000000000127004
0.4,0.06,0.01,0.0000000000000478126
0.45,0.06,0.01,0.0166827
0.3,0.065,0.01,0.00000000000000000000000000000000000000000000000000000000000000000000000454913
0.35,0.065,0.01,0.00000000000000000000000000000000000160646
0.4,0.065,0.01,0.000000000000261373
0.45,0.065,0.01,0.030627
0.3,0.07,0.01,0.0000000000000000000000000000000000000000000000000000000000000000000000994811
0.35,0.07,0.01,0.0000000000000000000000000000000000200624
0.4,0.07,0.01,0.00000000000138182
0.45,0.07,0.01,0.0533828
0.3,0.075,0.01,0.00000000000000000000000000000000000000000000000000000000000000000000218245
0.35,0.075,0.01,0.000000000000000000000000000000000247164
0.4,0.075,0.01,0.00000000000705574
0.45,0.075,0.01,0.0882915
0.3,0.08,0.01,0.0000000000000000000000000000000000000000000000000000000000000000000480119
0.35,0.08,0.01,0.00000000000000000000000000000000300119
0.4,0.08,0.01,0.0000000000347484
0.45,0.08,0.01,0.138528
0.3,0.085,0.01,0.00000000000000000000000000000000000000000000000000000000000000000105865
0.35,0.085,0.01,0.0000000000000000000000000000000358849
0.4,0.085,0.01,0.000000000164823
0.45,0.085,0.01,0.206202
0.3,0.09,0.01,0.0000000000000000000000000000000000000000000000000000000000000000233857
0.35,0.09,0.01,0.000000000000000000000000000000422108
0.4,0.09,0.01,0.000000000751902
0.45,0.09,0.01,0.291348
0.3,0.095,0.01,0.000000000000000000000000000000000000000000000000000000000000000517274
0.35,0.095,0.01,0.0000000000000000000000000000048798
0.4,0.095,0.01,0.00000000329397
0.45,0.095,0.01,0.391181
0.3,0.1,0.01,0.0000000000000000000000000000000000000000000000000000000000000114507
0.35,0.1,0.01,0.0000000000000000000000000000553863
0.4,0.1,0.01,0.0000000138365
0.45,0.1,0.01,0.5
0.3,0.105,0.01,0.000000000000000000000000000000000000000000000000000000000000253543
0.35,0.105,0.01,0.00000000000000000000000000061654
0.4,0.105,0.01,0.0000000556419
0.45,0.105,0.01,0.610004
0.3,0.11,0.01,0.00000000000000000000000000000000000000000000000000000000000561209
0.35,0.11,0.01,0.0000000000000000000000000067236
0.4,0.11,0.01,0.000000213869
0.45,0.11,0.01,0.712873
0.3,0.115,0.01,0.000000000000000000000000000000000000000000000000000000000124106
0.35,0.115,0.01,0.0000000000000000000000000717508
0.4,0.115,0.01,0.000000784424
0.45,0.115,0.01,0.80163
0.3,0.12,0.01,0.00000000000000000000000000000000000000000000000000000000274017
0.35,0.12,0.01,0.000000000000000000000000748376
0.4,0.12,0.01,0.00000274084
0.45,0.12,0.01,0.872098
0.3,0.125,0.01,0.0000000000000000000000000000000000000000000000000000000603671
0.35,0.125,0.01,0.00000000000000000000000761985
0.4,0.125,0.01,0.00000910765
0.45,0.125,0.01,0.923436
0.3,0.13,0.01,0.00000000000000000000000000000000000000000000000000000132605
0.35,0.13,0.01,0.0000000000000000000000756402
0.4,0.13,0.01,0.0000287322
0.45,0.13,0.01,0.957659
0.3,0.135,0.01,0.0000000000000000000000000000000000000000000000000000290231
0.35,0.135,0.01,0.000000000000000000000731075
0.4,0.135,0.01,0.0000859039
0.45,0.135,0.01,0.97847
0.3,0.14,0.01,0.000000000000000000000000000000000000000000000000000632455
0.35,0.14,0.01,0.00000000000000000000687034
0.4,0.14,0.01,0.000242986
0.45,0.14,0.01,0.98998
0.3,0.145,0.01,0.0000000000000000000000000000000000000000000000000137112
0.35,0.145,0.01,0.0000000000000000000626876
0.4,0.145,0.01,0.000649107
0.45,0.145,0.01,0.995751
0.3,0.15,0.01,0.000000000000000000000000000000000000000000000000295478
0.35,0.15,0.01,0.000000000000000000554538
0.4,0.15,0.01,0.00163484
0.45,0.15,0.01,0.998365
0.3,0.155,0.01,0.00000000000000000000000000000000000000000000000632426
0.35,0.155,0.01,0.00000000000000000474854
0.4,0.155,0.01,0.00387557
0.45,0.155,0.01,0.999432
0.3,0.16,0.01,0.00000000000000000000000000000000000000000000013432
0.35,0.16,0.01,0.0000000000000000392987
0.4,0.16,0.01,0.00863397
0.45,0.16,0.01,0.999822
0.3,0.165,0.01,0.00000000000000000000000000000000000000000000282824
0.35,0.165,0.01,0.000000000000000313813
0.4,0.165,0.01,0.0180496
0.45,0.165,0.01,0.99995
0.3,0.17,0.01,0.000000000000000000000000000000000000000000058981
0.35,0.17,0.01,0.00000000000000241377
0.4,0.17,0.01,0.0353633
0.45,0.17,0.01,0.999988
0.3,0.175,0.01,0.00000000000000000000000000000000000000000121699
0.35,0.175,0.01,0.0000000000000178519
0.4,0.175,0.01,0.064867
0.45,0.175,0.01,0.999997
0.3,0.18,0.01,0.0000000000000000000000000000000000000000248188
0.35,0.18,0.01,0.000000000000126719
0.4,0.18,0.01,0.111325
0.45,0.18,0.01,0.999999
0.3,0.185,0.01,0.000000000000000000000000000000000000000499705
0.35,0.185,0.01,0.000000000000861672
0.4,0.185,0.01,0.178722
0.45,0.185,0.01,1
0.3,0.19,0.01,0.0000000000000000000000000000000000000099216
0.35,0.19,0.01,0.00000000000560188
0.4,0.19,0.01,0.268524
0.45,0.19,0.01,1
0.3,0.195,0.01,0.000000000000000000000000000000000000194027
0.35,0.195,0.01,0.0000000000347484
0.4,0.195,0.01,0.378068
0.45,0.195,0.01,1
0.3,0.2,0.01,0.00000000000000000000000000000000000373256
0.35,0.2,0.01,0.000000000205226
0.4,0.2,0.01,0.5
0.45,0.2,0.01,1
0.3,0.205,0.01,0.0000000000000000000000000000000000705417
0.35,0.205,0.01,0.00000000115156
0.4,0.205,0.01,0.623416
0.45,0.205,0.01,1
0.3,0.21,0.01,0.00000000000000000000000000000000130792
0.35,0.21,0.01,0.00000000612527
0.4,0.21,0.01,0.736604
0.45,0.21,0.01,1
0.3,0.215,0.01,0.0000000000000000000000000000000237569
0.35,0.215,0.01,0.0000000308139
0.4,0.215,0.01,0.830316
0.45,0.215,0.01,1
0.3,0.22,0.01,0.000000000000000000000000000000422108
0.35,0.22,0.01,0.000000146259
0.4,0.22,0.01,0.900088
0.45,0.22,0.01,1
0.3,0.225,0.01,0.0000000000000000000000000000073249
0.35,0.225,0.01,0.000000653424
0.4,0.225,0.01,0.946617
0.45,0.225,0.01,1
0.3,0.23,0.01,0.000000000000000000000000000123941
0.35,0.23,0.01,0.00000274084
0.4,0.23,0.01,0.974296
0.45,0.23,0.01,1
0.3,0.235,0.01,0.0000000000000000000000000020414
0.35,0.235,0.01,0.0000107668
0.4,0.235,0.01,0.988919
0.45,0.235,0.01,1
0.3,0.24,0.01,0.000000000000000000000000032671
0.35,0.24,0.01,0.0000395075
0.4,0.24,0.01,0.995751
0.45,0.24,0.01,1
0.3,0.245,0.01,0.000000000000000000000000507127
0.35,0.245,0.01,0.000135062
0.4,0.245,0.01,0.998559
0.45,0.245,0.01,1
0.3,0.25,0.01,0.00000000000000000000000761985
0.35,0.25,0.01,0.00042906
0.4,0.25,0.01,0.999571
0.45,0.25,0.01,1
0.3,0.255,0.01,0.000000000000000000000110605
0.35,0.255,0.01,0.00126331
0.4,0.255,0.01,0.999888
0.45,0.255,0.01,1
0.3,0.26,0.01,0.0000000000000000000015477
0.35,0.26,0.01,0.00343891
0.4,0.26,0.01,0.999975
0.45,0.26,0.01,1
0.3,0.265,0.01,0.0000000000000000000208315
0.35,0.265,0.01,0.00863397
0.4,0.265,0.01,0.999995
0.45,0.265,0.01,1
0.3,0.27,0.01,0.000000000000000000269081
0.35,0.27,0.01,0.0199494
0.4,0.27,0.01,0.999999
0.45,0.27,0.01,1
0.3,0.275,0.01,0.0000000000000000033276
0.35,0.275,0.01,0.0423415
0.4,0.275,0.01,1
0.45,0.275,0.01,1
0.3,0.28,0.01,0.0000000000000000392987
0.35,0.28,0.01,0.0824333
0.4,0.28,0.01,1
0.45,0.28,0.01,1
0.3,0.285,0.01,0.000000000000000442071
0.35,0.285,0.01,0.1471
0.4,0.285,0.01,1
0.45,0.285,0.01,1
0.3,0.29,0.01,0.00000000000000472379
0.35,0.29,0.01,0.240646
0.4,0.29,0.01,1
0.45,0.29,0.01,1
0.3,0.295,0.01,0.0000000000000478126
0.35,0.295,0.01,0.361441
0.4,0.295,0.01,1
0.45,0.295,0.01,1
0.3,0.3,0.01,0.000000000000457053
0.35,0.3,0.01,0.5
0.4,0.3,0.01,1
0.45,0.3,0.01,1
0.3,0.305,0.01,0.00000000000411365
0.35,0.305,0.01,0.640469
0.4,0.305,0.01,1
0.45,0.305,0.01,1
0.3,0.31,0.01,0.0000000000347484
0.35,0.31,0.01,0.765663
0.4,0.31,0.01,1
0.45,0.31,0.01,1
0.3,0.315,0.01,0.000000000274566
0.35,0.315,0.01,0.863218
0.4,0.315,0.01,1
0.45,0.315,0.01,1
0.3,0.32,0.01,0.00000000202237
0.35,0.32,0.01,0.929299
0.4,0.32,0.01,1
0.45,0.32,0.01,1
0.3,0.325,0.01,0.0000000138365
0.35,0.325,0.01,0.967976
0.4,0.325,0.01,1
0.45,0.325,0.01,1
0.3,0.33,0.01,0.0000000876059
0.35,0.33,0.01,0.987416
0.4,0.33,0.01,1
0.45,0.33,0.01,1
0.3,0.335,0.01,0.000000511354
0.35,0.335,0.01,0.995751
0.4,0.335,0.01,1
0.45,0.335,0.01,1
0.3,0.34,0.01,0.00000274084
0.35,0.34,0.01,0.998778
0.4,0.34,0.01,1
0.45,0.34,0.01,1
0.3,0.345,0.01,0.000013436
0.35,0.345,0.01,0.999704
0.4,0.345,0.01,1
0.45,0.345,0.01,1
0.3,0.35,0.01,0.0000599932
0.35,0.35,0.01,0.99994
0.4,0.35,0.01,1
0.45,0.35,0.01,1
0.3,0.355,0.01,0.000242986
0.35,0.355,0.01,0.99999
0.4,0.355,0.01,1
0.45,0.355,0.01,1
0.3,0.36,0.01,0.000889025
0.35,0.36,0.01,0.999999
0.4,0.36,0.01,1
0.45,0.36,0.01,1
0.3,0.365,0.01,0.0029265
0.35,0.365,0.01,1
0.4,0.365,0.01,1
0.45,0.365,0.01,1
0.3,0.37,0.01,0.00863397
0.35,0.37,0.01,1
0.4,0.37,0.01,1
0.45,0.37,0.01,1
0.3,0.375,0.01,0.0227501
0.35,0.375,0.01,1
0.4,0.375,0.01,1
0.45,0.375,0.01,1
0.3,0.38,0.01,0.0533828
0.35,0.38,0.01,1
0.4,0.38,0.01,1
0.45,0.38,0.01,1
0.3,0.385,0.01,0.111325
0.35,0.385,0.01,1
0.4,0.385,0.01,1
0.45,0.385,0.01,1
0.3,0.39,0.01,0.206202
0.35,0.39,0.01,1
0.4,0.39,0.01,1
0.45,0.39,0.01,1
0.3,0.395,0.01,0.339722
0.35,0.395,0.01,1
0.4,0.395,0.01,1
0.45,0.395,0.01,1
0.3,0.4,0.01,0.5
0.35,0.4,0.01,1
0.4,0.4,0.01,1
0.45,0.4,0.01,1
0.3,0.405,0.01,0.662819
0.35,0.405,0.01,1
0.4,0.405,0.01,1
0.45,0.405,0.01,1
0.3,0.41,0.01,0.80163
0.35,0.41,0.01,1
0.4,0.41,0.01,1
0.45,0.41,0.01,1
0.3,0.415,0.01,0.900088
0.35,0.415,0.01,1
0.4,0.415,0.01,1
0.45,0.415,0.01,1
0.3,0.42,0.01,0.957659
0.35,0.42,0.01,1
0.4,0.42,0.01,1
0.45,0.42,0.01,1
0.3,0.425,0.01,0.985144
0.35,0.425,0.01,1
0.4,0.425,0.01,1
0.45,0.425,0.01,1
0.3,0.43,0.01,0.995751
0.35,0.43,0.01,1
0.4,0.43,0.01,1
0.45,0.43,0.01,1
0.3,0.435,0.01,0.999024
0.35,0.435,0.01,1
0.4,0.435,0.01,1
0.45,0.435,0.01,1
0.3,0.44,0.01,0.999822
0.35,0.44,0.01,1
0.4,0.44,0.01,1
0.45,0.44,0.01,1
0.3,0.445,0.01,0.999975
0.35,0.445,0.01,1
0.4,0.445,0.01,1
0.45,0.445,0.01,1
0.3,0.45,0.01,0.999997
0.35,0.45,0.01,1
0.4,0.45,0.01,1
0.45,0.45,0.01,1
0.3,0.455,0.01,0.999996
0.35,0.455,0.01,0.999997
0.4,0.455,0.01,0.999997
0.45,0.455,0.01,0.999997
0.3,0.46,0.01,0.999968
0.35,0.46,0.01,0.999968
0.4,0.46,0.01,0.999968
0.45,0.46,0.01,0.999968
0.3,0.465,0.01,0.999767
0.35,0.465,0.01,0.999767
0.4,0.465,0.01,0.999767
0.45,0.465,0.01,0.999767
0.3,0.47,0.01,0.99865
0.35,0.47,0.01,0.99865
0.4,0.47,0.01,0.99865
0.45,0.47,0.01,0.99865
0.3,0.475,0.01,0.99379
0.35,0.475,0.01,0.99379
0.4,0.475,0.01,0.99379
0.45,0.475,0.01,0.99379
0.3,0.48,0.01,0.97725
0.35,0.48,0.01,0.97725
0.4,0.48,0.01,0.97725
0.45,0.48,0.01,0.97725
0.3,0.485,0.01,0.933193
0.35,0.485,0.01,0.933193
0.4,0.485,0.01,0.933193
0.45,0.485,0.01,0.933193
0.3,0.49,0.01,0.841345
0.35,0.49,0.01,0.841345
0.4,0.49,0.01,0.841345
0.45,0.49,0.01,0.841345
0.3,0.495,0.01,0.691462
0.35,0.495,0.01,0.691462
0.4,0.495,0.01,0.691462
0.45,0.495,0.01,0.691462
0.3,0.5,0.01,0.5
0.35,0.5,0.01,0.5
0.4,0.5,0.01,0.5
0.45,0.5,0.01,0.5
0.3,0.505,0.01,0.308538
0.35,0.505,0.01,0.308538
0.4,0.505,0.01,0.308538
0.45,0.505,0.01,0.308538
0.3,0.51,0.01,0.158655
0.35,0.51,0.01,0.158655
0.4,0.51,0.01,0.158655
0.45,0.51,0.01,0.158655
0.3,0.515,0.01,0.0668072
0.35,0.515,0.01,0.0668072
0.4,0.515,0.01,0.0668072
0.45,0.515,0.01,0.0668072
0.3,0.52,0.01,0.0227501
0.35,0.52,0.01,0.0227501
0.4,0.52,0.01,0.0227501
0.45,0.52,0.01,0.0227501
0.3,0.525,0.01,0.00620967
0.35,0.525,0.01,0.00620967
0.4,0.525,0.01,0.00620967
0.45,0.525,0.01,0.00620967
0.3,0.53,0.01,0.0013499
0.35,0.53,0.01,0.0013499
0.4,0.53,0.01,0.0013499
0.45,0.53,0.01,0.0013499
0.3,0.535,0.01,0.000232629
0.35,0.535,0.01,0.000232629
0.4,0.535,0.01,0.000232629
0.45,0.535,0.01,0.000232629
0.3,0.54,0.01,0.0000316712
0.35,0.54,0.01,0.0000316712
0.4,0.54,0.01,0.0000316712
0.45,0.54,0.01,0.0000316712
0.3,0.545,0.01,0.00000339767
0.35,0.545,0.01,0.00000339767
0.4,0.545,0.01,0.00000339767
0.45,0.545,0.01,0.00000339767
0.3,0.55,0.01,0.000000286652
0.35,0.55,0.01,0.000000286652
0.4,0.55,0.01,0.000000286652
0.45,0.55,0.01,0.000000286652
0.3,0.555,0.01,0.0000000189896
0.35,0.555,0.01,0.0000000189896
0.4,0.555,0.01,0.0000000189896
0.3,0.56,0.01,0.000000000986588
0.35,0.56,0.01,0.000000000986588
0.4,0.56,0.01,0.000000000986588
0.3,0.565,0.01,0.00000000004016
0.35,0.565,0.01,0.00000000004016
0.4,0.565,0.01,0.00000000004016
0.3,0.57,0.01,0.00000000000127981
0.35,0.57,0.01,0.00000000000127981
0.4,0.57,0.01,0.00000000000127981
0.3,0.575,0.01,0.0000000000000319089
0.35,0.575,0.01,0.0000000000000319089
0.4,0.575,0.01,0.0000000000000319089
0.3,0.58,0.01,0.000000000000000622096
0.35,0.58,0.01,0.000000000000000622096
0.4,0.58,0.01,0.000000000000000622096
0.3,0.585,0.01,0.00000000000000000947953
0.35,0.585,0.01,0.00000000000000000947953
0.4,0.585,0.01,0.00000000000000000947953
0.3,0.59,0.01,0.000000000000000000112859
0.35,0.59,0.01,0.000000000000000000112859
0.4,0.59,0.01,0.000000000000000000112859
0.3,0.595,0.01,0.00000000000000000000104945
0.35,0.595,0.01,0.00000000000000000000104945
0.4,0.595,0.01,0.00000000000000000000104945
0.3,0.6,0.01,0.00000000000000000000000761985
0.35,0.6,0.01,0.00000000000000000000000761985
0.4,0.6,0.01,0.00000000000000000000000761985
0.3,0,0.02,0.00000000000000000000000761985
0.35,0,0.02,0.0000000000000319089
0.4,0,0.02,0.000000286652
0.45,0,0.02,0.00620967
0.3,0.005,0.02,0.0000000000000000000000162665
0.35,0.005,0.02,0.0000000000000621761
0.4,0.005,0.02,0.00000048041
0.45,0.005,0.02,0.00849475
0.3,0.01,0.02,0.0000000000000000000000347925
0.35,0.01,0.02,0.000000000000121034
0.4,0.01,0.02,0.00000080137
0.45,0.01,0.02,0.0115213
0.3,0.015,0.02,0.0000000000000000000000745589
0.35,0.015,0.02,0.000000000000235347
0.4,0.015,0.02,0.00000133022
0.45,0.015,0.02,0.0154888
0.3,0.02,0.02,0.000000000000000000000160069
0.35,0.02,0.02,0.000000000000457053
0.4,0.02,0.02,0.00000219681
0.45,0.02,0.02,0.0206345
0.3,0.025,0.02,0.000000000000000000000344258
0.35,0.025,0.02,0.000000000000886384
0.4,0.025,0.02,0.00000360861
0.45,0.025,0.02,0.0272352
0.3,0.03,0.02,0.00000000000000000000074165
0.35,0.03,0.02,0.00000000000171637
0.4,0.03,0.02,0.00000589479
0.45,0.03,0.02,0.035606
0.3,0.035,0.02,0.00000000000000000000160038
0.35,0.035,0.02,0.00000000000331793
0.4,0.035,0.02,0.00000957355
0.45,0.035,0.02,0.0460968
0.3,0.04,0.02,0.00000000000000000000345879
0.35,0.04,0.02,0.00000000000640214
0.4,0.04,0.02,0.0000154543
0.45,0.04,0.02,0.0590851
0.3,0.045,0.02,0.00000000000000000000748634
0.35,0.045,0.02,0.0000000000123286
0.4,0.045,0.02,0.0000247907
0.45,0.045,0.02,0.0749633
0.3,0.05,0.02,0.0000000000000000000162265
0.35,0.05,0.02,0.0000000000236895
0.4,0.05,0.02,0.0000395075
0.45,0.05,0.02,0.0941224
0.3,0.055,0.02,0.000000000000000000035217
0.35,0.055,0.02,0.0000000000454132
0.4,0.055,0.02,0.0000625326
0.45,0.055,0.02,0.11693
0.3,0.06,0.02,0.0000000000000000000765272
0.35,0.06,0.02,0.000000000086838
0.4,0.06,0.02,0.0000982772
0.45,0.06,0.02,0.143703
0.3,0.065,0.02,0.000000000000000000166485
0.35,0.065,0.02,0.0000000001656
0.4,0.065,0.02,0.00015332
0.45,0.065,0.02,0.174681
0.3,0.07,0.02,0.000000000000000000362565
0.35,0.07,0.02,0.000000000314881
0.4,0.07,0.02,0.000237365
0.45,0.07,0.02,0.209991
0.3,0.075,0.02,0.000000000000000000790327
0.35,0.075,0.02,0.000000000596875
0.4,0.075,0.02,0.000364573
0.45,0.075,0.02,0.249623
0.3,0.08,0.02,0.00000000000000000172422
0.35,0.08,0.02,0.00000000112766
0.4,0.08,0.02,0.000555356
0.45,0.08,0.02,0.2934
0.3,0.085,0.02,0.00000000000000000376437
0.35,0.085,0.02,0.00000000212295
0.4,0.085,0.02,0.000838771
0.45,0.085,0.02,0.340963
0.3,0.09,0.02,0.00000000000000000822355
0.35,0.09,0.02,0.00000000398171
0.4,0.09,0.02,0.00125564
0.45,0.09,0.02,0.391764
0.3,0.095,0.02,0.0000000000000000179738
0.35,0.095,0.02,0.00000000743818
0.4,0.095,0.02,0.00186253
0.45,0.095,0.02,0.445072
0.3,0.1,0.02,0.0000000000000000392987
0.35,0.1,0.02,0.0000000138365
0.4,0.1,0.02,0.0027366
0.45,0.1,0.02,0.5
0.3,0.105,0.02,0.0000000000000000859447
0.35,0.105,0.02,0.0000000256237
0.4,0.105,0.02,0.00398154
0.45,0.105,0.02,0.555538
0.3,0.11,0.02,0.000000000000000187975
0.35,0.11,0.02,0.000000047228
0.4,0.11,0.02,0.00573425
0.45,0.11,0.02,0.610606
0.3,0.115,0.02,0.000000000000000411113
0.35,0.115,0.02,0.0000000866135
0.4,0.115,0.02,0.00817227
0.45,0.115,0.02,0.664118
0.3,0.12,0.02,0.000000000000000898952
0.35,0.12,0.02,0.000000158008
0.4,0.12,0.02,0.0115213
0.45,0.12,0.02,0.715044
0.3,0.125,0.02,0.00000000000000196497
0.35,0.125,0.02,0.000000286652
0.4,0.125,0.02,0.0160623
0.45,0.125,0.02,0.762475
0.3,0.13,0.02,0.0000000000000042929
0.35,0.13,0.02,0.000000516993
0.4,0.13,0.02,0.0221366
0.45,0.13,0.02,0.805675
0.3,0.135,0.02,0.00000000000000937227
0.35,0.135,0.02,0.000000926696
0.4,0.135,0.02,0.0301487
0.45,0.135,0.02,0.844126
0.3,0.14,0.02,0.0000000000000204438
0.35,0.14,0.02,0.00000165034
0.4,0.14,0.02,0.0405633
0.45,0.14,0.02,0.877543
0.3,0.145,0.02,0.0000000000000445469
0.35,0.145,0.02,0.00000291913
0.4,0.145,0.02,0.0538971
0.45,0.145,0.02,0.905878
0.3,0.15,0.02,0.0000000000000969461
0.35,0.15,0.02,0.00000512658
0.4,0.15,0.02,0.0707013
0.45,0.15,0.02,0.929299
0.3,0.155,0.02,0.000000000000210674
0.35,0.155,0.02,0.00000893604
0.4,0.155,0.02,0.0915351
0.45,0.155,0.02,0.948155
0.3,0.16,0.02,0.000000000000457053
0.35,0.16,0.02,0.0000154543
0.4,0.16,0.02,0.11693
0.45,0.16,0.02,0.962927
0.3,0.165,0.02,0.000000000000989695
0.35,0.165,0.02,0.0000265081
0.4,0.165,0.02,0.147341
0.45,0.165,0.02,0.974179
0.3,0.17,0.02,0.00000000000213852
0.35,0.17,0.02,0.0000450781
0.4,0.17,0.02,0.1831
0.45,0.17,0.02,0.982503
0.3,0.175,0.02,0.00000000000461
0.35,0.175,0.02,0.0000759695
0.4,0.175,0.02,0.224352
0.45,0.175,0.02,0.988479
0.3,0.18,0.02,0.00000000000991176
0.35,0.18,0.02,0.00012683
0.4,0.18,0.02,0.271012
0.45,0.18,0.02,0.992637
0.3,0.185,0.02,0.0000000000212496
0.35,0.185,0.02,0.000209667
0.4,0.185,0.02,0.322714
0.45,0.185,0.02,0.995438
0.3,0.19,0.02,0.0000000000454132
0.35,0.19,0.02,0.000343066
0.4,0.19,0.02,0.378797
0.45,0.19,0.02,0.997263
0.3,0.195,0.02,0.0000000000967206
0.35,0.195,0.02,0.000555356
0.4,0.195,0.02,0.4383
0.45,0.195,0.02,0.998413
0.3,0.2,0.02,0.000000000205226
0.35,0.2,0.02,0.000889025
0.4,0.2,0.02,0.5
0.45,0.2,0.02,0.999111
0.3,0.205,0.02,0.0000000004337
0.35,0.205,0.02,0.00140671
0.4,0.205,0.02,0.562469
0.45,0.205,0.02,0.99952
0.3,0.21,0.02,0.000000000912528
0.35,0.21,0.02,0.00219905
0.4,0.21,0.02,0.624172
0.45,0.21,0.02,0.99975
0.3,0.215,0.02,0.00000000191098
0.35,0.215,0.02,0.00339465
0.4,0.215,0.02,0.683571
0.45,0.215,0.02,0.999875
0.3,0.22,0.02,0.00000000398171
0.35,0.22,0.02,0.00517215
0.4,0.22,0.02,0.739247
0.45,0.22,0.02,0.99994
0.3,0.225,0.02,0.00000000825132
0.35,0.225,0.02,0.00777403
0.4,0.225,0.02,0.790009
0.45,0.225,0.02,0.999972
0.3,0.23,0.02,0.0000000170002
0.35,0.23,0.02,0.0115213
0.4,0.23,0.02,0.834978
0.45,0.23,0.02,0.999988
0.3,0.235,0.02,0.0000000348085
0.35,0.235,0.02,0.0168274
0.4,0.235,0.02,0.873645
0.45,0.235,0.02,0.999995
0.3,0.24,0.02,0.0000000708009
0.35,0.24,0.02,0.0242088
0.4,0.24,0.02,0.905878
0.45,0.24,0.02,0.999998
0.3,0.245,0.02,0.000000142997
0.35,0.245,0.02,0.0342888
0.4,0.245,0.02,0.931897
0.45,0.245,0.02,0.999999
0.3,0.25,0.02,0.000000286652
0.35,0.25,0.02,0.0477904
0.4,0.25,0.02,0.95221
0.45,0.25,0.02,1
0.3,0.255,0.02,0.000000570055
0.35,0.255,0.02,0.0655131
0.4,0.255,0.02,0.967528
0.45,0.255,0.02,1
0.3,0.26,0.02,0.00000112409
0.35,0.26,0.02,0.0882915
0.4,0.26,0.02,0.97867
0.45,0.26,0.02,1
0.3,0.265,0.02,0.00000219681
0.35,0.265,0.02,0.11693
0.4,0.265,0.02,0.986478
0.45,0.265,0.02,1
0.3,0.27,0.02,0.00000425262
0.35,0.27,0.02,0.152117
0.4,0.27,0.02,0.991741
0.45,0.27,0.02,1
0.3,0.275,0.02,0.00000815001
0.35,0.275,0.02,0.194325
0.4,0.275,0.02,0.995148
0.45,0.275,0.02,1
0.3,0.28,0.02,0.0000154543
0.35,0.28,0.02,0.243702
0.4,0.28,0.02,0.997263
0.45,0.28,0.02,1
0.3,0.285,0.02,0.0000289784
0.35,0.285,0.02,0.299974
0.4,0.285,0.02,0.998521
0.45,0.285,0.02,1
0.3,0.29,0.02,0.0000536991
0.35,0.29,0.02,0.362377
0.4,0.29,0.02,0.999235
0.45,0.29,0.02,1
0.3,0.295,0.02,0.0000982772
