"stratum","districts","acc_geo","acc_surname","acc_bisg","black_members","black_found_bisg","black_found_surname","recovery_bisg"
"under 10%",235,0.910638,0.93617,0.948936,6,1,1,0.166667
"10-20%",93,0.860215,0.860215,0.903226,9,4,2,0.444444
"20-30%",37,0.648649,0.648649,0.675676,12,4,0,0.333333
"30-50%",31,0.741935,0.354839,0.774194,23,20,3,0.869565
"50% and over",9,0.888889,0.111111,1,8,8,0,1
