"bioguide","name","last","state","cd","black","hisp","count","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic","matched"
"P000619","Mary Sattler Peltola","Peltola","AK",0,FALSE,FALSE,268,85.8209,0,0,9.32836,2.98507,1.86567,TRUE
"C001054","Jerry L. Carl","Carl","AL",1,FALSE,FALSE,10555,85.7982,3.36333,1.14638,2.47276,3.85599,3.36333,TRUE
"M001212","Barry Moore","Moore","AL",2,FALSE,FALSE,696384,63.7668,26.9798,0.624512,0.649211,4.58827,3.39138,TRUE
"R000575","Mike Rogers","Rogers","AL",3,FALSE,FALSE,289242,72.347,18.0465,0.6925,0.755077,4.45613,3.70278,TRUE
"A000055","Robert B. Aderholt","Aderholt","AL",4,FALSE,FALSE,633,93.049,0.315956,0.315956,0.631912,2.8436,2.8436,TRUE
"S001220","Dale W. Strong","Strong","AL",5,FALSE,FALSE,43757,64.4765,24.9674,0.959846,1.3255,4.60269,3.66798,TRUE
"P000609","Gary J. Palmer","Palmer","AL",6,FALSE,FALSE,151165,71.9029,18.4844,0.684682,0.724374,4.24305,3.96057,TRUE
"S001185","Terri A. Sewell","Sewell","AL",7,TRUE,FALSE,21368,65.7104,24.1951,1.02022,0.744103,4.99813,3.33209,TRUE
"C001087","Eric A. ""Rick"" Crawford","Crawford","AR",1,FALSE,FALSE,159143,66.106,24.7381,0.612028,0.684919,4.60781,3.25116,TRUE
"H001072","J. French Hill","Hill","AR",2,FALSE,FALSE,419076,61.9663,28.119,0.663364,0.88194,4.81726,3.5521,TRUE
"W000809","Steve Womack","Womack","AR",3,FALSE,FALSE,27087,61.9781,28.2054,0.586997,0.782663,4.82519,3.62166,TRUE
"W000821","Bruce Westerman","Westerman","AR",4,FALSE,FALSE,4726,90.9649,1.18493,0.825222,0.677105,3.63944,2.70842,TRUE
"S001183","David Schweikert","Schweikert","AZ",1,FALSE,FALSE,1208,91.9702,0,1.24172,0.248344,2.56623,3.97351,TRUE
"C001132","Elijah Crane","Crane","AZ",2,FALSE,FALSE,36578,86.4509,4.37695,0.738149,0.727213,4.18284,3.52398,TRUE
"G000574","Ruben Gallego","Gallego","AZ",3,FALSE,TRUE,5751,11.4067,0.625978,6.19023,0.382542,0.869414,80.5251,TRUE
"S001211","Greg Stanton","Stanton","AZ",4,FALSE,FALSE,34407,79.9692,11.3552,0.79635,0.572558,3.95559,3.35106,TRUE
"B001302","Andy Biggs","Biggs","AZ",5,FALSE,FALSE,22057,77.8574,12.7579,0.725393,0.670989,4.20275,3.78565,TRUE
"C001133","Juan Ciscomani","Ciscomani","AZ",6,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE
"G000551","Raúl M. Grijalva","Grijalva","AZ",7,FALSE,TRUE,7688,7.41415,0.208117,0.416233,0.871488,0.507284,90.5827,TRUE
"L000589","Debbie Lesko","Lesko","AZ",8,FALSE,FALSE,3296,93.2342,0.212379,0.606796,0.0910194,2.5182,3.33738,TRUE
"G000565","Paul A. Gosar","Gosar","AZ",9,FALSE,FALSE,135,60.7407,5.18519,32.5926,0,0,1.48148,TRUE
"L000578","Doug LaMalfa","LaMalfa","CA",1,FALSE,FALSE,257,95.3307,0,0,0,1.16732,3.50195,TRUE
"H001068","Jared Huffman","Huffman","CA",2,FALSE,FALSE,48093,88.0107,4.26257,0.592602,0.532302,3.71364,2.88815,TRUE
"K000401","Kevin Kiley","Kiley","CA",3,FALSE,FALSE,5556,91.5227,2.24982,1.06192,0.107991,1.97984,3.07775,TRUE
"T000460","Mike Thompson","Thompson","CA",4,FALSE,FALSE,640099,67.1385,22.9483,0.712702,1.13108,4.59819,3.47118,TRUE
"M001177","Tom McClintock","McClintock","CA",5,FALSE,FALSE,8506,88.5257,3.84435,0.811192,0.282154,3.13896,3.3976,TRUE
"B001287","Ami Bera","Bera","CA",6,FALSE,FALSE,1127,37.7995,2.12955,23.1588,0,1.86335,35.0488,TRUE
"M001163","Doris O. Matsui","Matsui","CA",7,FALSE,FALSE,1037,7.71456,0,78.4957,0,11.7647,2.02507,TRUE
"G000559","John Garamendi","Garamendi","CA",8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"H001090","Josh Harder","Harder","CA",9,FALSE,FALSE,9137,89.3072,1.44468,1.43373,0.404947,3.92908,3.48035,TRUE
"D000623","Mark DeSaulnier","DeSaulnier","CA",10,FALSE,FALSE,122,86.0656,0.819672,1.63934,1.63934,5.7377,4.09836,TRUE
"P000197","Nancy Pelosi","Pelosi","CA",11,FALSE,FALSE,1195,90.6276,0.334728,0.585774,0.167364,1.67364,6.61088,TRUE
"L000551","Barbara Lee","Lee","CA",12,TRUE,FALSE,695657,33.2401,15.2613,43.8986,0.902169,4.16398,2.53386,TRUE
"D000633","John S. Duarte","Duarte","CA",13,FALSE,TRUE,42935,15.8169,1.84465,0.996856,0.244556,1.32759,79.7694,TRUE
"S001193","Eric Swalwell","Swalwell","CA",14,FALSE,FALSE,249,91.9679,1.60643,0.401606,0.803213,1.20482,4.01606,TRUE
"M001225","Kevin Mullin","Mullin","CA",15,FALSE,FALSE,10732,89.2192,3.14014,0.661573,0.605665,3.03764,3.33582,TRUE
"E000215","Anna G. Eshoo","Eshoo","CA",16,FALSE,FALSE,271,89.2989,0.738007,1.10701,0,4.05904,4.79705,TRUE
"K000389","Ro Khanna","Khanna","CA",17,FALSE,FALSE,4138,6.30739,0.628323,86.7086,0.314161,4.85742,1.18415,TRUE
"L000397","Zoe Lofgren","Lofgren","CA",18,FALSE,FALSE,2987,91.0278,0.401741,1.17174,0.669568,3.11349,3.61567,TRUE
"P000613","Jimmy Panetta","Panetta","CA",19,FALSE,FALSE,1583,91.3455,0.379027,0.442198,0.379027,1.64245,5.81175,TRUE
"M001165","Kevin McCarthy","McCarthy","CA",20,FALSE,FALSE,80108,89.6552,3.13951,0.876317,0.218455,2.69761,3.41289,TRUE
"C001059","Jim Costa","Costa","CA",21,FALSE,TRUE,38406,79.2168,2.65323,2.47097,0.341093,3.48123,11.8367,TRUE
"V000129","David G. Valadao","Valadao","CA",22,FALSE,TRUE,300,87.3333,0.666667,1,0.666667,6,4.33333,TRUE
"O000019","Jay Obernolte","Obernolte","CA",23,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
"C001112","Salud O. Carbajal","Carbajal","CA",24,FALSE,TRUE,21237,4.43095,0.404954,0.739276,0.211894,0.324905,93.888,TRUE
"R000599","Raul Ruiz","Ruiz","CA",25,FALSE,TRUE,237286,5.48073,0.550812,1.1602,0.248645,0.388561,92.1711,TRUE
"B001285","Julia Brownley","Brownley","CA",26,FALSE,FALSE,462,69.9134,17.316,0.649351,0.4329,5.19481,6.49351,TRUE
"G000061","Mike Garcia","Garcia","CA",27,FALSE,TRUE,1149510,5.70147,0.545015,1.64061,0.490209,0.42566,91.197,TRUE
"C001080","Judy Chu","Chu","CA",28,FALSE,FALSE,29872,2.92247,0.455276,90.62,0.0167381,4.06066,1.92488,TRUE
"C001097","Tony Cárdenas","Cárdenas","CA",29,FALSE,TRUE,75996,4.76867,0.328965,1.28033,0.192115,0.393442,93.0365,TRUE
"S001150","Adam B. Schiff","Schiff","CA",30,FALSE,FALSE,3726,94.0687,0.429415,0.751476,0.0805153,1.90553,2.76436,TRUE
"N000179","Grace F. Napolitano","Napolitano","CA",31,FALSE,TRUE,6602,90.0182,0.318085,0.969403,0.0605877,2.37807,6.25568,TRUE
"S000344","Brad Sherman","Sherman","CA",32,FALSE,FALSE,66346,79.8345,11.4762,0.809393,1.02041,3.55711,3.30238,TRUE
"A000371","Pete Aguilar","Aguilar","CA",33,FALSE,TRUE,180700,4.46597,0.312673,1.89209,0.524073,0.390703,92.4145,TRUE
