"bioguide","black","hisp","matched","pop_total","pop_black_low_pct","r_white","r_black","r_api","r_aian","r_2prace","r_hisp","truth","bisg","surname","geo"
"A000055",FALSE,FALSE,TRUE,721520,7.15642,589575,51635,4405,2450,17730,55730,"other","other","other","other"
"A000148",FALSE,FALSE,TRUE,781420,3.93706,625805,30765,51670,500,22155,50525,"other","other","other","other"
"A000369",FALSE,FALSE,TRUE,783965,1.93631,507070,15180,36035,10865,29135,185670,"other","other","other","other"
"A000370",TRUE,FALSE,TRUE,754075,34.7121,312110,261755,42530,840,22475,114375,"black","black","other","other"
"A000371",FALSE,TRUE,TRUE,759340,9.58201,134890,72760,54695,1440,18680,476880,"hisp","hisp","hisp","hisp"
"A000372",FALSE,FALSE,TRUE,768905,36.6885,402055,282100,13910,825,25280,44730,"other","black","other","other"
"A000375",FALSE,FALSE,TRUE,768925,5.83217,396185,44845,12565,1475,15890,297970,"other","other","other","other"
"A000376",TRUE,FALSE,TRUE,764395,20.7327,244975,158480,61965,1300,19810,277860,"black","other","other","hisp"
"A000377",FALSE,FALSE,TRUE,779360,3.1898,649850,24860,13155,33395,23135,34965,"other","other","other","other"
"A000379",FALSE,FALSE,TRUE,777790,4.3225,667470,33620,8705,1925,26135,39935,"other","other","other","other"
"B000490",TRUE,FALSE,TRUE,757600,49.9267,300770,378245,10920,920,20915,45835,"black","other","other","black"
"B000574",FALSE,FALSE,TRUE,697980,5.48655,466730,38295,54205,3540,34455,100765,"other","other","other","other"
"B000668",FALSE,FALSE,TRUE,707100,0.65408,550740,4625,7540,9975,27480,106740,"other","other","other","other"
"B000740",FALSE,FALSE,TRUE,799005,11.0437,516950,88240,26530,29235,56630,81420,"other","other","other","other"
"B001223",TRUE,FALSE,TRUE,776130,21.057,319075,163430,50070,1620,15945,225990,"black","other","other","other"
"B001224",TRUE,FALSE,TRUE,759115,46.0773,321070,349780,26455,685,26955,34170,"black","black","other","black"
"B001248",FALSE,FALSE,TRUE,801990,9.03004,467680,72420,78600,1435,26295,155565,"other","other","other","other"
"B001260",FALSE,FALSE,TRUE,797765,11.917,487550,95070,22430,765,22640,169320,"other","other","other","other"
"B001281",TRUE,FALSE,TRUE,785540,28.264,434645,222025,41885,385,34605,52000,"black","other","other","other"
"B001282",FALSE,FALSE,TRUE,753705,8.13647,605215,61325,16875,435,23165,46695,"other","other","other","other"
"B001285",FALSE,FALSE,TRUE,753065,1.83318,322610,13805,60740,1185,24890,329840,"other","other","other","hisp"
"B001287",FALSE,FALSE,TRUE,755795,9.21215,369265,69625,95615,2475,44700,174115,"other","other","other","other"
"B001291",FALSE,FALSE,TRUE,773760,11.3,389115,87435,31635,800,17035,247745,"other","other","other","other"
"B001292",FALSE,FALSE,TRUE,775740,13.0243,397605,101035,89760,895,31205,155235,"other","other","other","other"
"B001295",FALSE,FALSE,TRUE,748190,4.83233,660365,36155,7515,970,20730,22460,"other","other","other","other"
"B001296",FALSE,FALSE,TRUE,751755,24.1475,281930,181530,72320,685,22640,192650,"other","other","other","other"
"B001297",FALSE,FALSE,TRUE,741770,1.69325,571465,12560,26925,1915,21145,107760,"other","other","other","other"
"B001298",FALSE,FALSE,TRUE,657290,9.37942,459880,61650,26095,1490,22710,85455,"other","other","other","other"
"B001299",FALSE,FALSE,TRUE,757900,5.77847,619940,43795,20990,390,21530,51260,"other","other","black","other"
"B001300",FALSE,TRUE,TRUE,748280,10.5689,97580,79085,90330,870,19170,461240,"hisp","hisp","hisp","hisp"
"B001301",FALSE,FALSE,TRUE,780170,1.23306,710360,9620,5240,14435,23195,17325,"other","other","other","other"
"B001302",FALSE,FALSE,TRUE,812985,3.4441,552380,28000,47555,6705,32880,145465,"other","other","other","other"
"B001303",TRUE,FALSE,TRUE,1005870,21.5977,603150,217245,41700,1535,34415,107830,"black","other","other","other"
"B001306",FALSE,FALSE,TRUE,792715,3.80591,709245,30170,14290,385,22315,16300,"other","other","other","other"
"B001307",FALSE,FALSE,TRUE,763235,4.25491,632090,32475,25520,465,16905,55775,"other","other","other","other"
"B001309",FALSE,FALSE,TRUE,781420,5.73251,658745,44795,13425,600,20205,43650,"other","other","other","other"
"B001311",FALSE,FALSE,TRUE,757160,13.6992,534500,103725,18250,1645,20550,78495,"other","other","other","other"
"B001313",TRUE,FALSE,TRUE,776190,43.8662,328710,340485,19865,590,26370,60170,"black","black","other","black"
"B001314",FALSE,FALSE,TRUE,785430,30.6953,421735,241090,21535,905,26535,73625,"other","other","other","other"
"B001315",FALSE,FALSE,TRUE,747025,19.4244,507850,145105,29465,620,27920,36065,"other","other","other","other"
"B001316",FALSE,FALSE,TRUE,777885,1.83703,670400,14290,13965,2985,27435,48810,"other","other","other","other"
"B001317",FALSE,FALSE,TRUE,800100,3.05649,505465,24455,8425,129000,85035,47720,"other","other","other","other"
"B001318",FALSE,FALSE,TRUE,645255,1.21037,592975,7810,10690,900,16815,16060,"other","other","other","other"
"C000059",FALSE,FALSE,TRUE,781445,5.0381,339630,39370,64395,2170,26790,309090,"other","other","other","other"
