"id","part","x","y","city"
4,1,31.255,14.522,"Cleveland"
4,1,31.272,14.519,"Cleveland"
4,1,31.36,14.505,"Cleveland"
4,1,31.357,14.147,"Cleveland"
4,1,31.385,14.144,"Cleveland"
4,1,31.411,14.142,"Cleveland"
4,1,31.421,14.141,"Cleveland"
4,1,31.419,14.099,"Cleveland"
4,1,31.418,14.088,"Cleveland"
4,1,31.418,14.078,"Cleveland"
4,1,31.423,14.068,"Cleveland"
4,1,31.431,14.062,"Cleveland"
4,1,31.443,14.057,"Cleveland"
4,1,31.456,14.056,"Cleveland"
4,1,31.479,14.054,"Cleveland"
4,1,31.477,14.01,"Cleveland"
4,1,31.481,13.95,"Cleveland"
4,1,31.46,13.953,"Cleveland"
4,1,31.414,13.955,"Cleveland"
4,1,31.366,13.957,"Cleveland"
4,1,31.357,13.667,"Cleveland"
4,1,31.348,13.668,"Cleveland"
4,1,31.348,13.465,"Cleveland"
4,1,31.224,13.466,"Cleveland"
4,1,31.104,13.467,"Cleveland"
4,1,31.102,13.705,"Cleveland"
4,1,31.088,13.707,"Cleveland"
4,1,31.086,14.041,"Cleveland"
4,1,31.013,14.041,"Cleveland"
4,1,30.938,14.042,"Cleveland"
4,1,30.871,14.043,"Cleveland"
4,1,30.871,14.058,"Cleveland"
4,1,30.867,14.065,"Cleveland"
4,1,30.821,14.07,"Cleveland"
4,1,30.822,14.116,"Cleveland"
4,1,30.822,14.158,"Cleveland"
5,1,29.551,13.934,"Cleveland"
5,1,29.579,13.929,"Cleveland"
5,1,29.734,13.909,"Cleveland"
5,1,29.826,13.896,"Cleveland"
5,1,29.863,13.891,"Cleveland"
5,1,29.969,13.875,"Cleveland"
5,1,30.085,13.859,"Cleveland"
5,1,30.202,13.841,"Cleveland"
5,1,30.32,13.822,"Cleveland"
5,1,30.428,13.806,"Cleveland"
5,1,30.435,13.805,"Cleveland"
5,1,30.435,13.761,"Cleveland"
5,1,30.435,13.656,"Cleveland"
5,1,30.436,13.562,"Cleveland"
5,1,30.435,13.476,"Cleveland"
5,1,30.434,13.374,"Cleveland"
5,1,30.434,13.366,"Cleveland"
5,1,30.434,13.269,"Cleveland"
5,1,30.432,13.194,"Cleveland"
5,1,30.432,13.167,"Cleveland"
5,1,30.432,13.116,"Cleveland"
5,1,30.431,13.076,"Cleveland"
5,1,30.431,12.984,"Cleveland"
5,1,30.43,12.893,"Cleveland"
5,1,30.43,12.808,"Cleveland"
5,1,30.431,12.748,"Cleveland"
5,1,30.431,12.722,"Cleveland"
5,1,30.429,12.51,"Cleveland"
5,1,30.429,12.368,"Cleveland"
5,1,30.307,12.403,"Cleveland"
5,1,30.25,12.419,"Cleveland"
5,1,30.18,12.44,"Cleveland"
5,1,30.068,12.471,"Cleveland"
5,1,29.889,12.522,"Cleveland"
5,1,29.888,12.556,"Cleveland"
5,1,29.883,12.586,"Cleveland"
5,1,29.875,12.62,"Cleveland"
5,1,29.864,12.652,"Cleveland"
5,1,29.863,12.655,"Cleveland"
5,1,29.847,12.688,"Cleveland"
5,1,29.817,12.722,"Cleveland"
5,1,29.802,12.735,"Cleveland"
5,1,29.789,12.745,"Cleveland"
5,1,29.777,12.752,"Cleveland"
5,1,29.759,12.76,"Cleveland"
5,1,29.741,12.766,"Cleveland"
5,1,29.701,12.762,"Cleveland"
5,1,29.656,12.761,"Cleveland"
5,1,29.639,12.773,"Cleveland"
5,1,29.623,12.789,"Cleveland"
5,1,29.612,12.803,"Cleveland"
5,1,29.599,12.823,"Cleveland"
5,1,29.589,12.859,"Cleveland"
5,1,29.548,12.846,"Cleveland"
5,1,29.515,12.841,"Cleveland"
5,1,29.505,12.841,"Cleveland"
5,1,29.505,13.94,"Cleveland"
5,1,29.551,13.934,"Cleveland"
6,1,31.41,13.464,"Cleveland"
6,1,31.463,13.463,"Cleveland"
6,1,31.478,13.463,"Cleveland"
6,1,31.479,13.647,"Cleveland"
6,1,31.554,13.636,"Cleveland"
6,1,31.571,13.633,"Cleveland"
6,1,31.771,13.603,"Cleveland"
6,1,31.924,13.579,"Cleveland"
6,1,31.925,13.58,"Cleveland"
6,1,31.95,13.578,"Cleveland"
6,1,31.95,13.576,"Cleveland"
6,1,31.951,13.556,"Cleveland"
6,1,31.953,13.547,"Cleveland"
6,1,31.959,13.526,"Cleveland"
6,1,31.926,13.498,"Cleveland"
6,1,31.97,13.446,"Cleveland"
6,1,31.932,13.412,"Cleveland"
6,1,31.927,13.408,"Cleveland"
6,1,31.95,13.379,"Cleveland"
6,1,31.931,13.363,"Cleveland"
6,1,31.919,13.354,"Cleveland"
6,1,31.933,13.338,"Cleveland"
6,1,31.975,13.289,"Cleveland"
6,1,31.939,13.26,"Cleveland"
6,1,31.932,13.255,"Cleveland"
6,1,31.94,13.247,"Cleveland"
6,1,31.956,13.228,"Cleveland"
6,1,31.942,13.216,"Cleveland"
6,1,31.925,13.203,"Cleveland"
6,1,31.944,13.181,"Cleveland"
6,1,31.96,13.161,"Cleveland"
6,1,31.946,13.146,"Cleveland"
6,1,31.922,13.135,"Cleveland"
6,1,31.948,13.103,"Cleveland"
6,1,31.946,13.076,"Cleveland"
6,1,31.924,13.058,"Cleveland"
6,1,31.943,13.036,"Cleveland"
6,1,31.969,13.006,"Cleveland"
6,1,31.938,12.971,"Cleveland"
6,1,31.955,12.956,"Cleveland"
6,1,31.934,12.924,"Cleveland"
6,1,31.957,12.899,"Cleveland"
6,1,31.937,12.866,"Cleveland"
6,1,31.943,12.853,"Cleveland"
6,1,31.948,12.843,"Cleveland"
6,1,31.955,12.793,"Cleveland"
6,1,31.946,12.78,"Cleveland"
6,1,31.941,12.773,"Cleveland"
6,1,31.947,12.724,"Cleveland"
6,1,31.947,12.698,"Cleveland"
6,1,31.905,12.698,"Cleveland"
6,1,31.843,12.699,"Cleveland"
6,1,31.71,12.698,"Cleveland"
6,1,31.676,12.698,"Cleveland"
6,1,31.624,12.697,"Cleveland"
6,1,31.614,12.697,"Cleveland"
6,1,31.536,12.697,"Cleveland"
6,1,31.527,12.697,"Cleveland"
6,1,31.448,12.697,"Cleveland"
6,1,31.444,12.697,"Cleveland"
6,1,31.348,12.697,"Cleveland"
6,1,31.348,12.705,"Cleveland"
6,1,31.35,12.804,"Cleveland"
6,1,31.35,12.869,"Cleveland"
6,1,31.35,12.89,"Cleveland"
6,1,31.35,12.979,"Cleveland"
6,1,31.349,13.065,"Cleveland"
6,1,31.347,13.157,"Cleveland"
6,1,31.348,13.465,"Cleveland"
6,1,31.41,13.464,"Cleveland"
7,1,30.431,13.076,"Cleveland"
7,1,30.432,13.116,"Cleveland"
7,1,30.432,13.167,"Cleveland"
7,1,30.432,13.194,"Cleveland"
7,1,30.434,13.269,"Cleveland"
7,1,30.434,13.366,"Cleveland"
7,1,30.434,13.374,"Cleveland"
7,1,30.435,13.476,"Cleveland"
7,1,30.746,13.472,"Cleveland"
7,1,30.835,13.471,"Cleveland"
7,1,30.909,13.47,"Cleveland"
7,1,30.987,13.47,"Cleveland"
7,1,31.104,13.467,"Cleveland"
7,1,31.224,13.466,"Cleveland"
7,1,31.348,13.465,"Cleveland"
7,1,31.347,13.157,"Cleveland"
7,1,31.349,13.065,"Cleveland"
7,1,31.35,12.979,"Cleveland"
7,1,31.35,12.89,"Cleveland"
7,1,31.132,12.893,"Cleveland"
7,1,30.918,12.892,"Cleveland"
7,1,30.822,12.893,"Cleveland"
7,1,30.724,12.892,"Cleveland"
7,1,30.626,12.892,"Cleveland"
7,1,30.43,12.893,"Cleveland"
7,1,30.431,12.984,"Cleveland"
7,1,30.431,13.076,"Cleveland"
8,1,30.626,12.892,"Cleveland"
8,1,30.724,12.892,"Cleveland"
8,1,30.822,12.893,"Cleveland"
8,1,30.918,12.892,"Cleveland"
8,1,31.132,12.893,"Cleveland"
8,1,31.35,12.89,"Cleveland"
8,1,31.35,12.869,"Cleveland"
8,1,31.35,12.804,"Cleveland"
8,1,31.348,12.705,"Cleveland"
8,1,31.348,12.697,"Cleveland"
8,1,31.444,12.697,"Cleveland"
8,1,31.448,12.697,"Cleveland"
8,1,31.527,12.697,"Cleveland"
8,1,31.536,12.697,"Cleveland"
8,1,31.614,12.697,"Cleveland"
8,1,31.624,12.697,"Cleveland"
8,1,31.676,12.698,"Cleveland"
8,1,31.71,12.698,"Cleveland"
8,1,31.843,12.699,"Cleveland"
8,1,31.905,12.698,"Cleveland"
8,1,31.947,12.698,"Cleveland"
8,1,31.949,12.391,"Cleveland"
8,1,31.946,11.946,"Cleveland"
8,1,31.841,11.973,"Cleveland"
8,1,31.731,12.002,"Cleveland"
8,1,31.707,12.009,"Cleveland"
8,1,31.614,12.032,"Cleveland"
8,1,31.524,12.054,"Cleveland"
8,1,31.442,12.075,"Cleveland"
8,1,31.346,12.102,"Cleveland"
8,1,31.342,12.103,"Cleveland"
8,1,31.237,12.134,"Cleveland"
8,1,31.223,12.137,"Cleveland"
8,1,31.13,12.166,"Cleveland"
8,1,31.124,12.168,"Cleveland"
8,1,31.028,12.195,"Cleveland"
8,1,30.927,12.225,"Cleveland"
8,1,30.922,12.226,"Cleveland"
8,1,30.828,12.254,"Cleveland"
8,1,30.818,12.257,"Cleveland"
8,1,30.729,12.283,"Cleveland"
8,1,30.711,12.288,"Cleveland"
8,1,30.632,12.311,"Cleveland"
8,1,30.612,12.316,"Cleveland"
8,1,30.532,12.339,"Cleveland"
8,1,30.52,12.343,"Cleveland"
8,1,30.429,12.368,"Cleveland"
8,1,30.429,12.51,"Cleveland"
8,1,30.431,12.722,"Cleveland"
8,1,30.431,12.748,"Cleveland"
8,1,30.43,12.808,"Cleveland"
8,1,30.43,12.893,"Cleveland"
8,1,30.626,12.892,"Cleveland"
9,1,32.141,12.766,"Cleveland"
9,1,32.351,12.768,"Cleveland"
9,1,32.535,12.771,"Cleveland"
9,1,32.533,12.767,"Cleveland"
9,1,32.528,12.75,"Cleveland"
9,1,32.561,12.734,"Cleveland"
9,1,32.573,12.723,"Cleveland"
9,1,32.597,12.703,"Cleveland"
9,1,32.603,12.687,"Cleveland"
9,1,32.603,12.658,"Cleveland"
9,1,32.593,12.648,"Cleveland"
9,1,32.591,12.646,"Cleveland"
9,1,32.585,12.641,"Cleveland"
9,1,32.586,12.64,"Cleveland"
9,1,32.612,12.611,"Cleveland"
9,1,32.595,12.232,"Cleveland"
9,1,32.598,12.063,"Cleveland"
9,1,32.649,12.05,"Cleveland"
9,1,32.735,12.051,"Cleveland"
9,1,32.824,12.037,"Cleveland"
9,1,32.92,12.04,"Cleveland"
9,1,32.969,12.035,"Cleveland"
9,1,32.969,11.945,"Cleveland"
9,1,32.957,11.945,"Cleveland"
9,1,32.956,11.945,"Cleveland"
9,1,32.92,11.946,"Cleveland"
9,1,32.908,11.946,"Cleveland"
9,1,32.824,11.946,"Cleveland"
9,1,32.805,11.945,"Cleveland"
9,1,32.735,11.945,"Cleveland"
9,1,32.701,11.945,"Cleveland"
9,1,32.649,11.945,"Cleveland"
9,1,32.569,11.946,"Cleveland"
9,1,32.553,11.946,"Cleveland"
9,1,32.447,11.946,"Cleveland"
9,1,32.44,11.946,"Cleveland"
9,1,32.437,11.946,"Cleveland"
9,1,32.352,11.945,"Cleveland"
9,1,32.322,11.945,"Cleveland"
9,1,32.255,11.946,"Cleveland"
9,1,32.222,11.946,"Cleveland"
9,1,32.141,11.947,"Cleveland"
9,1,32.059,11.946,"Cleveland"
9,1,32.046,11.946,"Cleveland"
9,1,31.946,11.946,"Cleveland"
9,1,31.949,12.391,"Cleveland"
9,1,31.947,12.698,"Cleveland"
9,1,31.947,12.724,"Cleveland"
9,1,31.941,12.773,"Cleveland"
9,1,32.141,12.766,"Cleveland"
10,1,29.515,12.841,"Cleveland"
10,1,29.548,12.846,"Cleveland"
10,1,29.589,12.859,"Cleveland"
10,1,29.599,12.823,"Cleveland"
10,1,29.612,12.803,"Cleveland"
10,1,29.623,12.789,"Cleveland"
10,1,29.639,12.773,"Cleveland"
10,1,29.656,12.761,"Cleveland"
10,1,29.701,12.762,"Cleveland"
