"city","id","label","grade","fill","area_km2","lx","ly"
"Cleveland",1,"A1","A","#76a865",1.218,1.27,15.62
"Cleveland",2,"A10","A","#76a865",0.983,11.55,15.01
"Cleveland",3,"A11","A","#76a865",0.264,13.66,15.38
"Cleveland",4,"A12","A","#76a865",0.691,15.2,15.29
"Cleveland",5,"A13","A","#76a865",0.317,14.79,14.98
"Cleveland",6,"A14","A","#76a865",0.563,19.73,9.7
"Cleveland",7,"A15","A","#76a865",0.382,22.92,8.16
"Cleveland",8,"A16","A","#76a865",0.664,18.1,5.7
"Cleveland",9,"A17","A","#76a865",0.198,17.25,4.45
"Cleveland",10,"A18","A","#76a865",0.898,19.06,3.64
"Cleveland",11,"A19","A","#76a865",0.638,34.1,10.83
"Cleveland",12,"A2","A","#76a865",1.188,10.25,14.54
"Cleveland",13,"A20","A","#76a865",2.103,34.86,11.5
"Cleveland",14,"A21","A","#76a865",1.625,34.05,12.39
"Cleveland",15,"A22","A","#76a865",1.768,32.24,13.75
"Cleveland",16,"A23","A","#76a865",3.814,34.56,13.39
"Cleveland",17,"A24","A","#76a865",4.038,37.2,13.33
"Cleveland",18,"A25","A","#76a865",2.279,36.01,15.22
"Cleveland",19,"A26","A","#76a865",0.549,38.87,17.65
"Cleveland",20,"A27","A","#76a865",1.533,34.82,17.76
"Cleveland",21,"A28","A","#76a865",1.026,33.95,18.58
"Cleveland",22,"A29","A","#76a865",0.457,33.28,18.79
"Cleveland",23,"A3","A","#76a865",1.206,9.5,13.61
"Cleveland",24,"A30","A","#76a865",0.155,35.5,27.19
"Cleveland",25,"A31","A","#76a865",0.396,36.28,27.89
"Cleveland",26,"A4","A","#76a865",0.882,10.43,12.53
"Cleveland",27,"A5","A","#76a865",0.47,11.05,11.18
"Cleveland",28,"A6","A","#76a865",0.932,8.58,9.28
"Cleveland",29,"A7","A","#76a865",1.409,12.33,10.72
"Cleveland",30,"A8","A","#76a865",0.789,13.24,11.98
"Cleveland",31,"A9","A","#76a865",1.073,12.69,12.97
"Cleveland",32,"B1","B","#7cb5bd",6.745,1.62,15.01
"Cleveland",33,"B10","B","#7cb5bd",0.751,14.11,13.03
"Cleveland",34,"B11","B","#7cb5bd",0.793,12.73,13.67
"Cleveland",35,"B12","B","#7cb5bd",0.55,13.95,13.96
"Cleveland",36,"B13","B","#7cb5bd",0.49,15.17,13.87
"Cleveland",37,"B14","B","#7cb5bd",1.643,13.85,14.84
"Cleveland",38,"B15","B","#7cb5bd",0.205,16.35,15.04
"Cleveland",39,"B16","B","#7cb5bd",0.593,17.24,14.76
"Cleveland",40,"B17","B","#7cb5bd",0.777,17.1,11.67
"Cleveland",41,"B18","B","#7cb5bd",0.661,16.08,10.9
"Cleveland",42,"B19","B","#7cb5bd",1.158,15.26,10.93
"Cleveland",43,"B2","B","#7cb5bd",0.745,10.16,14.13
"Cleveland",44,"B20","B","#7cb5bd",1.016,20.42,9.48
"Cleveland",45,"B21","B","#7cb5bd",1.347,21.91,8.27
"Cleveland",46,"B22","B","#7cb5bd",0.504,22.44,6.87
"Cleveland",47,"B23","B","#7cb5bd",0.564,19.91,5.85
"Cleveland",48,"B24","B","#7cb5bd",3.319,19.83,5.16
