GEOID,state,city,grade,total,white,black,pct_black
06001422500,CA,Oakland,C,5065,2595,217,4.28
06001422700,CA,Oakland,B,4868,2591,118,2.42
06001422800,CA,Oakland,C,11245,4123,351,3.12
06001423000,CA,Oakland,D,4676,2751,297,6.35
06001423100,CA,Oakland,D,4335,2181,577,13.31
06001423200,CA,Oakland,D,2886,1082,516,17.88
06001423300,CA,Oakland,D,3738,1726,845,22.61
06001423400,CA,Oakland,D,5057,2343,896,17.72
06001423601,CA,Oakland,C,2824,1813,87,3.08
06001423700,CA,Oakland,B,4234,2707,149,3.52
06001423800,CA,Oakland,A,3216,2413,65,2.02
06001423901,CA,Oakland,C,2031,1147,270,13.29
06001423902,CA,Oakland,B,1464,1024,58,3.96
06001424001,CA,Oakland,D,4146,1777,855,20.62
06001424002,CA,Oakland,D,2488,933,651,26.17
06001425103,CA,Oakland,D,2926,1164,445,15.21
06001425104,CA,Oakland,D,4374,1566,974,22.27
06001426100,CA,Oakland,A,6364,4151,74,1.16
06001426200,CA,Oakland,B,4915,3073,52,1.06
06001427100,CA,Oakland,C,4063,2467,151,3.72
06001427800,CA,Oakland,C,4827,2546,204,4.23
06001427900,CA,Oakland,C,4744,2499,213,4.49
06001428000,CA,Oakland,C,2997,1063,191,6.37
06001428100,CA,Oakland,C,4880,2706,151,3.09
06001428200,CA,Oakland,B,6644,3487,212,3.19
06001432100,CA,Oakland,C,4121,1703,539,13.08
06001432200,CA,Oakland,B,4231,1547,724,17.11
06001432601,CA,Oakland,D,4358,953,789,18.1
06001432602,CA,Oakland,C,3214,830,708,22.03
06001432700,CA,Oakland,C,2660,1153,209,7.86
06019000200,CA,Fresno,D,3251,440,543,16.7
06019000300,CA,Fresno,C,3755,471,810,21.57
06019000502,CA,Fresno,C,3357,747,275,8.19
06019000601,CA,Fresno,C,4673,1102,552,11.81
06019000902,CA,Fresno,D,5263,654,1098,20.86
06019002100,CA,Fresno,C,5566,2082,385,6.92
06019002200,CA,Fresno,B,3702,1626,164,4.43
06019002300,CA,Fresno,C,3577,1299,206,5.76
