"city","id","GEOID","centre_grade","modal_grade","dom_share","own_share","graded","pA","pB","pC","pD","pU","focus","cx","cy"
"Cleveland",1,"39035119401","C","C",96.98,96.98,94.33,2.85,0,91.48,0,5.67,0,30.83,14.7
"Cleveland",2,"39035119402","C","C",100,100,100,0,0,100,0,0,0,30.75,13.79
"Cleveland",3,"39035119501","B","B",78.48,78.48,100,9.72,78.49,11.8,0,0,0,31.65,14.02
"Cleveland",4,"39035119502","C","C",93.77,93.77,100,1.37,4.86,93.77,0,0,0,31.2,14.03
"Cleveland",5,"39035119600","C","C",94.16,94.16,64.21,0,3.01,60.46,0.74,35.79,0,29.98,13.22
"Cleveland",6,"39035119701","B","C",47.38,45.99,100,3.04,45.99,47.38,3.59,0,0,31.65,13.14
"Cleveland",7,"39035119702","C","C",82.76,82.76,99.52,0,0,82.36,17.16,0.48,0,30.89,13.18
"Cleveland",8,"39035119800","D","D",88.74,88.74,99.74,0,0,11.23,88.52,0.26,0,31.22,12.48
"Cleveland",9,"39035119900","D","C",63.02,34.53,100,1.11,1.34,63.01,34.53,0,1,32.31,12.33
"Cleveland",10,"39035120200","C","C",52.52,52.52,92.34,0,34.33,48.5,9.51,7.66,0,29.27,13.22
"Cleveland",11,"39035120400","D","D",98.78,98.78,97.45,0,0,1.19,96.26,2.55,0,29.17,11.89
"Cleveland",12,"39035120500","C","C",78.14,78.14,79.83,0,7.53,62.38,9.92,20.17,0,29.73,11.98
"Cleveland",13,"39035120600","C","C",63.03,63.03,100,0,0,63.03,36.97,0,0,30.34,11.73
"Cleveland",14,"39035120701","D","D",72.38,72.38,100,0,0,27.62,72.38,0,0,31.29,11.87
"Cleveland",15,"39035120702","C","C",90.25,90.25,100,0,0,90.25,9.75,0,0,31.32,11.36
"Cleveland",16,"39035120801","C","C",100,100,100,0,0,100,0,0,0,32.69,11.33
"Cleveland",17,"39035120802","D","D",74.5,74.5,100,0,0,25.5,74.5,0,0,32.2,11.31
"Cleveland",18,"39035121100","C","C",100,100,99.96,0,0,99.96,0,0.04,0,30.91,10.78
"Cleveland",19,"39035121200","C","C",100,100,100,0,0,100,0,0,0,31.67,10.66
"Cleveland",20,"39035121300","C","C",64.7,64.7,73.31,0,0,47.43,25.88,26.69,0,29.58,9.86
"Cleveland",21,"39035121401","C","C",100,100,67.62,0,0,67.62,0,32.38,0,31.32,10.1
"Cleveland",22,"39035121403","C","C",97.29,97.29,83.31,0,2.26,81.05,0,16.69,0,31.37,9.55
"Cleveland",23,"39035121500","C","C",97.04,97.04,99.03,0,0,96.1,2.93,0.97,0,32.44,10.21
"Cleveland",24,"39035121700","A","B",52.57,40.71,100,40.71,52.57,6.72,0,0,0,33.64,10.73
"Cleveland",25,"39035121800","B","B",79.61,79.61,100,20.39,79.61,0,0,0,0,34.79,10.73
"Cleveland",26,"39035121900","C","C",99.23,99.23,99.29,0,0.54,98.53,0.22,0.71,0,33.22,9.83
"Cleveland",27,"39035122100","C","C",97.5,97.5,66.71,0,1.67,65.04,0,33.29,0,34.32,9.79
"Cleveland",28,"39035122200","C","C",59.61,59.61,61.55,0,0,36.69,24.86,38.45,0,32.94,8.74
"Cleveland",29,"39035127501","D","D",68.12,68.12,62.77,0,0,20.01,42.76,37.23,0,29.27,10.7
"Cleveland",30,"39035141300","B","B",89.75,89.75,83.93,0,75.33,8.6,0,16.07,0,31.54,15.44
"Cleveland",31,"39035141400","B","B",99.39,99.39,100,0,99.39,0.61,0,0,0,32.47,15.52
"Cleveland",32,"39035141500","B","B",100,100,90.53,0,90.53,0,0,9.47,0,33.35,14.93
"Cleveland",33,"39035141601","B","B",100,100,90.22,0,90.22,0,0,9.78,0,33.97,14.57
"Cleveland",34,"39035141700","B","B",99.66,99.66,100,0.34,99.66,0,0,0,0,34.6,14.84
"Cleveland",35,"39035183100","A","A",100,100,76.59,76.59,0,0,0,23.41,0,32.53,14.15
"Cleveland",36,"39035183200","A","A",99.52,99.52,77.78,77.41,0.37,0,0,22.22,0,35.14,13.61
"Cleveland",37,"39035183401","A","A",99.99,99.99,84.88,84.87,0.01,0,0,15.12,0,33.19,12.96
"Cleveland",38,"39035183402","A","A",56.29,56.29,100,56.28,42.82,0.89,0,0,0,32.64,12.57
"Cleveland",39,"39035183501","","A",100,NA,62.29,62.29,0,0,0,37.71,0,35.68,12.51
"Cleveland",40,"39035183502","A","A",99.98,99.98,91.86,91.84,0.02,0,0,8.14,0,34.23,12.53
"Cleveland",41,"39035183603","B","B",97.75,97.75,100,1.37,97.75,0.88,0,0,0,33.27,11.54
"Cleveland",42,"39035183604","A","A",100,100,100,100,0,0,0,0,0,34.03,11.55
"Cleveland",43,"39035183605","A","A",99.76,99.76,91.41,91.2,0.22,0,0,8.59,0,35.66,11.54
"Cleveland",44,"39035183606","A","A",98.9,98.9,100,98.9,1.1,0,0,0,0,34.79,11.53
"Cleveland",45,"39035187104","A","A",69.57,69.57,100,69.57,30.43,0,0,0,0,35.41,15
"Cleveland",46,"39035198500","D","D",100,100,71.2,0,0,0,71.2,28.8,0,28.93,15.26
"Cleveland",47,"39035198600","D","C",51.29,48.68,88.91,0,0.03,45.6,43.28,11.09,0,29.95,14.74
